is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Сбор жалоб, консультирование, составление плана лечения и взаимодейтвие со смежными специалистами (3405_12)","Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Ведение медицинской документации (врач-стоматолог) (2515_12),Протезирование и восстановление зубов (3607_12),Коммуникабельность (СК) (617_4),"Ведение амбулаторного ортопедического приема, ортопедического лечения, консультирование (3587_12)",Дисциплинированность (СК) (593_4),"Осмотр, обследование и диагностика пациентов, зубов и полости рта (3408_12)",Лечение и оказание стоматологической (медицицинской) помощи (3591_12),Ведение амбулаторного приема (врач-стоматолог) (2508_12),Пунктуальность (СК) (612_4),"Владение методами лечения, диагностики, стоматологическими материалами, аппаратурой (3761_12)","Лечение зубов, каналов, заболеваний (3614_12)","Саморазвитие, обучаемость (СК) (604_4)",Доброжелательность (СК) (1126_4),Проведение профессиональной гигиены полости рта (3589_12),"Работа по протоколам, соблюдение протоколов лечения (3758_12)",Работа с детьми (врач-стоматолог) (2509_12),Аккуратность (СК) (575_4),"Владение и работа с ПК, MS Office, 1С, проф. программами, офисной техникой (2237_12)",Лечение пациентов (3759_12),Имплантация зубов (3601_12),Знание амбулаторной помощи (врач-стоматолог) (2533_12),Эндодонтия и эндодонтическое лечение (3773_12),Реставрация/реконструкция зубов (3611_12),"Чтение и анализ снимков, КТ, КЛКТ, фотографий, интерпретация результатов исследований (3403_12)",Высокая работоспособность (СК) (586_4),Клиентоцентричность (клиенториентированность) (СК) (626_4),"Знание методов лечения, диагностики и стоматологических материалов (2697_12)",Выполнение анестезиологических процедур и(или) работа под седацией (врач-стоматолог) (2513_12),Стрессоустойчивость (СК) (601_4),Ведение амбулаторного ортодонтического приема  и ортодонтического лечения (3588_12),Нравственность (СК) (622_4),"Удаление зубов, опухолей, кист (3600_12)",Ведение амбулаторного хирургического приема и хирургического лечения (3586_12),Вежливость (СК) (581_4),Внимательность (СК) (536_4)
False,0.0,Астраханская область,1,False,12101.25,60000.0,5342.8985,5086.2182,4726.8659,4462.2877,4114.7822,3822.5615,2791.8915,2483.8752,2353.5606,2219.2971,1994.2082,1863.8936,1757.2726,1701.9876,1682.243,1239.9631,1133.3421,1097.8018,987.2318,785.8365,773.9897,762.143,647.6241,592.3391,517.3095,497.5648,493.6159,485.718,450.1777,398.8416,371.1992,367.2502,359.3524,315.9142,308.0163,304.0674,240.8846,240.8846,225.0889
False,0.0,Тульская область,1,False,12101.25,80000.0,7123.8647,6781.6243,6302.4878,5949.717,5486.3762,5096.7487,3722.522,3311.8336,3138.0808,2959.0628,2658.9443,2485.1915,2343.0301,2269.3168,2242.9907,1653.2842,1511.1228,1463.7357,1316.3091,1047.782,1031.9863,1016.1906,863.4987,789.7854,689.746,663.4198,658.1545,647.6241,600.2369,531.7889,494.9322,489.667,479.1365,421.2189,410.6884,405.4232,321.1794,321.1794,300.1185
False,0.0,Тульская область,1,True,19424.0,30000.0,2671.4493,2543.1091,2363.4329,2231.1439,2057.3911,1911.2808,1395.9458,1241.9376,1176.7803,1109.6485,997.1041,931.9468,878.6363,850.9938,841.1215,619.9816,566.6711,548.9009,493.6159,392.9183,386.9949,381.0715,323.812,296.1695,258.6547,248.7824,246.808,242.859,225.0889,199.4208,185.5996,183.6251,179.6762,157.9571,154.0082,152.0337,120.4423,120.4423,112.5444
False,0.0,Тверская область,1,False,12101.25,60000.0,5342.8985,5086.2182,4726.8659,4462.2877,4114.7822,3822.5615,2791.8915,2483.8752,2353.5606,2219.2971,1994.2082,1863.8936,1757.2726,1701.9876,1682.243,1239.9631,1133.3421,1097.8018,987.2318,785.8365,773.9897,762.143,647.6241,592.3391,517.3095,497.5648,493.6159,485.718,450.1777,398.8416,371.1992,367.2502,359.3524,315.9142,308.0163,304.0674,240.8846,240.8846,225.0889
False,0.0,Тверская область,1,True,19424.0,19424.0,1729.6743,1646.5784,1530.244,1444.5913,1332.0921,1237.4906,903.8284,804.1132,761.926,718.4604,645.5917,603.4045,568.8877,550.9901,544.5981,401.4174,366.9006,355.395,319.5998,254.4015,250.5663,246.7311,209.6575,191.7599,167.4703,161.0783,159.7999,157.2431,145.7375,129.1183,120.1695,118.8911,116.3343,102.2719,99.7152,98.4368,77.9824,77.9824,72.8688
False,0.0,Архангельская область,1,False,12101.25,54000.0,4808.6087,4577.5964,4254.1793,4016.059,3703.3039,3440.3054,2512.7024,2235.4877,2118.2046,1997.3674,1794.7874,1677.5043,1581.5453,1531.7889,1514.0187,1115.9668,1020.0079,988.0216,888.5086,707.2529,696.5908,685.9287,582.8617,533.1052,465.5785,447.8083,444.2543,437.1462,405.1599,358.9575,334.0792,330.5252,323.4171,284.3228,277.2147,273.6607,216.7961,216.7961,202.58
False,0.0,Архангельская область,1,True,16242.0,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Республика Марий Эл,1,False,13984.0,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Республика Марий Эл,1,True,19812.5,30000.0,2671.4493,2543.1091,2363.4329,2231.1439,2057.3911,1911.2808,1395.9458,1241.9376,1176.7803,1109.6485,997.1041,931.9468,878.6363,850.9938,841.1215,619.9816,566.6711,548.9009,493.6159,392.9183,386.9949,381.0715,323.812,296.1695,258.6547,248.7824,246.808,242.859,225.0889,199.4208,185.5996,183.6251,179.6762,157.9571,154.0082,152.0337,120.4423,120.4423,112.5444
False,0.0,Луганская область,1,False,20000.0,60000.0,5342.8985,5086.2182,4726.8659,4462.2877,4114.7822,3822.5615,2791.8915,2483.8752,2353.5606,2219.2971,1994.2082,1863.8936,1757.2726,1701.9876,1682.243,1239.9631,1133.3421,1097.8018,987.2318,785.8365,773.9897,762.143,647.6241,592.3391,517.3095,497.5648,493.6159,485.718,450.1777,398.8416,371.1992,367.2502,359.3524,315.9142,308.0163,304.0674,240.8846,240.8846,225.0889
False,0.0,Волгоградская область,2,False,12101.25,54000.0,4808.6087,4577.5964,4254.1793,4016.059,3703.3039,3440.3054,2512.7024,2235.4877,2118.2046,1997.3674,1794.7874,1677.5043,1581.5453,1531.7889,1514.0187,1115.9668,1020.0079,988.0216,888.5086,707.2529,696.5908,685.9287,582.8617,533.1052,465.5785,447.8083,444.2543,437.1462,405.1599,358.9575,334.0792,330.5252,323.4171,284.3228,277.2147,273.6607,216.7961,216.7961,202.58
False,0.0,Волгоградская область,2,True,50000.0,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Республика Коми,1,False,16000.0,150000.0,13357.2463,12715.5456,11817.1647,11155.7194,10286.9554,9556.4038,6979.7288,6209.688,5883.9015,5548.2427,4985.5206,4659.7341,4393.1815,4254.9691,4205.6075,3099.9079,2833.3553,2744.5044,2468.0795,1964.5913,1934.9743,1905.3574,1619.0602,1480.8477,1293.2737,1243.9121,1234.0398,1214.2951,1125.4443,997.1041,927.9979,918.1256,898.3809,789.7854,770.0408,760.1685,602.2114,602.2114,562.7221
False,0.0,Кировская область,1,False,12101.25,60000.0,5342.8985,5086.2182,4726.8659,4462.2877,4114.7822,3822.5615,2791.8915,2483.8752,2353.5606,2219.2971,1994.2082,1863.8936,1757.2726,1701.9876,1682.243,1239.9631,1133.3421,1097.8018,987.2318,785.8365,773.9897,762.143,647.6241,592.3391,517.3095,497.5648,493.6159,485.718,450.1777,398.8416,371.1992,367.2502,359.3524,315.9142,308.0163,304.0674,240.8846,240.8846,225.0889
False,0.0,Кировская область,1,True,19424.0,19424.0,1729.6743,1646.5784,1530.244,1444.5913,1332.0921,1237.4906,903.8284,804.1132,761.926,718.4604,645.5917,603.4045,568.8877,550.9901,544.5981,401.4174,366.9006,355.395,319.5998,254.4015,250.5663,246.7311,209.6575,191.7599,167.4703,161.0783,159.7999,157.2431,145.7375,129.1183,120.1695,118.8911,116.3343,102.2719,99.7152,98.4368,77.9824,77.9824,72.8688
False,0.0,Вологодская область,1,False,12101.25,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Вологодская область,1,True,19812.5,19812.5,1764.2696,1679.5116,1560.8505,1473.4846,1358.7354,1262.2417,921.9059,820.1963,777.1653,732.8304,658.5042,615.4732,580.2661,562.0105,555.4907,409.4462,374.239,362.5033,325.9922,259.4898,255.5779,251.666,213.8509,195.5953,170.8199,164.3001,162.9961,160.3881,148.6524,131.7008,122.5731,121.2691,118.6611,104.3175,101.7096,100.4056,79.5421,79.5421,74.3262
False,0.0,Республика Хакасия,1,False,12101.25,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Республика Хакасия,1,True,19424.0,19424.0,1729.6743,1646.5784,1530.244,1444.5913,1332.0921,1237.4906,903.8284,804.1132,761.926,718.4604,645.5917,603.4045,568.8877,550.9901,544.5981,401.4174,366.9006,355.395,319.5998,254.4015,250.5663,246.7311,209.6575,191.7599,167.4703,161.0783,159.7999,157.2431,145.7375,129.1183,120.1695,118.8911,116.3343,102.2719,99.7152,98.4368,77.9824,77.9824,72.8688
False,0.0,Республика Татарстан,0,False,12101.25,130000.0,11576.2801,11020.1395,10241.5427,9668.2901,8915.3613,8282.2167,6049.0983,5381.7296,5099.3813,4808.477,4320.7845,4038.4362,3807.424,3687.6399,3644.8598,2686.5868,2455.5746,2378.5705,2139.0022,1702.6458,1676.9778,1651.3097,1403.1855,1283.4013,1120.8372,1078.0571,1069.5011,1052.3891,975.385,864.1569,804.2648,795.7088,778.5968,684.4807,667.3687,658.8127,521.9165,521.9165,487.6925
False,0.0,Республика Татарстан,0,True,13984.0,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Нижегородская область,0,False,12101.25,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Республика Бурятия,1,False,19424.0,72000.0,6411.4782,6103.4619,5672.239,5354.7453,4937.7386,4587.0738,3350.2698,2980.6503,2824.2727,2663.1565,2393.0499,2236.6724,2108.7271,2042.3852,2018.6916,1487.9558,1360.0105,1317.3621,1184.6782,943.0038,928.7877,914.5715,777.1489,710.8069,620.7714,597.0778,592.3391,582.8617,540.2132,478.61,445.439,440.7003,431.2229,379.097,369.6196,364.8809,289.0615,289.0615,270.1066
False,0.0,Республика Бурятия,1,True,30000.0,30000.0,2671.4493,2543.1091,2363.4329,2231.1439,2057.3911,1911.2808,1395.9458,1241.9376,1176.7803,1109.6485,997.1041,931.9468,878.6363,850.9938,841.1215,619.9816,566.6711,548.9009,493.6159,392.9183,386.9949,381.0715,323.812,296.1695,258.6547,248.7824,246.808,242.859,225.0889,199.4208,185.5996,183.6251,179.6762,157.9571,154.0082,152.0337,120.4423,120.4423,112.5444
False,0.0,Ставропольский край,2,False,12101.25,55000.0,4897.657,4662.3667,4332.9604,4090.4304,3771.8836,3504.0147,2559.2339,2276.8856,2157.4306,2034.3557,1828.0242,1708.5692,1610.8332,1560.1553,1542.0561,1136.6329,1038.8969,1006.3183,904.9625,720.3501,709.4906,698.631,593.6554,542.9775,474.2003,456.1011,452.4812,445.2415,412.6629,365.6048,340.2659,336.646,329.4063,289.588,282.3483,278.7284,220.8108,220.8108,206.3314
False,0.0,Ставропольский край,2,True,20000.0,27500.0,2448.8285,2331.1834,2166.4802,2045.2152,1885.9418,1752.0074,1279.617,1138.4428,1078.7153,1017.1778,914.0121,854.2846,805.4166,780.0777,771.028,568.3164,519.4485,503.1591,452.4812,360.1751,354.7453,349.3155,296.8277,271.4887,237.1002,228.0505,226.2406,222.6208,206.3314,182.8024,170.1329,168.323,164.7032,144.794,141.1741,139.3642,110.4054,110.4054,103.1657
False,0.0,Алтайский край,2,False,12101.25,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Алтайский край,2,True,13984.0,28858.0,2569.7561,2446.3014,2273.4649,2146.2117,1979.0731,1838.5247,1342.8068,1194.6612,1131.9842,1067.4079,959.1477,896.4707,845.1895,818.5993,809.1028,596.3809,545.0998,528.0061,474.8256,377.9612,372.2633,366.5654,311.4856,284.8954,248.8086,239.3121,237.4128,233.6142,216.5205,191.8295,178.5344,176.6351,172.8365,151.9442,148.1456,146.2463,115.8574,115.8574,108.2602
False,0.0,Приморский край,1,False,12101.25,100000.0,8904.8309,8477.0304,7878.1098,7437.1462,6857.9703,6370.9359,4653.1526,4139.792,3922.601,3698.8285,3323.6804,3106.4894,2928.7877,2836.646,2803.7383,2066.6052,1888.9035,1829.6696,1645.3863,1309.7275,1289.9829,1270.2383,1079.3734,987.2318,862.1824,829.2747,822.6932,809.5301,750.2962,664.7361,618.6653,612.0837,598.9206,526.5236,513.3605,506.779,401.4743,401.4743,375.1481
False,0.0,Приморский край,1,True,19424.0,27519.0,2450.5204,2332.794,2167.977,2046.6283,1887.2448,1753.2178,1280.5011,1139.2294,1079.4606,1017.8806,914.6436,854.8748,805.9731,780.6166,771.5607,568.7091,519.8074,503.5068,452.7939,360.4239,354.9904,349.5569,297.0328,271.6763,237.264,228.2081,226.3969,222.7746,206.474,182.9287,170.2505,168.4393,164.817,144.894,141.2717,139.4605,110.4817,110.4817,103.237
False,0.0,Оренбургская область,2,False,12101.25,80000.0,7123.8647,6781.6243,6302.4878,5949.717,5486.3762,5096.7487,3722.522,3311.8336,3138.0808,2959.0628,2658.9443,2485.1915,2343.0301,2269.3168,2242.9907,1653.2842,1511.1228,1463.7357,1316.3091,1047.782,1031.9863,1016.1906,863.4987,789.7854,689.746,663.4198,658.1545,647.6241,600.2369,531.7889,494.9322,489.667,479.1365,421.2189,410.6884,405.4232,321.1794,321.1794,300.1185
False,0.0,Оренбургская область,2,True,40000.0,40000.0,3561.9323,3390.8122,3151.2439,2974.8585,2743.1881,2548.3744,1861.261,1655.9168,1569.0404,1479.5314,1329.4722,1242.5958,1171.5151,1134.6584,1121.4953,826.6421,755.5614,731.8678,658.1545,523.891,515.9932,508.0953,431.7494,394.8927,344.873,331.7099,329.0773,323.812,300.1185,265.8944,247.4661,244.8335,239.5683,210.6095,205.3442,202.7116,160.5897,160.5897,150.0592
False,0.0,Липецкая область,1,False,13984.0,60000.0,5342.8985,5086.2182,4726.8659,4462.2877,4114.7822,3822.5615,2791.8915,2483.8752,2353.5606,2219.2971,1994.2082,1863.8936,1757.2726,1701.9876,1682.243,1239.9631,1133.3421,1097.8018,987.2318,785.8365,773.9897,762.143,647.6241,592.3391,517.3095,497.5648,493.6159,485.718,450.1777,398.8416,371.1992,367.2502,359.3524,315.9142,308.0163,304.0674,240.8846,240.8846,225.0889
False,0.0,Липецкая область,1,True,19812.5,60000.0,5342.8985,5086.2182,4726.8659,4462.2877,4114.7822,3822.5615,2791.8915,2483.8752,2353.5606,2219.2971,1994.2082,1863.8936,1757.2726,1701.9876,1682.243,1239.9631,1133.3421,1097.8018,987.2318,785.8365,773.9897,762.143,647.6241,592.3391,517.3095,497.5648,493.6159,485.718,450.1777,398.8416,371.1992,367.2502,359.3524,315.9142,308.0163,304.0674,240.8846,240.8846,225.0889
False,0.0,Курганская область,1,False,12101.25,75000.0,6678.6231,6357.7728,5908.5823,5577.8597,5143.4777,4778.2019,3489.8644,3104.844,2941.9508,2774.1214,2492.7603,2329.8671,2196.5908,2127.4845,2102.8037,1549.9539,1416.6776,1372.2522,1234.0398,982.2956,967.4872,952.6787,809.5301,740.4239,646.6368,621.956,617.0199,607.1476,562.7221,498.5521,463.9989,459.0628,449.1905,394.8927,385.0204,380.0842,301.1057,301.1057,281.3611
False,0.0,Курганская область,1,True,12101.25,12101.25,1077.5958,1025.8266,953.3498,899.9877,829.9001,770.9629,563.0896,500.9666,474.6838,447.6045,402.2069,375.924,354.4199,343.2696,339.2874,250.0851,228.5809,221.4129,199.1123,158.4934,156.1041,153.7147,130.6177,119.4674,104.3349,100.3526,99.5562,97.9633,90.7952,80.4414,74.8662,74.0698,72.4769,63.7159,62.123,61.3266,48.5834,48.5834,45.3976
False,0.0,Псковская область,1,False,13984.0,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Псковская область,1,True,19424.0,19424.0,1729.6743,1646.5784,1530.244,1444.5913,1332.0921,1237.4906,903.8284,804.1132,761.926,718.4604,645.5917,603.4045,568.8877,550.9901,544.5981,401.4174,366.9006,355.395,319.5998,254.4015,250.5663,246.7311,209.6575,191.7599,167.4703,161.0783,159.7999,157.2431,145.7375,129.1183,120.1695,118.8911,116.3343,102.2719,99.7152,98.4368,77.9824,77.9824,72.8688
False,0.0,Республика Алтай,1,False,20000.0,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Новгородская область,1,False,13984.0,50000.0,4452.4154,4238.5152,3939.0549,3718.5731,3428.9851,3185.4679,2326.5763,2069.896,1961.3005,1849.4142,1661.8402,1553.2447,1464.3938,1418.323,1401.8692,1033.3026,944.4518,914.8348,822.6932,654.8638,644.9914,635.1191,539.6867,493.6159,431.0912,414.6374,411.3466,404.765,375.1481,332.368,309.3326,306.0419,299.4603,263.2618,256.6803,253.3895,200.7371,200.7371,187.574
False,0.0,Новгородская область,1,True,15000.0,15000.0,1335.7246,1271.5546,1181.7165,1115.5719,1028.6955,955.6404,697.9729,620.9688,588.3902,554.8243,498.5521,465.9734,439.3182,425.4969,420.5607,309.9908,283.3355,274.4504,246.808,196.4591,193.4974,190.5357,161.906,148.0848,129.3274,124.3912,123.404,121.4295,112.5444,99.7104,92.7998,91.8126,89.8381,78.9785,77.0041,76.0168,60.2211,60.2211,56.2722
