is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",(крановщик) Управление автомобильным краном (5200_30),Дисциплинированность (СК) (593_4),(крановщик) Управление мостовыми кранами (5203_30),(стропальщик) Работы по погрузке выгрузке (обобщенные) (1941_30),"Личные установки и ценности, мировоззрение (2043_4)",Аккуратность (СК) (575_4),(крановщик) Работа на кране (4417_30),(крановщик) Эксплуатация мостовых кранов (4866_30),"(крановщик) Эксплуатация пневмоколесных, гусеничных кранов (5011_30)",(АГП) Обслуживание и ремонт (3691_30),(крановщик) Выполнять погрузочно-разгрузочные работы (5355_30),(крановщик) Управление автомобильным краном 25-60т (5201_30),(АГП) Выявление и устранение неисправностей (4337_30),Склонность к здоровому образу жизни (СК) (1662_4),Командность (СК) (1371_4),(крановщик) автокран сортировка (5219_30),"(крановщик) (Проходная) Управление грузоподъемными механизмами, кранами, и специальными погрузочными машинами (4416_30)",(крановщик) Знание устройства и конструктивных особенностей ГПМ (4831_30),(крановщик) Подготовка крана (4419_30),(крановщик) Управление пневмоколесными кранами (5209_30),(крановщик) Регулирование грузоподъемных механизмов и погрузочных устройств (5390_30),Высокая работоспособность (СК) (586_4),(крановщик) Управление шлюзовыми кранами (5211_30),(крановщик) Эксплуатация автомобильного крана (5009_30),(крановщик) Погрузка-разгрузка (4421_30),"(крановщик) Осмотр, обслуживание креплений, и регулировка механизмов (5388_30)",(крановщик) Техническое обслуживание и ремонт грузоподъемного механизма (5414_30),(крановщик) Перемещение различных грузов (5331_30),(крановщик) Управление механизмами крана (5226_30),Коммуникабельность (СК) (617_4),(крановщик) Неоднородные группы разбор (5302_30),(крановщик) Выявление и устранение неисправностей обслуживаемых автокранов грузоподъемных механизмов машин (4829_30)
False,2.0,Челябинская область,0,False,24000.0,176000.0,25343.2067,18571.7965,16673.5351,10709.5943,10114.6169,9873.7927,7224.7263,6318.094,6218.9311,6077.2698,5765.6149,5014.81,4023.1809,3924.018,3541.5325,3088.2164,2804.8938,2762.3954,2493.2389,2323.2453,2238.2486,2124.9195,1997.4243,1940.7598,1855.763,1770.7663,1770.7663,1714.1017,1629.105,1572.4404,1572.4404,1515.7759,1430.7791
False,2.0,Челябинская область,0,True,81000.0,81000.0,11663.6349,8547.2473,7673.6156,4928.8474,4655.0225,4544.1887,3325.0161,2907.7592,2862.1217,2796.9253,2653.4932,2307.9524,1851.5776,1805.9401,1629.9099,1421.2814,1290.8886,1271.3297,1147.4565,1069.2209,1030.103,977.9459,919.2692,893.1906,854.0728,814.9549,814.9549,788.8764,749.7585,723.68,723.68,697.6014,658.4836
False,2.0,Ростовская область,0,False,24000.0,150000.0,21599.3239,15828.2357,14210.3992,9127.4952,8620.4121,8415.1642,6157.4372,5384.7392,5300.2254,5179.4913,4913.8764,4273.9858,3428.8474,3344.3335,3018.3516,2632.0026,2390.5344,2354.3142,2124.9195,1980.0386,1907.5982,1811.0109,1702.3503,1654.0567,1581.6162,1509.1758,1509.1758,1460.8822,1388.4417,1340.1481,1340.1481,1291.8545,1219.414
False,2.0,Тверская область,1,False,20000.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
False,2.0,Кемеровская область,1,False,24000.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
False,2.0,Тульская область,1,False,24000.0,81000.0,11663.6349,8547.2473,7673.6156,4928.8474,4655.0225,4544.1887,3325.0161,2907.7592,2862.1217,2796.9253,2653.4932,2307.9524,1851.5776,1805.9401,1629.9099,1421.2814,1290.8886,1271.3297,1147.4565,1069.2209,1030.103,977.9459,919.2692,893.1906,854.0728,814.9549,814.9549,788.8764,749.7585,723.68,723.68,697.6014,658.4836
False,2.0,Калужская область,1,False,24000.0,81000.0,11663.6349,8547.2473,7673.6156,4928.8474,4655.0225,4544.1887,3325.0161,2907.7592,2862.1217,2796.9253,2653.4932,2307.9524,1851.5776,1805.9401,1629.9099,1421.2814,1290.8886,1271.3297,1147.4565,1069.2209,1030.103,977.9459,919.2692,893.1906,854.0728,814.9549,814.9549,788.8764,749.7585,723.68,723.68,697.6014,658.4836
False,2.0,Самарская область,0,False,18150.0,180000.0,25919.1887,18993.8828,17052.4791,10952.9942,10344.4945,10098.197,7388.9247,6461.6871,6360.2704,6215.3896,5896.6516,5128.783,4114.6169,4013.2003,3622.0219,3158.4031,2868.6413,2825.1771,2549.9034,2376.0464,2289.1178,2173.2131,2042.8203,1984.868,1897.9395,1811.0109,1811.0109,1753.0586,1666.1301,1608.1777,1608.1777,1550.2254,1463.2968
False,2.0,Орловская область,1,False,25000.0,81000.0,11663.6349,8547.2473,7673.6156,4928.8474,4655.0225,4544.1887,3325.0161,2907.7592,2862.1217,2796.9253,2653.4932,2307.9524,1851.5776,1805.9401,1629.9099,1421.2814,1290.8886,1271.3297,1147.4565,1069.2209,1030.103,977.9459,919.2692,893.1906,854.0728,814.9549,814.9549,788.8764,749.7585,723.68,723.68,697.6014,658.4836
False,2.0,Орловская область,1,True,50000.0,50000.0,7199.7746,5276.0786,4736.7997,3042.4984,2873.4707,2805.0547,2052.4791,1794.9131,1766.7418,1726.4971,1637.9588,1424.6619,1142.9491,1114.7778,1006.1172,877.3342,796.8448,784.7714,708.3065,660.0129,635.8661,603.6703,567.4501,551.3522,527.2054,503.0586,503.0586,486.9607,462.8139,446.716,446.716,430.6182,406.4713
False,2.0,Республика Татарстан,0,False,25000.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
False,2.0,Республика Татарстан,0,True,35000.0,35000.0,5039.8422,3693.255,3315.7598,2129.7489,2011.4295,1963.5383,1436.7354,1256.4392,1236.7193,1208.548,1146.5712,997.2634,800.0644,780.3445,704.282,614.1339,557.7914,549.34,495.8146,462.009,445.1062,422.5692,397.2151,385.9466,369.0438,352.141,352.141,340.8725,323.9697,312.7012,312.7012,301.4327,284.5299
False,2.0,Республика Мордовия,1,False,24000.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
False,2.0,Вологодская область,1,False,24000.0,150000.0,21599.3239,15828.2357,14210.3992,9127.4952,8620.4121,8415.1642,6157.4372,5384.7392,5300.2254,5179.4913,4913.8764,4273.9858,3428.8474,3344.3335,3018.3516,2632.0026,2390.5344,2354.3142,2124.9195,1980.0386,1907.5982,1811.0109,1702.3503,1654.0567,1581.6162,1509.1758,1509.1758,1460.8822,1388.4417,1340.1481,1340.1481,1291.8545,1219.414
False,2.0,Нижегородская область,0,False,24000.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
False,2.0,Ставропольский край,2,False,25000.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
False,2.0,Брянская область,1,False,25000.0,81000.0,11663.6349,8547.2473,7673.6156,4928.8474,4655.0225,4544.1887,3325.0161,2907.7592,2862.1217,2796.9253,2653.4932,2307.9524,1851.5776,1805.9401,1629.9099,1421.2814,1290.8886,1271.3297,1147.4565,1069.2209,1030.103,977.9459,919.2692,893.1906,854.0728,814.9549,814.9549,788.8764,749.7585,723.68,723.68,697.6014,658.4836
False,2.0,Белгородская область,2,False,24000.0,120000.0,17279.4591,12662.5885,11368.3194,7301.9961,6896.3297,6732.1314,4925.9498,4307.7914,4240.1803,4143.593,3931.1011,3419.1887,2743.0779,2675.4668,2414.6813,2105.6021,1912.4276,1883.4514,1699.9356,1584.0309,1526.0786,1448.8088,1361.8802,1323.2453,1265.293,1207.3406,1207.3406,1168.7057,1110.7534,1072.1185,1072.1185,1033.4836,975.5312
False,2.0,Пензенская область,1,False,24000.0,120000.0,17279.4591,12662.5885,11368.3194,7301.9961,6896.3297,6732.1314,4925.9498,4307.7914,4240.1803,4143.593,3931.1011,3419.1887,2743.0779,2675.4668,2414.6813,2105.6021,1912.4276,1883.4514,1699.9356,1584.0309,1526.0786,1448.8088,1361.8802,1323.2453,1265.293,1207.3406,1207.3406,1168.7057,1110.7534,1072.1185,1072.1185,1033.4836,975.5312
False,2.0,Ленинградская область,1,False,24000.0,150000.0,21599.3239,15828.2357,14210.3992,9127.4952,8620.4121,8415.1642,6157.4372,5384.7392,5300.2254,5179.4913,4913.8764,4273.9858,3428.8474,3344.3335,3018.3516,2632.0026,2390.5344,2354.3142,2124.9195,1980.0386,1907.5982,1811.0109,1702.3503,1654.0567,1581.6162,1509.1758,1509.1758,1460.8822,1388.4417,1340.1481,1340.1481,1291.8545,1219.414
False,2.0,Оренбургская область,2,False,18700.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
False,2.0,Липецкая область,1,False,24000.0,81000.0,11663.6349,8547.2473,7673.6156,4928.8474,4655.0225,4544.1887,3325.0161,2907.7592,2862.1217,2796.9253,2653.4932,2307.9524,1851.5776,1805.9401,1629.9099,1421.2814,1290.8886,1271.3297,1147.4565,1069.2209,1030.103,977.9459,919.2692,893.1906,854.0728,814.9549,814.9549,788.8764,749.7585,723.68,723.68,697.6014,658.4836
False,2.0,Чувашская Республика,1,False,24000.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
False,2.0,Курская область,2,False,24000.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
False,2.0,Республика Крым,1,False,24000.0,150000.0,21599.3239,15828.2357,14210.3992,9127.4952,8620.4121,8415.1642,6157.4372,5384.7392,5300.2254,5179.4913,4913.8764,4273.9858,3428.8474,3344.3335,3018.3516,2632.0026,2390.5344,2354.3142,2124.9195,1980.0386,1907.5982,1811.0109,1702.3503,1654.0567,1581.6162,1509.1758,1509.1758,1460.8822,1388.4417,1340.1481,1340.1481,1291.8545,1219.414
False,2.0,Владимирская область,1,False,25000.0,150000.0,21599.3239,15828.2357,14210.3992,9127.4952,8620.4121,8415.1642,6157.4372,5384.7392,5300.2254,5179.4913,4913.8764,4273.9858,3428.8474,3344.3335,3018.3516,2632.0026,2390.5344,2354.3142,2124.9195,1980.0386,1907.5982,1811.0109,1702.3503,1654.0567,1581.6162,1509.1758,1509.1758,1460.8822,1388.4417,1340.1481,1340.1481,1291.8545,1219.414
False,2.0,Рязанская область,1,False,28489.75,150000.0,21599.3239,15828.2357,14210.3992,9127.4952,8620.4121,8415.1642,6157.4372,5384.7392,5300.2254,5179.4913,4913.8764,4273.9858,3428.8474,3344.3335,3018.3516,2632.0026,2390.5344,2354.3142,2124.9195,1980.0386,1907.5982,1811.0109,1702.3503,1654.0567,1581.6162,1509.1758,1509.1758,1460.8822,1388.4417,1340.1481,1340.1481,1291.8545,1219.414
False,2.0,Ханты-Мансийский автономный округ — Югра,1,False,26000.0,200000.0,28799.0985,21104.3142,18947.199,12169.9936,11493.8828,11220.2189,8209.9163,7179.6523,7066.9672,6905.9884,6551.8352,5698.6478,4571.7965,4459.1114,4024.4688,3509.3368,3187.3793,3139.0856,2833.226,2640.0515,2543.4643,2414.6813,2269.8004,2205.4089,2108.8216,2012.2344,2012.2344,1947.8429,1851.2556,1786.8641,1786.8641,1722.4726,1625.8854
False,2.0,Ханты-Мансийский автономный округ — Югра,1,True,35000.0,35000.0,5039.8422,3693.255,3315.7598,2129.7489,2011.4295,1963.5383,1436.7354,1256.4392,1236.7193,1208.548,1146.5712,997.2634,800.0644,780.3445,704.282,614.1339,557.7914,549.34,495.8146,462.009,445.1062,422.5692,397.2151,385.9466,369.0438,352.141,352.141,340.8725,323.9697,312.7012,312.7012,301.4327,284.5299
False,2.0,Хабаровский край,1,False,21114.0,180000.0,25919.1887,18993.8828,17052.4791,10952.9942,10344.4945,10098.197,7388.9247,6461.6871,6360.2704,6215.3896,5896.6516,5128.783,4114.6169,4013.2003,3622.0219,3158.4031,2868.6413,2825.1771,2549.9034,2376.0464,2289.1178,2173.2131,2042.8203,1984.868,1897.9395,1811.0109,1811.0109,1753.0586,1666.1301,1608.1777,1608.1777,1550.2254,1463.2968
False,2.0,Город федерального значения Москва,0,False,25000.0,150000.0,21599.3239,15828.2357,14210.3992,9127.4952,8620.4121,8415.1642,6157.4372,5384.7392,5300.2254,5179.4913,4913.8764,4273.9858,3428.8474,3344.3335,3018.3516,2632.0026,2390.5344,2354.3142,2124.9195,1980.0386,1907.5982,1811.0109,1702.3503,1654.0567,1581.6162,1509.1758,1509.1758,1460.8822,1388.4417,1340.1481,1340.1481,1291.8545,1219.414
False,2.0,Город федерального значения Москва,0,True,70000.0,99500.0,14327.5515,10499.3963,9426.2315,6054.5718,5718.2067,5582.0589,4084.4334,3571.877,3515.8162,3435.7292,3259.538,2835.0773,2274.4688,2218.4079,2002.1732,1745.895,1585.7212,1561.6951,1409.5299,1313.4256,1265.3735,1201.3039,1129.2257,1097.1909,1049.1388,1001.0866,1001.0866,969.0518,920.9997,888.9649,888.9649,856.9301,808.878
False,2.0,Краснодарский край,0,False,25000.0,180000.0,25919.1887,18993.8828,17052.4791,10952.9942,10344.4945,10098.197,7388.9247,6461.6871,6360.2704,6215.3896,5896.6516,5128.783,4114.6169,4013.2003,3622.0219,3158.4031,2868.6413,2825.1771,2549.9034,2376.0464,2289.1178,2173.2131,2042.8203,1984.868,1897.9395,1811.0109,1811.0109,1753.0586,1666.1301,1608.1777,1608.1777,1550.2254,1463.2968
False,2.0,Республика Коми,1,False,25000.0,160000.0,23039.2788,16883.4514,15157.7592,9735.9948,9195.1062,8976.1751,6567.933,5743.7218,5653.5737,5524.7907,5241.4681,4558.9182,3657.4372,3567.2891,3219.575,2807.4694,2549.9034,2511.2685,2266.5808,2112.0412,2034.7714,1931.745,1815.8403,1764.3271,1687.0573,1609.7875,1609.7875,1558.2743,1481.0045,1429.4913,1429.4913,1377.9781,1300.7083
False,2.0,Республика Коми,1,True,99500.0,99500.0,14327.5515,10499.3963,9426.2315,6054.5718,5718.2067,5582.0589,4084.4334,3571.877,3515.8162,3435.7292,3259.538,2835.0773,2274.4688,2218.4079,2002.1732,1745.895,1585.7212,1561.6951,1409.5299,1313.4256,1265.3735,1201.3039,1129.2257,1097.1909,1049.1388,1001.0866,1001.0866,969.0518,920.9997,888.9649,888.9649,856.9301,808.878
False,2.0,Республика Башкортостан,0,False,18000.0,165000.0,23759.2563,17411.0592,15631.4392,10040.2447,9482.4533,9256.6806,6773.1809,5923.2131,5830.2479,5697.4404,5405.264,4701.3844,3771.7321,3678.7669,3320.1867,2895.2028,2629.5879,2589.7457,2337.4115,2178.0425,2098.358,1992.112,1872.5853,1819.4623,1739.7778,1660.0934,1660.0934,1606.9704,1527.2859,1474.1629,1474.1629,1421.0399,1341.3554
False,2.0,Алтайский край,2,False,25000.0,165000.0,23759.2563,17411.0592,15631.4392,10040.2447,9482.4533,9256.6806,6773.1809,5923.2131,5830.2479,5697.4404,5405.264,4701.3844,3771.7321,3678.7669,3320.1867,2895.2028,2629.5879,2589.7457,2337.4115,2178.0425,2098.358,1992.112,1872.5853,1819.4623,1739.7778,1660.0934,1660.0934,1606.9704,1527.2859,1474.1629,1474.1629,1421.0399,1341.3554
False,2.0,Удмуртская Республика,1,False,25000.0,150000.0,21599.3239,15828.2357,14210.3992,9127.4952,8620.4121,8415.1642,6157.4372,5384.7392,5300.2254,5179.4913,4913.8764,4273.9858,3428.8474,3344.3335,3018.3516,2632.0026,2390.5344,2354.3142,2124.9195,1980.0386,1907.5982,1811.0109,1702.3503,1654.0567,1581.6162,1509.1758,1509.1758,1460.8822,1388.4417,1340.1481,1340.1481,1291.8545,1219.414
False,2.0,Удмуртская Республика,1,True,50000.0,50000.0,7199.7746,5276.0786,4736.7997,3042.4984,2873.4707,2805.0547,2052.4791,1794.9131,1766.7418,1726.4971,1637.9588,1424.6619,1142.9491,1114.7778,1006.1172,877.3342,796.8448,784.7714,708.3065,660.0129,635.8661,603.6703,567.4501,551.3522,527.2054,503.0586,503.0586,486.9607,462.8139,446.716,446.716,430.6182,406.4713
False,2.0,Сахалинская область,1,False,400.0,180000.0,25919.1887,18993.8828,17052.4791,10952.9942,10344.4945,10098.197,7388.9247,6461.6871,6360.2704,6215.3896,5896.6516,5128.783,4114.6169,4013.2003,3622.0219,3158.4031,2868.6413,2825.1771,2549.9034,2376.0464,2289.1178,2173.2131,2042.8203,1984.868,1897.9395,1811.0109,1811.0109,1753.0586,1666.1301,1608.1777,1608.1777,1550.2254,1463.2968
False,2.0,Тюменская область,1,False,25000.0,180000.0,25919.1887,18993.8828,17052.4791,10952.9942,10344.4945,10098.197,7388.9247,6461.6871,6360.2704,6215.3896,5896.6516,5128.783,4114.6169,4013.2003,3622.0219,3158.4031,2868.6413,2825.1771,2549.9034,2376.0464,2289.1178,2173.2131,2042.8203,1984.868,1897.9395,1811.0109,1811.0109,1753.0586,1666.1301,1608.1777,1608.1777,1550.2254,1463.2968
False,2.0,Тюменская область,1,True,40000.0,40000.0,5759.8197,4220.8628,3789.4398,2433.9987,2298.7766,2244.0438,1641.9833,1435.9305,1413.3934,1381.1977,1310.367,1139.7296,914.3593,891.8223,804.8938,701.8674,637.4759,627.8171,566.6452,528.0103,508.6929,482.9363,453.9601,441.0818,421.7643,402.4469,402.4469,389.5686,370.2511,357.3728,357.3728,344.4945,325.1771
False,2.0,Иркутская область,1,False,25000.0,204000.0,29375.0805,21526.4005,19326.1429,12413.3934,11723.7605,11444.6233,8374.1146,7323.2453,7208.3065,7044.1082,6682.8719,5812.6207,4663.2325,4548.2936,4104.9581,3579.5235,3251.1269,3201.8674,2889.8905,2692.8525,2594.3335,2462.9749,2315.1964,2249.5171,2150.9981,2052.4791,2052.4791,1986.7997,1888.2807,1822.6014,1822.6014,1756.9221,1658.4031
False,2.0,Иркутская область,1,True,60000.0,60000.0,8639.7296,6331.2943,5684.1597,3650.9981,3448.1648,3366.0657,2462.9749,2153.8957,2120.0901,2071.7965,1965.5505,1709.5943,1371.539,1337.7334,1207.3406,1052.801,956.2138,941.7257,849.9678,792.0155,763.0393,724.4044,680.9401,661.6227,632.6465,603.6703,603.6703,584.3529,555.3767,536.0592,536.0592,516.7418,487.7656
False,2.0,Кировская область,1,False,25000.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
False,2.0,Архангельская область,1,False,26000.0,140000.0,20159.369,14773.02,13263.0393,8518.9955,8045.718,7854.1533,5746.9414,5025.7566,4946.877,4834.1919,4586.2846,3989.0534,3200.2576,3121.378,2817.1281,2456.5357,2231.1655,2197.3599,1983.2582,1848.0361,1780.425,1690.2769,1588.8603,1543.7862,1476.1751,1408.5641,1408.5641,1363.49,1295.8789,1250.8049,1250.8049,1205.7308,1138.1198
