is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Знание 1С (2742_8),Внимательность (СК) (536_4),Дисциплинированность (СК) (593_4),Формирование бюджета (3098_8),"Бюджет доходов и расходов (БДР): формирование, анализ, контроль (3108_8)",Бюджетирование (2871_8),"Саморазвитие, обучаемость (СК) (604_4)","Личные установки и ценности, мировоззрение (2043_4)","Восприятие, мышление, внимание, память (УСК) (1330_4)",Знание компьютерных офисных программ (1027_8),(О) Анализ финансово-хозяйственной деятельности (1217_8),Государственные закупки (3244_8),Пользователь ПК (922_8),Составление управленческой отчетности (1587_8),(О) Ведение управленческого учета (652_8),"Многозадачность, интенсивность (СК) (627_4)",Компьютерные программы для ведения бухгалтерского учета (129_8),Стрессоустойчивость (СК) (601_4),Анализ экономической эффективности деятельности компаний (3070_8),"Анализ себестоимости продукции, выполняемых работ (2855_8)",Бизнес-план (3397_8),(О) Работать с программой 1С (847_8),Составление/формирование/подготовка отчетности (ОПТ) (3911_36),"Методическая работа: разработка, актуализация, внедрение, реализация (3833_8)"
True,0.0,Хабаровский край,1,False,35000.0,35000.0,7019.962,3027.5665,2794.6768,2118.1876,1730.038,1519.3283,1430.6084,1297.5285,1275.3485,1053.5488,998.0989,987.0089,975.9189,931.5589,920.4689,798.4791,798.4791,798.4791,776.2991,743.0292,665.3992,598.8593,587.7693,576.6793,576.6793
True,0.0,Ханты-Мансийский автономный округ — Югра,1,False,40000.0,60000.0,12034.2205,5190.1141,4790.8745,3631.1787,2965.7795,2604.5627,2452.4715,2224.3346,2186.3118,1806.0837,1711.0266,1692.0152,1673.0038,1596.9582,1577.9468,1368.8213,1368.8213,1368.8213,1330.7985,1273.7643,1140.6844,1026.616,1007.6046,988.5932,988.5932
True,0.0,Ленинградская область,1,False,40000.0,40000.0,8022.8137,3460.076,3193.9163,2420.7858,1977.1863,1736.3752,1634.981,1482.8897,1457.5412,1204.0558,1140.6844,1128.0101,1115.3359,1064.6388,1051.9645,912.5475,912.5475,912.5475,887.199,849.1762,760.4563,684.4106,671.7364,659.0621,659.0621
True,0.0,Мурманская область,1,False,42100.0,42100.0,8444.0114,3641.73,3361.597,2547.8771,2080.9886,1827.5349,1720.8175,1560.7414,1534.0621,1267.2687,1200.5703,1187.2307,1173.891,1120.5323,1107.1926,960.4563,960.4563,960.4563,933.7769,893.7579,800.3802,720.3422,707.0025,693.6629,693.6629
True,0.0,Город федерального значения Санкт-Петербург,0,False,50000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,2.0,Оренбургская область,2,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Саратовская область,2,False,40000.0,40000.0,8022.8137,3460.076,3193.9163,2420.7858,1977.1863,1736.3752,1634.981,1482.8897,1457.5412,1204.0558,1140.6844,1128.0101,1115.3359,1064.6388,1051.9645,912.5475,912.5475,912.5475,887.199,849.1762,760.4563,684.4106,671.7364,659.0621,659.0621
True,2.0,Пензенская область,1,False,40000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Орловская область,1,False,48000.0,48000.0,9627.3764,4152.0913,3832.6996,2904.943,2372.6236,2083.6502,1961.9772,1779.4677,1749.0494,1444.8669,1368.8213,1353.6122,1338.403,1277.5665,1262.3574,1095.057,1095.057,1095.057,1064.6388,1019.0114,912.5475,821.2928,806.0837,790.8745,790.8745
True,2.0,Кировская область,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Астраханская область,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Брянская область,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Республика Башкортостан,0,False,25000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Республика Марий Эл,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Ульяновская область,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Омская область,1,False,35016.25,35016.25,7023.2212,3028.9722,2795.9743,2119.171,1730.8413,1520.0337,1431.2726,1298.1309,1275.9407,1054.0379,998.5623,987.4671,976.372,931.9914,920.8963,798.8498,798.8498,798.8498,776.6595,743.3741,665.7082,599.1374,588.0422,576.9471,576.9471
True,2.0,Республика Мордовия,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Костромская область,1,False,48000.0,48000.0,9627.3764,4152.0913,3832.6996,2904.943,2372.6236,2083.6502,1961.9772,1779.4677,1749.0494,1444.8669,1368.8213,1353.6122,1338.403,1277.5665,1262.3574,1095.057,1095.057,1095.057,1064.6388,1019.0114,912.5475,821.2928,806.0837,790.8745,790.8745
True,2.0,Липецкая область,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Тамбовская область,2,False,48000.0,48000.0,9627.3764,4152.0913,3832.6996,2904.943,2372.6236,2083.6502,1961.9772,1779.4677,1749.0494,1444.8669,1368.8213,1353.6122,1338.403,1277.5665,1262.3574,1095.057,1095.057,1095.057,1064.6388,1019.0114,912.5475,821.2928,806.0837,790.8745,790.8745
True,2.0,Республика Калмыкия,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Смоленская область,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Волгоградская область,2,False,40000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Удмуртская Республика,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Ставропольский край,2,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Псковская область,1,False,48000.0,48000.0,9627.3764,4152.0913,3832.6996,2904.943,2372.6236,2083.6502,1961.9772,1779.4677,1749.0494,1444.8669,1368.8213,1353.6122,1338.403,1277.5665,1262.3574,1095.057,1095.057,1095.057,1064.6388,1019.0114,912.5475,821.2928,806.0837,790.8745,790.8745
True,2.0,Республика Алтай,1,False,48000.0,48000.0,9627.3764,4152.0913,3832.6996,2904.943,2372.6236,2083.6502,1961.9772,1779.4677,1749.0494,1444.8669,1368.8213,1353.6122,1338.403,1277.5665,1262.3574,1095.057,1095.057,1095.057,1064.6388,1019.0114,912.5475,821.2928,806.0837,790.8745,790.8745
True,2.0,Республика Хакасия,1,False,48000.0,48000.0,9627.3764,4152.0913,3832.6996,2904.943,2372.6236,2083.6502,1961.9772,1779.4677,1749.0494,1444.8669,1368.8213,1353.6122,1338.403,1277.5665,1262.3574,1095.057,1095.057,1095.057,1064.6388,1019.0114,912.5475,821.2928,806.0837,790.8745,790.8745
True,2.0,Нижегородская область,0,False,55000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Калужская область,1,False,61000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Ярославская область,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Краснодарский край,0,False,35000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Республика Карелия,1,False,55000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Республика Татарстан,0,False,27000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Челябинская область,0,False,35000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Тверская область,1,False,61000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Архангельская область,1,False,45000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Тюменская область,1,False,35000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Вологодская область,1,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Новосибирская область,0,False,35000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Самарская область,0,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Томская область,1,False,37000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Ростовская область,0,False,40000.0,50000.0,10028.5171,4325.0951,3992.3954,3025.9823,2471.4829,2170.4689,2043.7262,1853.6122,1821.9265,1505.0697,1425.8555,1410.0127,1394.1698,1330.7985,1314.9556,1140.6844,1140.6844,1140.6844,1108.9987,1061.4702,950.5703,855.5133,839.6705,823.8276,823.8276
True,2.0,Воронежская область,2,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Иркутская область,1,False,35000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Тульская область,1,False,55000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Республика Коми,1,False,40000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Республика Бурятия,1,False,55000.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
True,2.0,Белгородская область,2,False,55000.0,55000.0,11031.3688,4757.6046,4391.635,3328.5805,2718.6312,2387.5158,2248.0989,2038.9734,2004.1191,1655.5767,1568.4411,1551.0139,1533.5868,1463.8783,1446.4512,1254.7529,1254.7529,1254.7529,1219.8986,1167.6172,1045.6274,941.0646,923.6375,906.2104,906.2104
True,2.0,Забайкальский край,1,False,25800.0,61000.0,12234.7909,5276.616,4870.7224,3691.6984,3015.2091,2647.9721,2493.346,2261.4068,2222.7503,1836.185,1739.5437,1720.2155,1700.8872,1623.5741,1604.2459,1391.635,1391.635,1391.635,1352.9785,1294.9937,1159.6958,1043.7262,1024.398,1005.0697,1005.0697
