is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),Автослесарь - Базовые умения по комплексному ТО и Р автотранспорта (2091_31),"Личные установки и ценности, мировоззрение (2043_4)","Автослесарь - Конкретные умения – предрейсовый осмотр, профилактический осмотр, техосмотр (2262_31)",Автоэлектрик - обобщенные знания - знание устройства узлов и агрегатов транспортных средств (3749_31),"Саморазвитие, обучаемость (СК) (604_4)",Командность (СК) (1371_4),Пунктуальность (СК) (612_4),Автослесарь - Конкретные умения – диагностика (2261_31),Высокая работоспособность (СК) (586_4),Трудолюбие (СК) (597_4),Автослесарь - Базовые знания в области конструкции и характеристик АТС (2224_31),Нравственность (СК) (622_4),Автоэлектрик - диагностика неисправностей электрооборудования (3247_31),Внимательность (СК) (536_4),Выполнение ремонтных работ (ОПТ) (8285_36),Автослесарь - Конкретные умения – Ходовая часть - Общие работы по обслуживанию и ремонту систем снизу автомобиля (3830_31),Коммуникабельность (СК) (617_4),"Автослесарь - Конкретные умения – Ремонт агрегатов - Общие работы по ремонту, сборке/разборке, восстановлению (3823_31)",Автоэлектрик - конкретные умения - диагностика и ремонт ходовой части (3723_31),Склонность к здоровому образу жизни (СК) (1662_4),Автослесарь - Конкретные умения – Ремонт агрегатов - Ремонтные работы по двигателю и трансмиссии (3818_31)
False,1.0,Самарская область,0,True,25000.0,25000.0,5409.5827,3091.1901,2002.8336,1461.8753,1436.1154,1159.1963,908.0371,875.8372,817.8774,785.6775,650.4379,624.678,624.678,598.9181,598.9181,508.7584,495.8784,463.6785,450.7986,425.0386,418.5987,412.1587,392.8387,386.3988
False,1.0,Волгоградская область,2,False,16242.0,90000.0,19474.4977,11128.2844,7210.2009,5262.7512,5170.0155,4173.1066,3268.9335,3153.0139,2944.3586,2828.4389,2341.5765,2248.8408,2248.8408,2156.1051,2156.1051,1831.5301,1785.1623,1669.2427,1622.8748,1530.1391,1506.9552,1483.7713,1414.2195,1391.0355
False,1.0,Волгоградская область,2,True,20000.0,20000.0,4327.6662,2472.9521,1602.2669,1169.5003,1148.8923,927.357,726.4297,700.6698,654.3019,628.542,520.3503,499.7424,499.7424,479.1345,479.1345,407.0067,396.7027,370.9428,360.6388,340.0309,334.8789,329.7269,314.271,309.119
False,1.0,Краснодарский край,0,False,18000.0,126000.0,27264.2968,15579.5981,10094.2813,7367.8516,7238.0216,5842.3493,4576.507,4414.2195,4122.102,3959.8145,3278.2071,3148.3771,3148.3771,3018.5471,3018.5471,2564.1422,2499.2272,2336.9397,2272.0247,2142.1947,2109.7372,2077.2798,1979.9073,1947.4498
False,1.0,Краснодарский край,0,True,18580.75,20000.0,4327.6662,2472.9521,1602.2669,1169.5003,1148.8923,927.357,726.4297,700.6698,654.3019,628.542,520.3503,499.7424,499.7424,479.1345,479.1345,407.0067,396.7027,370.9428,360.6388,340.0309,334.8789,329.7269,314.271,309.119
False,1.0,Астраханская область,1,False,16242.0,70000.0,15146.8315,8655.3323,5607.9341,4093.2509,4021.1231,3245.7496,2542.5039,2452.3442,2290.0567,2199.897,1821.2262,1749.0984,1749.0984,1676.9706,1676.9706,1424.5234,1388.4596,1298.2998,1262.236,1190.1082,1172.0762,1154.0443,1099.9485,1081.9165
False,1.0,Астраханская область,1,True,20000.0,20000.0,4327.6662,2472.9521,1602.2669,1169.5003,1148.8923,927.357,726.4297,700.6698,654.3019,628.542,520.3503,499.7424,499.7424,479.1345,479.1345,407.0067,396.7027,370.9428,360.6388,340.0309,334.8789,329.7269,314.271,309.119
False,1.0,Пермский край,1,False,18580.75,90000.0,19474.4977,11128.2844,7210.2009,5262.7512,5170.0155,4173.1066,3268.9335,3153.0139,2944.3586,2828.4389,2341.5765,2248.8408,2248.8408,2156.1051,2156.1051,1831.5301,1785.1623,1669.2427,1622.8748,1530.1391,1506.9552,1483.7713,1414.2195,1391.0355
False,1.0,Пермский край,1,True,35000.0,35000.0,7573.4158,4327.6662,2803.967,2046.6255,2010.5616,1622.8748,1271.2519,1226.1721,1145.0283,1099.9485,910.6131,874.5492,874.5492,838.4853,838.4853,712.2617,694.2298,649.1499,631.118,595.0541,586.0381,577.0222,549.9742,540.9583
False,1.0,Республика Башкортостан,0,False,18000.0,140000.0,30293.6631,17310.6646,11215.8681,8186.5018,8042.2463,6491.4992,5085.0077,4904.6883,4580.1133,4399.7939,3642.4523,3498.1968,3498.1968,3353.9413,3353.9413,2849.0469,2776.9191,2596.5997,2524.4719,2380.2164,2344.1525,2308.0886,2199.897,2163.8331
False,1.0,Республика Башкортостан,0,True,70000.0,70000.0,15146.8315,8655.3323,5607.9341,4093.2509,4021.1231,3245.7496,2542.5039,2452.3442,2290.0567,2199.897,1821.2262,1749.0984,1749.0984,1676.9706,1676.9706,1424.5234,1388.4596,1298.2998,1262.236,1190.1082,1172.0762,1154.0443,1099.9485,1081.9165
False,1.0,Челябинская область,0,False,18580.75,80000.0,17310.6646,9891.8083,6409.0675,4678.001,4595.5693,3709.4281,2905.7187,2802.679,2617.2076,2514.168,2081.4013,1998.9696,1998.9696,1916.5379,1916.5379,1628.0268,1586.8109,1483.7713,1442.5554,1360.1236,1339.5157,1318.9078,1257.084,1236.476
False,1.0,Челябинская область,0,True,18580.75,50000.0,10819.1654,6182.3802,4005.6672,2923.7506,2872.2308,2318.3926,1816.0742,1751.6744,1635.7548,1571.355,1300.8758,1249.356,1249.356,1197.8362,1197.8362,1017.5167,991.7568,927.357,901.5971,850.0773,837.1973,824.3174,785.6775,772.7975
False,1.0,Ростовская область,0,False,18580.75,150000.0,32457.4961,18547.1406,12017.0015,8771.2519,8616.6924,6955.1777,5448.2226,5255.0232,4907.2643,4714.0649,3902.6275,3748.068,3748.068,3593.5085,3593.5085,3052.5502,2975.2705,2782.0711,2704.7913,2550.2318,2511.592,2472.9521,2357.0325,2318.3926
False,1.0,Ростовская область,0,True,18580.75,43000.0,9304.4822,5316.847,3444.8738,2514.4256,2470.1185,1993.8176,1561.8238,1506.44,1406.7491,1351.3653,1118.7532,1074.4462,1074.4462,1030.1391,1030.1391,875.0644,852.9109,797.527,775.3735,731.0665,719.9897,708.9129,675.6826,664.6059
False,1.0,Воронежская область,2,False,18580.75,100000.0,21638.3308,12364.7604,8011.3344,5847.5013,5744.4616,4636.7852,3632.1484,3503.3488,3271.5095,3142.7099,2601.7517,2498.712,2498.712,2395.6723,2395.6723,2035.0335,1983.5137,1854.7141,1803.1942,1700.1546,1674.3946,1648.6347,1571.355,1545.5951
False,1.0,Воронежская область,2,True,25000.0,33000.0,7140.6491,4080.3709,2643.7403,1929.6754,1895.6723,1530.1391,1198.609,1156.1051,1079.5981,1037.0943,858.5781,824.575,824.575,790.5719,790.5719,671.5611,654.5595,612.0556,595.0541,561.051,552.5502,544.0495,518.5471,510.0464
False,1.0,Кировская область,1,False,18580.75,90000.0,19474.4977,11128.2844,7210.2009,5262.7512,5170.0155,4173.1066,3268.9335,3153.0139,2944.3586,2828.4389,2341.5765,2248.8408,2248.8408,2156.1051,2156.1051,1831.5301,1785.1623,1669.2427,1622.8748,1530.1391,1506.9552,1483.7713,1414.2195,1391.0355
False,1.0,Кировская область,1,True,20000.0,20000.0,4327.6662,2472.9521,1602.2669,1169.5003,1148.8923,927.357,726.4297,700.6698,654.3019,628.542,520.3503,499.7424,499.7424,479.1345,479.1345,407.0067,396.7027,370.9428,360.6388,340.0309,334.8789,329.7269,314.271,309.119
False,1.0,Саратовская область,2,False,17000.0,140000.0,30293.6631,17310.6646,11215.8681,8186.5018,8042.2463,6491.4992,5085.0077,4904.6883,4580.1133,4399.7939,3642.4523,3498.1968,3498.1968,3353.9413,3353.9413,2849.0469,2776.9191,2596.5997,2524.4719,2380.2164,2344.1525,2308.0886,2199.897,2163.8331
False,1.0,Саратовская область,2,True,16242.0,20000.0,4327.6662,2472.9521,1602.2669,1169.5003,1148.8923,927.357,726.4297,700.6698,654.3019,628.542,520.3503,499.7424,499.7424,479.1345,479.1345,407.0067,396.7027,370.9428,360.6388,340.0309,334.8789,329.7269,314.271,309.119
False,1.0,Орловская область,1,False,18580.75,70000.0,15146.8315,8655.3323,5607.9341,4093.2509,4021.1231,3245.7496,2542.5039,2452.3442,2290.0567,2199.897,1821.2262,1749.0984,1749.0984,1676.9706,1676.9706,1424.5234,1388.4596,1298.2998,1262.236,1190.1082,1172.0762,1154.0443,1099.9485,1081.9165
False,1.0,Белгородская область,2,False,18580.75,100000.0,21638.3308,12364.7604,8011.3344,5847.5013,5744.4616,4636.7852,3632.1484,3503.3488,3271.5095,3142.7099,2601.7517,2498.712,2498.712,2395.6723,2395.6723,2035.0335,1983.5137,1854.7141,1803.1942,1700.1546,1674.3946,1648.6347,1571.355,1545.5951
False,1.0,Белгородская область,2,True,33000.0,33000.0,7140.6491,4080.3709,2643.7403,1929.6754,1895.6723,1530.1391,1198.609,1156.1051,1079.5981,1037.0943,858.5781,824.575,824.575,790.5719,790.5719,671.5611,654.5595,612.0556,595.0541,561.051,552.5502,544.0495,518.5471,510.0464
False,1.0,Новосибирская область,0,False,18580.75,140000.0,30293.6631,17310.6646,11215.8681,8186.5018,8042.2463,6491.4992,5085.0077,4904.6883,4580.1133,4399.7939,3642.4523,3498.1968,3498.1968,3353.9413,3353.9413,2849.0469,2776.9191,2596.5997,2524.4719,2380.2164,2344.1525,2308.0886,2199.897,2163.8331
False,1.0,Новосибирская область,0,True,50000.0,50000.0,10819.1654,6182.3802,4005.6672,2923.7506,2872.2308,2318.3926,1816.0742,1751.6744,1635.7548,1571.355,1300.8758,1249.356,1249.356,1197.8362,1197.8362,1017.5167,991.7568,927.357,901.5971,850.0773,837.1973,824.3174,785.6775,772.7975
False,1.0,Приморский край,1,False,18580.75,100000.0,21638.3308,12364.7604,8011.3344,5847.5013,5744.4616,4636.7852,3632.1484,3503.3488,3271.5095,3142.7099,2601.7517,2498.712,2498.712,2395.6723,2395.6723,2035.0335,1983.5137,1854.7141,1803.1942,1700.1546,1674.3946,1648.6347,1571.355,1545.5951
False,1.0,Ивановская область,1,False,18580.75,80000.0,17310.6646,9891.8083,6409.0675,4678.001,4595.5693,3709.4281,2905.7187,2802.679,2617.2076,2514.168,2081.4013,1998.9696,1998.9696,1916.5379,1916.5379,1628.0268,1586.8109,1483.7713,1442.5554,1360.1236,1339.5157,1318.9078,1257.084,1236.476
False,1.0,Чувашская Республика,1,False,18580.75,70000.0,15146.8315,8655.3323,5607.9341,4093.2509,4021.1231,3245.7496,2542.5039,2452.3442,2290.0567,2199.897,1821.2262,1749.0984,1749.0984,1676.9706,1676.9706,1424.5234,1388.4596,1298.2998,1262.236,1190.1082,1172.0762,1154.0443,1099.9485,1081.9165
False,1.0,Владимирская область,1,False,18580.75,100000.0,21638.3308,12364.7604,8011.3344,5847.5013,5744.4616,4636.7852,3632.1484,3503.3488,3271.5095,3142.7099,2601.7517,2498.712,2498.712,2395.6723,2395.6723,2035.0335,1983.5137,1854.7141,1803.1942,1700.1546,1674.3946,1648.6347,1571.355,1545.5951
False,1.0,Владимирская область,1,True,20000.0,20000.0,4327.6662,2472.9521,1602.2669,1169.5003,1148.8923,927.357,726.4297,700.6698,654.3019,628.542,520.3503,499.7424,499.7424,479.1345,479.1345,407.0067,396.7027,370.9428,360.6388,340.0309,334.8789,329.7269,314.271,309.119
False,1.0,Алтайский край,2,False,18580.75,80000.0,17310.6646,9891.8083,6409.0675,4678.001,4595.5693,3709.4281,2905.7187,2802.679,2617.2076,2514.168,2081.4013,1998.9696,1998.9696,1916.5379,1916.5379,1628.0268,1586.8109,1483.7713,1442.5554,1360.1236,1339.5157,1318.9078,1257.084,1236.476
False,1.0,Алтайский край,2,True,33000.0,35000.0,7573.4158,4327.6662,2803.967,2046.6255,2010.5616,1622.8748,1271.2519,1226.1721,1145.0283,1099.9485,910.6131,874.5492,874.5492,838.4853,838.4853,712.2617,694.2298,649.1499,631.118,595.0541,586.0381,577.0222,549.9742,540.9583
False,1.0,Ярославская область,1,False,15000.0,140000.0,30293.6631,17310.6646,11215.8681,8186.5018,8042.2463,6491.4992,5085.0077,4904.6883,4580.1133,4399.7939,3642.4523,3498.1968,3498.1968,3353.9413,3353.9413,2849.0469,2776.9191,2596.5997,2524.4719,2380.2164,2344.1525,2308.0886,2199.897,2163.8331
False,1.0,Ярославская область,1,True,35000.0,35000.0,7573.4158,4327.6662,2803.967,2046.6255,2010.5616,1622.8748,1271.2519,1226.1721,1145.0283,1099.9485,910.6131,874.5492,874.5492,838.4853,838.4853,712.2617,694.2298,649.1499,631.118,595.0541,586.0381,577.0222,549.9742,540.9583
False,1.0,Архангельская область,1,False,18580.75,80000.0,17310.6646,9891.8083,6409.0675,4678.001,4595.5693,3709.4281,2905.7187,2802.679,2617.2076,2514.168,2081.4013,1998.9696,1998.9696,1916.5379,1916.5379,1628.0268,1586.8109,1483.7713,1442.5554,1360.1236,1339.5157,1318.9078,1257.084,1236.476
False,1.0,Архангельская область,1,True,35000.0,35000.0,7573.4158,4327.6662,2803.967,2046.6255,2010.5616,1622.8748,1271.2519,1226.1721,1145.0283,1099.9485,910.6131,874.5492,874.5492,838.4853,838.4853,712.2617,694.2298,649.1499,631.118,595.0541,586.0381,577.0222,549.9742,540.9583
False,1.0,Калининградская область,1,False,18580.75,70000.0,15146.8315,8655.3323,5607.9341,4093.2509,4021.1231,3245.7496,2542.5039,2452.3442,2290.0567,2199.897,1821.2262,1749.0984,1749.0984,1676.9706,1676.9706,1424.5234,1388.4596,1298.2998,1262.236,1190.1082,1172.0762,1154.0443,1099.9485,1081.9165
False,1.0,Тюменская область,1,False,18580.75,140000.0,30293.6631,17310.6646,11215.8681,8186.5018,8042.2463,6491.4992,5085.0077,4904.6883,4580.1133,4399.7939,3642.4523,3498.1968,3498.1968,3353.9413,3353.9413,2849.0469,2776.9191,2596.5997,2524.4719,2380.2164,2344.1525,2308.0886,2199.897,2163.8331
False,1.0,Тюменская область,1,True,18580.75,40000.0,8655.3323,4945.9042,3204.5337,2339.0005,2297.7846,1854.7141,1452.8594,1401.3395,1308.6038,1257.084,1040.7007,999.4848,999.4848,958.2689,958.2689,814.0134,793.4055,741.8856,721.2777,680.0618,669.7579,659.4539,628.542,618.238
False,1.0,Смоленская область,1,False,18580.75,100000.0,21638.3308,12364.7604,8011.3344,5847.5013,5744.4616,4636.7852,3632.1484,3503.3488,3271.5095,3142.7099,2601.7517,2498.712,2498.712,2395.6723,2395.6723,2035.0335,1983.5137,1854.7141,1803.1942,1700.1546,1674.3946,1648.6347,1571.355,1545.5951
False,1.0,Костромская область,1,False,20000.0,70000.0,15146.8315,8655.3323,5607.9341,4093.2509,4021.1231,3245.7496,2542.5039,2452.3442,2290.0567,2199.897,1821.2262,1749.0984,1749.0984,1676.9706,1676.9706,1424.5234,1388.4596,1298.2998,1262.236,1190.1082,1172.0762,1154.0443,1099.9485,1081.9165
False,1.0,Курганская область,1,False,18580.75,90000.0,19474.4977,11128.2844,7210.2009,5262.7512,5170.0155,4173.1066,3268.9335,3153.0139,2944.3586,2828.4389,2341.5765,2248.8408,2248.8408,2156.1051,2156.1051,1831.5301,1785.1623,1669.2427,1622.8748,1530.1391,1506.9552,1483.7713,1414.2195,1391.0355
False,1.0,Удмуртская Республика,1,False,18580.75,80000.0,17310.6646,9891.8083,6409.0675,4678.001,4595.5693,3709.4281,2905.7187,2802.679,2617.2076,2514.168,2081.4013,1998.9696,1998.9696,1916.5379,1916.5379,1628.0268,1586.8109,1483.7713,1442.5554,1360.1236,1339.5157,1318.9078,1257.084,1236.476
False,1.0,Удмуртская Республика,1,True,30000.0,30000.0,6491.4992,3709.4281,2403.4003,1754.2504,1723.3385,1391.0355,1089.6445,1051.0046,981.4529,942.813,780.5255,749.6136,749.6136,718.7017,718.7017,610.51,595.0541,556.4142,540.9583,510.0464,502.3184,494.5904,471.4065,463.6785
False,1.0,Ленинградская область,1,False,18580.75,120000.0,25965.9969,14837.7125,9613.6012,7017.0015,6893.3539,5564.1422,4358.5781,4204.0185,3925.8114,3771.2519,3122.102,2998.4544,2998.4544,2874.8068,2874.8068,2442.0402,2380.2164,2225.6569,2163.8331,2040.1855,2009.2736,1978.3617,1885.626,1854.7141
False,1.0,Тверская область,1,False,18580.75,100000.0,21638.3308,12364.7604,8011.3344,5847.5013,5744.4616,4636.7852,3632.1484,3503.3488,3271.5095,3142.7099,2601.7517,2498.712,2498.712,2395.6723,2395.6723,2035.0335,1983.5137,1854.7141,1803.1942,1700.1546,1674.3946,1648.6347,1571.355,1545.5951
False,1.0,Город федерального значения Севастополь,1,False,18580.75,80000.0,17310.6646,9891.8083,6409.0675,4678.001,4595.5693,3709.4281,2905.7187,2802.679,2617.2076,2514.168,2081.4013,1998.9696,1998.9696,1916.5379,1916.5379,1628.0268,1586.8109,1483.7713,1442.5554,1360.1236,1339.5157,1318.9078,1257.084,1236.476
False,1.0,Новгородская область,1,False,16500.0,65000.0,14064.915,8037.0943,5207.3673,3800.8758,3733.9001,3013.9104,2360.8964,2277.1767,2126.4812,2042.7615,1691.1386,1624.1628,1624.1628,1557.187,1557.187,1322.7718,1289.2839,1205.5641,1172.0762,1105.1005,1088.3565,1071.6126,1021.3807,1004.6368
False,1.0,Тамбовская область,2,False,18580.75,65000.0,14064.915,8037.0943,5207.3673,3800.8758,3733.9001,3013.9104,2360.8964,2277.1767,2126.4812,2042.7615,1691.1386,1624.1628,1624.1628,1557.187,1557.187,1322.7718,1289.2839,1205.5641,1172.0762,1105.1005,1088.3565,1071.6126,1021.3807,1004.6368
False,1.0,Калужская область,1,False,18580.75,150000.0,32457.4961,18547.1406,12017.0015,8771.2519,8616.6924,6955.1777,5448.2226,5255.0232,4907.2643,4714.0649,3902.6275,3748.068,3748.068,3593.5085,3593.5085,3052.5502,2975.2705,2782.0711,2704.7913,2550.2318,2511.592,2472.9521,2357.0325,2318.3926
False,1.0,Пензенская область,1,False,20000.0,90000.0,19474.4977,11128.2844,7210.2009,5262.7512,5170.0155,4173.1066,3268.9335,3153.0139,2944.3586,2828.4389,2341.5765,2248.8408,2248.8408,2156.1051,2156.1051,1831.5301,1785.1623,1669.2427,1622.8748,1530.1391,1506.9552,1483.7713,1414.2195,1391.0355
False,1.0,Тульская область,1,False,18580.75,80000.0,17310.6646,9891.8083,6409.0675,4678.001,4595.5693,3709.4281,2905.7187,2802.679,2617.2076,2514.168,2081.4013,1998.9696,1998.9696,1916.5379,1916.5379,1628.0268,1586.8109,1483.7713,1442.5554,1360.1236,1339.5157,1318.9078,1257.084,1236.476
False,1.0,Липецкая область,1,False,18580.75,90000.0,19474.4977,11128.2844,7210.2009,5262.7512,5170.0155,4173.1066,3268.9335,3153.0139,2944.3586,2828.4389,2341.5765,2248.8408,2248.8408,2156.1051,2156.1051,1831.5301,1785.1623,1669.2427,1622.8748,1530.1391,1506.9552,1483.7713,1414.2195,1391.0355
False,1.0,Республика Марий Эл,1,False,18580.75,125000.0,27047.9134,15455.9505,10014.168,7309.3766,7180.577,5795.9815,4540.1855,4379.186,4089.3869,3928.3874,3252.1896,3123.39,3123.39,2994.5904,2994.5904,2543.7919,2479.3921,2318.3926,2253.9928,2125.1932,2092.9933,2060.7934,1964.1937,1931.9938
False,1.0,Республика Марий Эл,1,True,36000.0,36000.0,7789.7991,4451.3138,2884.0804,2105.1005,2068.0062,1669.2427,1307.5734,1261.2056,1177.7434,1131.3756,936.6306,899.5363,899.5363,862.442,862.442,732.6121,714.0649,667.6971,649.1499,612.0556,602.7821,593.5085,565.6878,556.4142
False,1.0,Брянская область,1,False,18580.75,100000.0,21638.3308,12364.7604,8011.3344,5847.5013,5744.4616,4636.7852,3632.1484,3503.3488,3271.5095,3142.7099,2601.7517,2498.712,2498.712,2395.6723,2395.6723,2035.0335,1983.5137,1854.7141,1803.1942,1700.1546,1674.3946,1648.6347,1571.355,1545.5951
False,1.0,Республика Карелия,1,False,18580.75,65000.0,14064.915,8037.0943,5207.3673,3800.8758,3733.9001,3013.9104,2360.8964,2277.1767,2126.4812,2042.7615,1691.1386,1624.1628,1624.1628,1557.187,1557.187,1322.7718,1289.2839,1205.5641,1172.0762,1105.1005,1088.3565,1071.6126,1021.3807,1004.6368
False,1.0,Псковская область,1,False,18580.75,70000.0,15146.8315,8655.3323,5607.9341,4093.2509,4021.1231,3245.7496,2542.5039,2452.3442,2290.0567,2199.897,1821.2262,1749.0984,1749.0984,1676.9706,1676.9706,1424.5234,1388.4596,1298.2998,1262.236,1190.1082,1172.0762,1154.0443,1099.9485,1081.9165
False,1.0,Республика Коми,1,False,18580.75,100000.0,21638.3308,12364.7604,8011.3344,5847.5013,5744.4616,4636.7852,3632.1484,3503.3488,3271.5095,3142.7099,2601.7517,2498.712,2498.712,2395.6723,2395.6723,2035.0335,1983.5137,1854.7141,1803.1942,1700.1546,1674.3946,1648.6347,1571.355,1545.5951
False,1.0,Республика Адыгея,1,False,16242.0,70000.0,15146.8315,8655.3323,5607.9341,4093.2509,4021.1231,3245.7496,2542.5039,2452.3442,2290.0567,2199.897,1821.2262,1749.0984,1749.0984,1676.9706,1676.9706,1424.5234,1388.4596,1298.2998,1262.236,1190.1082,1172.0762,1154.0443,1099.9485,1081.9165
False,1.0,Республика Адыгея,1,True,30000.0,30000.0,6491.4992,3709.4281,2403.4003,1754.2504,1723.3385,1391.0355,1089.6445,1051.0046,981.4529,942.813,780.5255,749.6136,749.6136,718.7017,718.7017,610.51,595.0541,556.4142,540.9583,510.0464,502.3184,494.5904,471.4065,463.6785
