is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Доброжелательность (СК) (1126_4),Коммуникабельность (СК) (617_4),Клиентоцентричность (клиенториентированность) (СК) (626_4),"Саморазвитие, обучаемость (СК) (604_4)",Аккуратность (СК) (575_4),Вежливость (СК) (581_4),Проведение обследования пациента (массажист) (2698_12),"Организация безопасной среды для пациентов и персонала (медсестра, врач-стоматолог, массажист) (123_12)",Пунктуальность (СК) (612_4),Выполнение массажа (массажист) (833_12),Высокая работоспособность (СК) (586_4),Командность (СК) (1371_4),Знание анатомии и техник массажа (2481_12),Грамотность (СК) (1368_4),Работа в перевязочном (процедурном) кабинете (медсестра) (149_12),Нравственность (СК) (622_4),Стрессоустойчивость (СК) (601_4),"Позитивность, оптимизм (СК) (607_4)",Целеустремленность (СК) (588_4),Выполнение медицинского массажа (медсестра) (2141_12),Сестринское дело (73_12),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Трудолюбие (СК) (597_4),"Организаторские способности, лидерство (СК) (393_4)",Внимательность (СК) (536_4),"Верность, преданность, лояльность (СК) (582_4)",Инициативность (СК) (610_4),"Прием звонков, ведение переговоров и запись клиентов (Администратор медицинского центра) (2480_12)","Дипломатичность, неконфликтность (СК) (1369_4)"
False,1.0,Томская область,1,False,19700.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Томская область,1,True,16250.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Саратовская область,2,False,19700.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Саратовская область,2,True,16250.0,16250.0,3157.2954,1414.8372,1152.7404,1079.9358,749.888,657.6688,623.6932,563.0227,550.8886,482.9376,436.828,414.9866,390.7183,373.7306,334.9014,334.9014,330.0478,281.5114,271.8041,259.67,254.8163,237.8286,232.9749,225.6944,223.2676,218.414,203.853,189.2921,182.0116,150.463,145.6093,123.7679
False,1.0,Республика Коми,1,False,23000.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Республика Коми,1,True,25000.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Чувашская Республика,1,False,16250.0,60000.0,11657.7061,5224.0143,4256.2724,3987.4552,2768.8172,2428.3154,2302.8674,2078.853,2034.0502,1783.1541,1612.9032,1532.2581,1442.6523,1379.9283,1236.5591,1236.5591,1218.638,1039.4265,1003.5842,958.7814,940.8602,878.1362,860.2151,833.3333,824.3728,806.4516,752.6882,698.9247,672.043,555.5556,537.6344,456.9892
False,1.0,Чувашская Республика,1,True,20500.0,33750.0,6557.4597,2938.5081,2394.1532,2242.9435,1557.4597,1365.9274,1295.3629,1169.3548,1144.1532,1003.0242,907.2581,861.8952,811.4919,776.2097,695.5645,695.5645,685.4839,584.6774,564.5161,539.3145,529.2339,493.9516,483.871,468.75,463.7097,453.629,423.3871,393.1452,378.0242,312.5,302.4194,257.0565
False,1.0,Ленинградская область,1,False,16250.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Ленинградская область,1,True,19700.0,20000.0,3885.902,1741.3381,1418.7575,1329.1517,922.9391,809.4385,767.6225,692.951,678.0167,594.3847,537.6344,510.7527,480.8841,459.9761,412.1864,412.1864,406.2127,346.4755,334.5281,319.5938,313.6201,292.7121,286.7384,277.7778,274.7909,268.8172,250.8961,232.9749,224.0143,185.1852,179.2115,152.3297
False,1.0,Воронежская область,2,False,16250.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Воронежская область,2,True,15000.0,55000.0,10686.2306,4788.6798,3901.583,3655.1673,2538.0824,2225.9558,2110.9618,1905.6153,1864.546,1634.5579,1478.4946,1404.5699,1322.4313,1264.9343,1133.5125,1133.5125,1117.0848,952.8076,919.9522,878.8829,862.4552,804.9582,788.5305,763.8889,755.675,739.2473,689.9642,640.681,616.0394,509.2593,492.8315,418.9068
False,1.0,Белгородская область,2,False,19700.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Белгородская область,2,True,30000.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Волгоградская область,2,False,16250.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Волгоградская область,2,True,16250.0,19700.0,3827.6135,1715.218,1397.4761,1309.2145,909.095,797.2969,756.1081,682.5568,667.8465,585.4689,529.5699,503.0914,473.6708,453.0765,406.0036,406.0036,400.1195,341.2784,329.5102,314.7999,308.9158,288.3214,282.4373,273.6111,270.6691,264.7849,247.1326,229.4803,220.6541,182.4074,176.5233,150.0448
False,1.0,Кемеровская область,1,False,19700.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Кемеровская область,1,True,20000.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Тверская область,1,False,16250.0,50000.0,9714.7551,4353.3453,3546.8937,3322.8793,2307.3477,2023.5962,1919.0562,1732.3775,1695.0418,1485.9618,1344.086,1276.8817,1202.2103,1149.9403,1030.4659,1030.4659,1015.5317,866.1888,836.3202,798.9845,784.0502,731.7802,716.8459,694.4444,686.9773,672.043,627.2401,582.4373,560.0358,462.963,448.0287,380.8244
False,1.0,Тверская область,1,True,20500.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Оренбургская область,2,False,16250.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Оренбургская область,2,True,23000.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Пермский край,1,False,16250.0,50000.0,9714.7551,4353.3453,3546.8937,3322.8793,2307.3477,2023.5962,1919.0562,1732.3775,1695.0418,1485.9618,1344.086,1276.8817,1202.2103,1149.9403,1030.4659,1030.4659,1015.5317,866.1888,836.3202,798.9845,784.0502,731.7802,716.8459,694.4444,686.9773,672.043,627.2401,582.4373,560.0358,462.963,448.0287,380.8244
False,1.0,Пермский край,1,True,10000.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Ставропольский край,2,False,16250.0,43000.0,8354.6894,3743.8769,3050.3286,2857.6762,1984.319,1740.2927,1650.3883,1489.8447,1457.736,1277.9271,1155.914,1098.1183,1033.9008,988.9486,886.2007,886.2007,873.3572,744.9223,719.2354,687.1266,674.2832,629.3309,616.4875,597.2222,590.8005,577.957,539.4265,500.8961,481.6308,398.1481,385.3047,327.509
False,1.0,Ставропольский край,2,True,16250.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Республика Бурятия,1,False,20000.0,33750.0,6557.4597,2938.5081,2394.1532,2242.9435,1557.4597,1365.9274,1295.3629,1169.3548,1144.1532,1003.0242,907.2581,861.8952,811.4919,776.2097,695.5645,695.5645,685.4839,584.6774,564.5161,539.3145,529.2339,493.9516,483.871,468.75,463.7097,453.629,423.3871,393.1452,378.0242,312.5,302.4194,257.0565
False,1.0,Кировская область,1,False,16250.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Кировская область,1,True,16250.0,25000.0,4857.3775,2176.6726,1773.4468,1661.4397,1153.6738,1011.7981,959.5281,866.1888,847.5209,742.9809,672.043,638.4409,601.1051,574.9701,515.233,515.233,507.7658,433.0944,418.1601,399.4922,392.0251,365.8901,358.4229,347.2222,343.4886,336.0215,313.6201,291.2186,280.0179,231.4815,224.0143,190.4122
False,1.0,Калужская область,1,False,19700.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Брянская область,1,False,16250.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Пензенская область,1,False,50.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Пензенская область,1,True,19700.0,19700.0,3827.6135,1715.218,1397.4761,1309.2145,909.095,797.2969,756.1081,682.5568,667.8465,585.4689,529.5699,503.0914,473.6708,453.0765,406.0036,406.0036,400.1195,341.2784,329.5102,314.7999,308.9158,288.3214,282.4373,273.6111,270.6691,264.7849,247.1326,229.4803,220.6541,182.4074,176.5233,150.0448
False,1.0,Алтайский край,2,False,15000.0,70000.0,13600.6571,6094.6834,4965.6511,4652.0311,3230.2867,2833.0346,2686.6786,2425.3286,2373.0585,2080.3465,1881.7204,1787.6344,1683.0944,1609.9164,1442.6523,1442.6523,1421.7443,1212.6643,1170.8483,1118.5783,1097.6703,1024.4922,1003.5842,972.2222,961.7682,940.8602,878.1362,815.4122,784.0502,648.1481,627.2401,533.1541
False,1.0,Алтайский край,2,True,20500.0,20500.0,3983.0496,1784.8716,1454.2264,1362.3805,946.0125,829.6744,786.813,710.2748,694.9671,609.2443,551.0753,523.5215,492.9062,471.4755,422.491,422.491,416.368,355.1374,342.8913,327.5836,321.4606,300.0299,293.9068,284.7222,281.6607,275.5376,257.1685,238.7993,229.6147,189.8148,183.6918,156.138
False,1.0,Рязанская область,1,False,15000.0,60000.0,11657.7061,5224.0143,4256.2724,3987.4552,2768.8172,2428.3154,2302.8674,2078.853,2034.0502,1783.1541,1612.9032,1532.2581,1442.6523,1379.9283,1236.5591,1236.5591,1218.638,1039.4265,1003.5842,958.7814,940.8602,878.1362,860.2151,833.3333,824.3728,806.4516,752.6882,698.9247,672.043,555.5556,537.6344,456.9892
False,1.0,Республика Мордовия,1,False,19700.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Курская область,2,False,25000.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Республика Алтай,1,False,19700.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Орловская область,1,False,19700.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Амурская область,1,False,25000.0,25000.0,4857.3775,2176.6726,1773.4468,1661.4397,1153.6738,1011.7981,959.5281,866.1888,847.5209,742.9809,672.043,638.4409,601.1051,574.9701,515.233,515.233,507.7658,433.0944,418.1601,399.4922,392.0251,365.8901,358.4229,347.2222,343.4886,336.0215,313.6201,291.2186,280.0179,231.4815,224.0143,190.4122
False,1.0,Амурская область,1,True,30000.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Архангельская область,1,False,16250.0,70000.0,13600.6571,6094.6834,4965.6511,4652.0311,3230.2867,2833.0346,2686.6786,2425.3286,2373.0585,2080.3465,1881.7204,1787.6344,1683.0944,1609.9164,1442.6523,1442.6523,1421.7443,1212.6643,1170.8483,1118.5783,1097.6703,1024.4922,1003.5842,972.2222,961.7682,940.8602,878.1362,815.4122,784.0502,648.1481,627.2401,533.1541
False,1.0,Удмуртская Республика,1,False,16250.0,90000.0,17486.5591,7836.0215,6384.4086,5981.1828,4153.2258,3642.4731,3454.3011,3118.2796,3051.0753,2674.7312,2419.3548,2298.3871,2163.9785,2069.8925,1854.8387,1854.8387,1827.957,1559.1398,1505.3763,1438.172,1411.2903,1317.2043,1290.3226,1250.0,1236.5591,1209.6774,1129.0323,1048.3871,1008.0645,833.3333,806.4516,685.4839
False,1.0,Республика Карелия,1,False,16250.0,50000.0,9714.7551,4353.3453,3546.8937,3322.8793,2307.3477,2023.5962,1919.0562,1732.3775,1695.0418,1485.9618,1344.086,1276.8817,1202.2103,1149.9403,1030.4659,1030.4659,1015.5317,866.1888,836.3202,798.9845,784.0502,731.7802,716.8459,694.4444,686.9773,672.043,627.2401,582.4373,560.0358,462.963,448.0287,380.8244
False,1.0,Республика Карелия,1,True,25000.0,25000.0,4857.3775,2176.6726,1773.4468,1661.4397,1153.6738,1011.7981,959.5281,866.1888,847.5209,742.9809,672.043,638.4409,601.1051,574.9701,515.233,515.233,507.7658,433.0944,418.1601,399.4922,392.0251,365.8901,358.4229,347.2222,343.4886,336.0215,313.6201,291.2186,280.0179,231.4815,224.0143,190.4122
False,1.0,Тульская область,1,False,16250.0,50000.0,9714.7551,4353.3453,3546.8937,3322.8793,2307.3477,2023.5962,1919.0562,1732.3775,1695.0418,1485.9618,1344.086,1276.8817,1202.2103,1149.9403,1030.4659,1030.4659,1015.5317,866.1888,836.3202,798.9845,784.0502,731.7802,716.8459,694.4444,686.9773,672.043,627.2401,582.4373,560.0358,462.963,448.0287,380.8244
False,1.0,Тульская область,1,True,45000.0,45000.0,8743.2796,3918.0108,3192.2043,2990.5914,2076.6129,1821.2366,1727.1505,1559.1398,1525.5376,1337.3656,1209.6774,1149.1935,1081.9892,1034.9462,927.4194,927.4194,913.9785,779.5699,752.6882,719.086,705.6452,658.6022,645.1613,625.0,618.2796,604.8387,564.5161,524.1935,504.0323,416.6667,403.2258,342.7419
False,1.0,Еврейская автономная область,1,False,30000.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Республика Хакасия,1,False,25988.0,30000.0,5828.853,2612.0072,2128.1362,1993.7276,1384.4086,1214.1577,1151.4337,1039.4265,1017.0251,891.5771,806.4516,766.129,721.3262,689.9642,618.2796,618.2796,609.319,519.7133,501.7921,479.3907,470.4301,439.0681,430.1075,416.6667,412.1864,403.2258,376.3441,349.4624,336.0215,277.7778,268.8172,228.4946
False,1.0,Псковская область,1,False,20000.0,40000.0,7771.8041,3482.6762,2837.5149,2658.3035,1845.8781,1618.8769,1535.2449,1385.902,1356.0335,1188.7694,1075.2688,1021.5054,961.7682,919.9522,824.3728,824.3728,812.4253,692.951,669.0562,639.1876,627.2401,585.4241,573.4767,555.5556,549.5818,537.6344,501.7921,465.9498,448.0287,370.3704,358.4229,304.6595
False,1.0,Липецкая область,1,False,20000.0,50000.0,9714.7551,4353.3453,3546.8937,3322.8793,2307.3477,2023.5962,1919.0562,1732.3775,1695.0418,1485.9618,1344.086,1276.8817,1202.2103,1149.9403,1030.4659,1030.4659,1015.5317,866.1888,836.3202,798.9845,784.0502,731.7802,716.8459,694.4444,686.9773,672.043,627.2401,582.4373,560.0358,462.963,448.0287,380.8244
False,1.0,Карачаево-Черкесская Республика,1,False,20000.0,25000.0,4857.3775,2176.6726,1773.4468,1661.4397,1153.6738,1011.7981,959.5281,866.1888,847.5209,742.9809,672.043,638.4409,601.1051,574.9701,515.233,515.233,507.7658,433.0944,418.1601,399.4922,392.0251,365.8901,358.4229,347.2222,343.4886,336.0215,313.6201,291.2186,280.0179,231.4815,224.0143,190.4122
