is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Командность (СК) (1371_4),"Организаторские способности, лидерство (СК) (393_4)",Пунктуальность (СК) (612_4)
False,0.0,Курская область,2,False,15559.5,15559.5,6620.6458,3732.7083,3182.625,2023.5208
False,0.0,Еврейская автономная область,1,False,13000.0,13000.0,5531.5657,3118.6869,2659.0909,1690.6566
False,0.0,Чеченская Республика,1,False,16242.0,16242.0,6911.053,3896.4394,3322.2273,2112.2803
False,0.0,Смоленская область,1,False,16242.0,16242.0,6911.053,3896.4394,3322.2273,2112.2803
False,0.0,Красноярский край,1,False,15000.0,30000.0,12765.1515,7196.9697,6136.3636,3901.5152
False,0.0,Нижегородская область,0,False,13000.0,19431.5,8268.2014,4661.5972,3974.625,2527.0764
False,0.0,Мурманская область,1,False,19000.0,29450.0,12531.1237,7065.0253,6023.8636,3829.9874
False,0.0,Республика Коми,1,False,15000.0,25000.0,10637.6263,5997.4747,5113.6364,3251.2626
False,0.0,Иркутская область,1,False,16678.75,29450.0,12531.1237,7065.0253,6023.8636,3829.9874
False,0.0,Кемеровская область,1,False,13000.0,29450.0,12531.1237,7065.0253,6023.8636,3829.9874
False,0.0,Хабаровский край,1,False,16678.75,30000.0,12765.1515,7196.9697,6136.3636,3901.5152
False,0.0,Новосибирская область,0,False,13000.0,20303.0,8639.029,4870.6692,4152.8864,2640.4154
False,0.0,Московская область,2,False,21887.75,21887.75,9313.3482,5250.8491,4477.0398,2846.5129
False,0.0,Псковская область,1,False,20000.0,21017.0,8942.8396,5041.9571,4298.9318,2733.2715
False,0.0,Томская область,1,False,18036.0,29450.0,12531.1237,7065.0253,6023.8636,3829.9874
False,0.0,Ленинградская область,1,False,25000.0,25000.0,10637.6263,5997.4747,5113.6364,3251.2626
False,0.0,Республика Татарстан,0,False,19896.5,26994.0,11486.0833,6475.8333,5521.5,3510.5833
False,0.0,Архангельская область,1,False,23373.5,23373.5,9945.5423,5607.279,4780.9432,3039.7355
False,0.0,Калининградская область,1,False,19896.5,23373.5,9945.5423,5607.279,4780.9432,3039.7355
False,0.0,Забайкальский край,1,False,23613.0,23613.0,10047.4508,5664.7348,4829.9318,3070.8826
False,0.0,Республика Хакасия,1,False,25988.0,25988.0,11058.0253,6234.4949,5315.7273,3379.7525
False,0.0,Город федерального значения Санкт-Петербург,0,False,20000.0,45000.0,19147.7273,10795.4545,9204.5455,5852.2727
False,0.0,Приморский край,1,False,22000.0,29262.0,12451.1288,7019.9242,5985.4091,3805.5379
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,46621.0,46621.0,19837.471,11184.3308,9536.1136,6063.0846
False,0.0,Республика Карелия,1,False,33000.0,33000.0,14041.6667,7916.6667,6750.0,4291.6667
False,0.0,Республика Тыва,1,False,30000.0,30000.0,12765.1515,7196.9697,6136.3636,3901.5152
False,0.0,Камчатский край,1,False,33259.0,51745.0,22017.7588,12413.5732,10584.2045,6729.4634
False,0.0,Город федерального значения Москва,0,False,40000.0,41500.0,17658.4596,9955.8081,8488.6364,5397.096
False,0.0,Ямало-Ненецкий автономный округ,1,False,50000.0,50000.0,21275.2525,11994.9495,10227.2727,6502.5253
False,1.0,Оренбургская область,2,False,11163.0,14711.0,6259.6048,3529.154,3009.0682,1913.173
False,1.0,Ивановская область,1,False,20000.0,20000.0,8510.101,4797.9798,4090.9091,2601.0101
False,1.0,Свердловская область,0,False,18689.0,25000.0,10637.6263,5997.4747,5113.6364,3251.2626
False,1.0,Белгородская область,2,False,11280.0,15479.0,6586.3927,3713.3965,3166.1591,2013.0518
False,1.0,Курганская область,1,False,13750.0,13750.0,5850.6944,3298.6111,2812.5,1788.1944
False,1.0,Ростовская область,0,False,11280.0,19915.5,8474.1458,4777.7083,4073.625,2590.0208
False,1.0,Омская область,1,False,11512.5,12064.0,5133.2929,2894.1414,2467.6364,1568.9293
False,1.0,Волгоградская область,2,False,16000.0,16000.0,6808.0808,3838.3838,3272.7273,2080.8081
False,1.0,Волгоградская область,2,True,11280.0,11280.0,4799.697,2706.0606,2307.2727,1466.9697
False,1.0,Ульяновская область,1,False,13500.0,20000.0,8510.101,4797.9798,4090.9091,2601.0101
False,1.0,Тверская область,1,False,13500.0,13500.0,5744.3182,3238.6364,2761.3636,1755.6818
False,1.0,Республика Башкортостан,0,False,14711.0,20957.75,8917.6285,5027.7431,4286.8125,2725.566
False,1.0,Липецкая область,1,False,20000.0,20957.75,8917.6285,5027.7431,4286.8125,2725.566
False,1.0,Пермский край,1,False,13500.0,14042.75,5975.261,3368.8415,2872.3807,1826.2667
False,1.0,Республика Мордовия,1,False,11163.0,11163.0,4749.9129,2677.9924,2283.3409,1451.7538
False,1.0,Республика Крым,1,False,20957.75,20957.75,8917.6285,5027.7431,4286.8125,2725.566
False,1.0,Красноярский край,1,False,23144.5,27416.0,11665.6465,6577.0707,5607.8182,3565.4646
False,1.0,Нижегородская область,0,False,19000.0,25000.0,10637.6263,5997.4747,5113.6364,3251.2626
False,1.0,Иркутская область,1,False,12000.0,25000.0,10637.6263,5997.4747,5113.6364,3251.2626
False,1.0,Кемеровская область,1,False,12000.0,22800.0,9701.5152,5469.697,4663.6364,2965.1515
False,1.0,Хабаровский край,1,False,25000.0,35000.0,14892.6768,8396.4646,7159.0909,4551.7677
False,1.0,Новосибирская область,0,False,19556.0,23144.5,9848.1016,5552.3422,4734.1023,3009.9539
False,1.0,Московская область,2,False,25000.0,26250.0,11169.5076,6297.3485,5369.3182,3413.8258
False,1.0,Томская область,1,False,19556.0,19556.0,8321.1768,4691.4646,4000.0909,2543.2677
False,1.0,Республика Татарстан,0,False,23144.5,25000.0,10637.6263,5997.4747,5113.6364,3251.2626
False,1.0,Калининградская область,1,False,25625.0,25625.0,10903.5669,6147.4116,5241.4773,3332.5442
False,1.0,Республика Хакасия,1,False,19056.0,19056.0,8108.4242,4571.5152,3897.8182,2478.2424
False,1.0,Город федерального значения Санкт-Петербург,0,False,25000.0,40000.0,17020.202,9595.9596,8181.8182,5202.0202
False,1.0,Приморский край,1,False,35000.0,35000.0,14892.6768,8396.4646,7159.0909,4551.7677
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,20900.0,40000.0,17020.202,9595.9596,8181.8182,5202.0202
False,1.0,Республика Карелия,1,False,31000.0,31000.0,13190.6566,7436.8687,6340.9091,4031.5657
False,1.0,Город федерального значения Москва,0,False,25000.0,70000.0,29785.3535,16792.9293,14318.1818,9103.5354
False,1.0,Город федерального значения Севастополь,1,False,17750.0,17750.0,7552.7146,4258.2071,3630.6818,2308.3965
False,1.0,Амурская область,1,False,21500.0,21500.0,9148.3586,5157.8283,4397.7273,2796.0859
False,1.0,Калужская область,1,False,26250.0,26250.0,11169.5076,6297.3485,5369.3182,3413.8258
False,1.0,Республика Адыгея,1,False,11280.0,11280.0,4799.697,2706.0606,2307.2727,1466.9697
False,1.0,Тамбовская область,2,False,25000.0,25000.0,10637.6263,5997.4747,5113.6364,3251.2626
False,1.0,Республика Саха (Якутия),1,False,24559.0,24559.0,10449.9785,5891.6793,5023.4318,3193.9104
False,2.0,Удмуртская Республика,1,False,16308.5,16308.5,6939.3491,3912.3927,3335.8295,2120.9287
False,2.0,Оренбургская область,2,False,19000.0,19000.0,8084.596,4558.0808,3886.3636,2470.9596
False,2.0,Ивановская область,1,False,20000.0,30000.0,12765.1515,7196.9697,6136.3636,3901.5152
False,2.0,Алтайский край,2,False,13675.0,19000.0,8084.596,4558.0808,3886.3636,2470.9596
False,2.0,Свердловская область,0,False,12130.0,19000.0,8084.596,4558.0808,3886.3636,2470.9596
False,2.0,Белгородская область,2,False,14584.0,17082.5,7268.69,4098.0745,3494.1477,2221.5878
False,2.0,Курганская область,1,False,15000.0,15334.5,6524.9072,3678.7311,3136.6023,1994.2595
False,2.0,Ростовская область,0,False,13675.0,20000.0,8510.101,4797.9798,4090.9091,2601.0101
False,2.0,Ставропольский край,2,False,12792.0,20000.0,8510.101,4797.9798,4090.9091,2601.0101
False,2.0,Костромская область,1,False,18000.0,18000.0,7659.0909,4318.1818,3681.8182,2340.9091
False,2.0,Краснодарский край,0,False,12130.0,30000.0,12765.1515,7196.9697,6136.3636,3901.5152
False,2.0,Ульяновская область,1,False,15973.0,16242.0,6911.053,3896.4394,3322.2273,2112.2803
False,2.0,Ярославская область,1,False,12130.0,18034.0,7673.5581,4326.3384,3688.7727,2345.3308
False,2.0,Тверская область,1,False,18000.0,18034.0,7673.5581,4326.3384,3688.7727,2345.3308
False,2.0,Орловская область,1,False,18000.0,18000.0,7659.0909,4318.1818,3681.8182,2340.9091
False,2.0,Кировская область,1,False,16308.5,20000.0,8510.101,4797.9798,4090.9091,2601.0101
False,2.0,Чувашская Республика,1,False,17796.0,20000.0,8510.101,4797.9798,4090.9091,2601.0101
False,2.0,Челябинская область,0,False,19000.0,20000.0,8510.101,4797.9798,4090.9091,2601.0101
False,2.0,Вологодская область,1,False,15973.0,20000.0,8510.101,4797.9798,4090.9091,2601.0101
False,2.0,Самарская область,0,False,15334.5,15334.5,6524.9072,3678.7311,3136.6023,1994.2595
False,2.0,Липецкая область,1,False,20000.0,22000.0,9361.1111,5277.7778,4500.0,2861.1111
False,2.0,Пермский край,1,False,16308.5,16308.5,6939.3491,3912.3927,3335.8295,2120.9287
False,2.0,Республика Крым,1,False,12130.0,18649.0,7935.2437,4473.8763,3814.5682,2425.3119
False,2.0,Астраханская область,1,False,20000.0,20000.0,8510.101,4797.9798,4090.9091,2601.0101
False,2.0,Красноярский край,1,False,17286.0,32000.0,13616.1616,7676.7677,6545.4545,4161.6162
False,2.0,Нижегородская область,0,False,17286.0,40000.0,17020.202,9595.9596,8181.8182,5202.0202
False,2.0,Мурманская область,1,False,28424.25,28424.25,12094.6619,6818.9489,5814.0511,3696.5881
False,2.0,Республика Коми,1,False,14000.0,30000.0,12765.1515,7196.9697,6136.3636,3901.5152
False,2.0,Иркутская область,1,False,18105.0,26000.0,11063.1313,6237.3737,5318.1818,3381.3131
False,2.0,Кемеровская область,1,False,20310.5,25000.0,10637.6263,5997.4747,5113.6364,3251.2626
False,2.0,Хабаровский край,1,False,25000.0,35155.25,14958.7364,8433.709,7190.8466,4571.958
False,2.0,Новосибирская область,0,False,20651.5,20651.5,8787.3176,4954.274,4224.1705,2685.738
False,2.0,Московская область,2,False,25000.0,35000.0,14892.6768,8396.4646,7159.0909,4551.7677
False,2.0,Томская область,1,False,23500.0,23500.0,9999.3687,5637.6263,4806.8182,3056.1869
False,2.0,Республика Татарстан,0,False,18105.0,22144.5,9422.5966,5312.4432,4529.5568,2879.9034
False,2.0,Архангельская область,1,False,26000.0,26000.0,11063.1313,6237.3737,5318.1818,3381.3131
False,2.0,Забайкальский край,1,False,20310.5,20310.5,8642.2203,4872.4684,4154.4205,2641.3908
False,2.0,Город федерального значения Санкт-Петербург,0,False,20000.0,55000.0,23402.7778,13194.4444,11250.0,7152.7778
False,2.0,Ханты-Мансийский автономный округ — Югра,1,False,35000.0,35220.0,14986.2879,8449.2424,7204.0909,4580.3788
False,2.0,Республика Карелия,1,False,34934.0,34934.0,14864.5934,8380.6313,7145.5909,4543.1843
False,2.0,Тульская область,1,False,40000.0,40000.0,17020.202,9595.9596,8181.8182,5202.0202
False,2.0,Камчатский край,1,False,36114.0,36114.0,15366.6894,8663.7121,7386.9545,4696.6439
False,2.0,Город федерального значения Москва,0,False,9662.0,85000.0,36167.9293,20391.4141,17386.3636,11054.2929
False,2.0,Ямало-Ненецкий автономный округ,1,False,35000.0,102443.0,43590.0139,24575.9722,20954.25,13322.7639
False,2.0,Город федерального значения Севастополь,1,False,14584.0,14584.0,6205.5657,3498.6869,2983.0909,1896.6566
False,2.0,Воронежская область,2,False,13675.0,13675.0,5818.7816,3280.6187,2797.1591,1778.4407
False,2.0,Республика Бурятия,1,False,18649.0,19000.0,8084.596,4558.0808,3886.3636,2470.9596
False,2.0,Амурская область,1,False,20000.0,20651.5,8787.3176,4954.274,4224.1705,2685.738
False,2.0,Калужская область,1,False,18575.75,22144.5,9422.5966,5312.4432,4529.5568,2879.9034
False,2.0,Тюменская область,1,False,47400.0,47400.0,20168.9394,11371.2121,9695.4545,6164.3939
False,2.0,Республика Саха (Якутия),1,False,45000.0,45000.0,19147.7273,10795.4545,9204.5455,5852.2727
