is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Контроль процессов (6210_14),"Личные установки и ценности, мировоззрение (2043_4)",Содержание сельскохозяйственных животных (4689_14),Кормление сельскохозяйственных животных (4684_14),Высокая работоспособность (СК) (586_4),Коммуникабельность (СК) (617_4),Командность (СК) (1371_4),"Организаторские способности, лидерство (СК) (393_4)","Саморазвитие, обучаемость (СК) (604_4)",Соблюдение правил внутреннего распорядка и режима работы (4476_14),координирует работу по разведению выращиванию животных (7491_14),должностные обязанности зоотехника (4749_14),Оформление учетно-отчетной документации (143_14),планирование потребности в кормах (7989_14),Аккуратность (СК) (575_4),Производит отбор животных на племя (7487_14),Составление/формирование/подготовка отчетности (ОПТ) (3911_36),Обеспечивает разработку и внедрение зоотехнических и организационно-экономических мероприятий (7495_14),внедряет передовые методы разведения выращивания скота и птицы (4673_14),Инициативность (СК) (610_4),Знание зоотехнии (7628_14),Осуществлять руководство работой ветеринарных специалистов (4472_14),Нравственность (СК) (622_4),Пунктуальность (СК) (612_4),Знание методов разведения и выращивания скота и птицы (4650_14),Составляет планы работы (5950_14),Оформление учетно-отчетной документации по искусственному осеменению животных и птицы (212_14),Формирование и контроль исполнения бюджета (6510_14),Ведение зоотехнической документации (7490_14),Контроль качества (4458_14)
False,0.0,Республика Тыва,1,False,20000.0,20000.0,2673.6033,1605.9715,1271.2056,1212.3954,1026.917,1008.8215,732.8659,628.817,624.2931,574.5306,574.5306,542.8636,520.2443,506.6727,488.5772,484.0534,470.4818,461.4341,438.8147,434.2909,370.9568,370.9568,352.8613,339.2898,330.242,312.1466,307.6227,294.0511,285.0034,271.4318,244.2886,239.7648
False,0.0,Республика Дагестан,1,False,15000.0,15000.0,2005.2024,1204.4786,953.4042,909.2965,770.1877,756.6162,549.6494,471.6128,468.2199,430.898,430.898,407.1477,390.1832,380.0045,366.4329,363.04,352.8613,346.0755,329.1111,325.7182,278.2176,278.2176,264.646,254.4673,247.6815,234.1099,230.717,220.5383,213.7525,203.5739,183.2165,179.8236
False,0.0,Белгородская область,2,False,15000.0,45000.0,6015.6073,3613.4359,2860.2126,2727.8896,2310.5632,2269.8485,1648.9482,1414.8383,1404.6596,1292.694,1292.694,1221.4431,1170.5496,1140.0136,1099.2988,1089.1201,1058.584,1038.2266,987.3332,977.1545,834.6528,834.6528,793.938,763.4019,743.0446,702.3298,692.1511,661.615,641.2576,610.7216,549.6494,539.4707
False,0.0,Город федерального значения Санкт-Петербург,0,False,20000.0,50000.0,6684.0081,4014.9287,3178.014,3030.9885,2567.2925,2522.0538,1832.1647,1572.0425,1560.7329,1436.3266,1436.3266,1357.159,1300.6107,1266.6817,1221.4431,1210.1335,1176.2045,1153.5852,1097.0369,1085.7272,927.392,927.392,882.1534,848.2244,825.6051,780.3664,769.0568,735.1278,712.5085,678.5795,610.7216,599.4119
False,0.0,Волгоградская область,2,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Город федерального значения Москва,0,False,20000.0,120000.0,16041.6195,9635.829,7627.2337,7274.3723,6161.5019,6052.9292,4397.1952,3772.9021,3745.7589,3447.1839,3447.1839,3257.1816,3121.4657,3040.0362,2931.4635,2904.3203,2822.8907,2768.6044,2632.8885,2605.7453,2225.7408,2225.7408,2117.1681,2035.7385,1981.4522,1872.8794,1845.7363,1764.3067,1710.0204,1628.5908,1465.7317,1438.5886
False,0.0,Курская область,2,False,14956.0,30000.0,4010.4049,2408.9572,1906.8084,1818.5931,1540.3755,1513.2323,1099.2988,943.2255,936.4397,861.796,861.796,814.2954,780.3664,760.009,732.8659,726.0801,705.7227,692.1511,658.2221,651.4363,556.4352,556.4352,529.292,508.9346,495.363,468.2199,461.4341,441.0767,427.5051,407.1477,366.4329,359.6471
False,0.0,Ленинградская область,1,False,17385.0,45000.0,6015.6073,3613.4359,2860.2126,2727.8896,2310.5632,2269.8485,1648.9482,1414.8383,1404.6596,1292.694,1292.694,1221.4431,1170.5496,1140.0136,1099.2988,1089.1201,1058.584,1038.2266,987.3332,977.1545,834.6528,834.6528,793.938,763.4019,743.0446,702.3298,692.1511,661.615,641.2576,610.7216,549.6494,539.4707
False,0.0,Кемеровская область,1,False,15000.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Вологодская область,1,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Ярославская область,1,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Тверская область,1,False,14956.0,60000.0,8020.8098,4817.9145,3813.6168,3637.1862,3080.751,3026.4646,2198.5976,1886.451,1872.8794,1723.5919,1723.5919,1628.5908,1560.7329,1520.0181,1465.7317,1452.1601,1411.4454,1384.3022,1316.4442,1302.8727,1112.8704,1112.8704,1058.584,1017.8693,990.7261,936.4397,922.8681,882.1534,855.0102,814.2954,732.8659,719.2943
False,0.0,Республика Крым,1,False,23000.0,30000.0,4010.4049,2408.9572,1906.8084,1818.5931,1540.3755,1513.2323,1099.2988,943.2255,936.4397,861.796,861.796,814.2954,780.3664,760.009,732.8659,726.0801,705.7227,692.1511,658.2221,651.4363,556.4352,556.4352,529.292,508.9346,495.363,468.2199,461.4341,441.0767,427.5051,407.1477,366.4329,359.6471
False,0.0,Орловская область,1,False,15000.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Костромская область,1,False,14956.0,70000.0,9357.6114,5620.9002,4449.2196,4243.3838,3594.2095,3530.8754,2565.0305,2200.8595,2185.026,2010.8573,2010.8573,1900.0226,1820.855,1773.3544,1710.0204,1694.1868,1646.6863,1615.0192,1535.8516,1520.0181,1298.3488,1298.3488,1235.0147,1187.5141,1155.8471,1092.513,1076.6795,1029.1789,997.5119,950.0113,855.0102,839.1767
False,0.0,Костромская область,1,True,20000.0,20000.0,2673.6033,1605.9715,1271.2056,1212.3954,1026.917,1008.8215,732.8659,628.817,624.2931,574.5306,574.5306,542.8636,520.2443,506.6727,488.5772,484.0534,470.4818,461.4341,438.8147,434.2909,370.9568,370.9568,352.8613,339.2898,330.242,312.1466,307.6227,294.0511,285.0034,271.4318,244.2886,239.7648
False,0.0,Брянская область,1,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Ставропольский край,2,False,14956.0,61000.0,8154.4899,4898.2131,3877.1771,3697.8059,3132.0968,3076.9057,2235.2409,1917.8919,1904.0941,1752.3185,1752.3185,1655.734,1586.7451,1545.3517,1490.1606,1476.3628,1434.9695,1407.3739,1338.385,1324.5872,1131.4182,1131.4182,1076.2271,1034.8337,1007.2382,952.047,938.2493,896.8559,869.2603,827.867,745.0803,731.2825
False,0.0,Свердловская область,0,False,14956.0,47000.0,6282.9677,3774.033,2987.3332,2849.1292,2413.2549,2370.7306,1722.2348,1477.72,1467.0889,1350.147,1350.147,1275.7295,1222.5741,1190.6808,1148.1565,1137.5254,1105.6322,1084.3701,1031.2147,1020.5836,871.7485,871.7485,829.2242,797.3309,776.0688,733.5444,722.9134,691.0201,669.758,637.8647,574.0783,563.4472
False,0.0,Свердловская область,0,True,30000.0,30000.0,4010.4049,2408.9572,1906.8084,1818.5931,1540.3755,1513.2323,1099.2988,943.2255,936.4397,861.796,861.796,814.2954,780.3664,760.009,732.8659,726.0801,705.7227,692.1511,658.2221,651.4363,556.4352,556.4352,529.292,508.9346,495.363,468.2199,461.4341,441.0767,427.5051,407.1477,366.4329,359.6471
False,0.0,Новосибирская область,0,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Челябинская область,0,False,14956.0,30000.0,4010.4049,2408.9572,1906.8084,1818.5931,1540.3755,1513.2323,1099.2988,943.2255,936.4397,861.796,861.796,814.2954,780.3664,760.009,732.8659,726.0801,705.7227,692.1511,658.2221,651.4363,556.4352,556.4352,529.292,508.9346,495.363,468.2199,461.4341,441.0767,427.5051,407.1477,366.4329,359.6471
False,0.0,Республика Мордовия,1,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Томская область,1,False,15000.0,49000.0,6550.328,3934.6302,3114.4537,2970.3687,2515.9466,2471.6128,1795.5214,1540.6017,1529.5182,1407.6001,1407.6001,1330.0158,1274.5985,1241.3481,1197.0143,1185.9308,1152.6804,1130.5135,1075.0961,1064.0127,908.8442,908.8442,864.5103,831.2599,809.093,764.7591,753.6756,720.4252,698.2583,665.0079,598.5071,587.4237
False,0.0,Нижегородская область,0,False,14956.0,60000.0,8020.8098,4817.9145,3813.6168,3637.1862,3080.751,3026.4646,2198.5976,1886.451,1872.8794,1723.5919,1723.5919,1628.5908,1560.7329,1520.0181,1465.7317,1452.1601,1411.4454,1384.3022,1316.4442,1302.8727,1112.8704,1112.8704,1058.584,1017.8693,990.7261,936.4397,922.8681,882.1534,855.0102,814.2954,732.8659,719.2943
False,0.0,Тюменская область,1,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Ивановская область,1,False,14956.0,70000.0,9357.6114,5620.9002,4449.2196,4243.3838,3594.2095,3530.8754,2565.0305,2200.8595,2185.026,2010.8573,2010.8573,1900.0226,1820.855,1773.3544,1710.0204,1694.1868,1646.6863,1615.0192,1535.8516,1520.0181,1298.3488,1298.3488,1235.0147,1187.5141,1155.8471,1092.513,1076.6795,1029.1789,997.5119,950.0113,855.0102,839.1767
False,0.0,Омская область,1,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Саратовская область,2,False,15000.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Пензенская область,1,False,14956.0,55000.0,7352.409,4416.4216,3495.8154,3334.0873,2824.0217,2774.2592,2015.3811,1729.2468,1716.8062,1579.9593,1579.9593,1492.8749,1430.6718,1393.3499,1343.5874,1331.1468,1293.8249,1268.9437,1206.7406,1194.2999,1020.1312,1020.1312,970.3687,933.0468,908.1656,858.4031,845.9625,808.6406,783.7593,746.4375,671.7937,659.3531
False,0.0,Пензенская область,1,True,19000.0,19000.0,2539.9231,1525.6729,1207.6453,1151.7756,975.5711,958.3805,696.2226,597.3762,593.0785,545.8041,545.8041,515.7204,494.2321,481.3391,464.1484,459.8507,446.9577,438.3624,416.874,412.5763,352.409,352.409,335.2183,322.3253,313.7299,296.5392,292.2416,279.3486,270.7532,257.8602,232.0742,227.7765
False,0.0,Алтайский край,2,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Владимирская область,1,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Кабардино-Балкарская Республика,1,False,14956.0,30000.0,4010.4049,2408.9572,1906.8084,1818.5931,1540.3755,1513.2323,1099.2988,943.2255,936.4397,861.796,861.796,814.2954,780.3664,760.009,732.8659,726.0801,705.7227,692.1511,658.2221,651.4363,556.4352,556.4352,529.292,508.9346,495.363,468.2199,461.4341,441.0767,427.5051,407.1477,366.4329,359.6471
False,0.0,Самарская область,0,False,15000.0,32000.0,4277.7652,2569.5544,2033.929,1939.8326,1643.0672,1614.1145,1172.5854,1006.1072,998.869,919.249,919.249,868.5818,832.3909,810.6763,781.7236,774.4854,752.7709,738.2945,702.1036,694.8654,593.5309,593.5309,564.5781,542.8636,528.3872,499.4345,492.1963,470.4818,456.0054,434.2909,390.8618,383.6236
False,0.0,Красноярский край,1,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Республика Татарстан,0,False,14956.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,17000.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Курганская область,1,False,14956.0,30000.0,4010.4049,2408.9572,1906.8084,1818.5931,1540.3755,1513.2323,1099.2988,943.2255,936.4397,861.796,861.796,814.2954,780.3664,760.009,732.8659,726.0801,705.7227,692.1511,658.2221,651.4363,556.4352,556.4352,529.292,508.9346,495.363,468.2199,461.4341,441.0767,427.5051,407.1477,366.4329,359.6471
False,0.0,Архангельская область,1,False,19000.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Калининградская область,1,False,15000.0,45000.0,6015.6073,3613.4359,2860.2126,2727.8896,2310.5632,2269.8485,1648.9482,1414.8383,1404.6596,1292.694,1292.694,1221.4431,1170.5496,1140.0136,1099.2988,1089.1201,1058.584,1038.2266,987.3332,977.1545,834.6528,834.6528,793.938,763.4019,743.0446,702.3298,692.1511,661.615,641.2576,610.7216,549.6494,539.4707
False,0.0,Республика Марий Эл,1,False,15000.0,60000.0,8020.8098,4817.9145,3813.6168,3637.1862,3080.751,3026.4646,2198.5976,1886.451,1872.8794,1723.5919,1723.5919,1628.5908,1560.7329,1520.0181,1465.7317,1452.1601,1411.4454,1384.3022,1316.4442,1302.8727,1112.8704,1112.8704,1058.584,1017.8693,990.7261,936.4397,922.8681,882.1534,855.0102,814.2954,732.8659,719.2943
False,0.0,Иркутская область,1,False,15000.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Пермский край,1,False,18670.0,30000.0,4010.4049,2408.9572,1906.8084,1818.5931,1540.3755,1513.2323,1099.2988,943.2255,936.4397,861.796,861.796,814.2954,780.3664,760.009,732.8659,726.0801,705.7227,692.1511,658.2221,651.4363,556.4352,556.4352,529.292,508.9346,495.363,468.2199,461.4341,441.0767,427.5051,407.1477,366.4329,359.6471
False,0.0,Смоленская область,1,False,15000.0,30000.0,4010.4049,2408.9572,1906.8084,1818.5931,1540.3755,1513.2323,1099.2988,943.2255,936.4397,861.796,861.796,814.2954,780.3664,760.009,732.8659,726.0801,705.7227,692.1511,658.2221,651.4363,556.4352,556.4352,529.292,508.9346,495.363,468.2199,461.4341,441.0767,427.5051,407.1477,366.4329,359.6471
False,0.0,Республика Бурятия,1,False,15000.0,30000.0,4010.4049,2408.9572,1906.8084,1818.5931,1540.3755,1513.2323,1099.2988,943.2255,936.4397,861.796,861.796,814.2954,780.3664,760.009,732.8659,726.0801,705.7227,692.1511,658.2221,651.4363,556.4352,556.4352,529.292,508.9346,495.363,468.2199,461.4341,441.0767,427.5051,407.1477,366.4329,359.6471
False,0.0,Тамбовская область,2,False,15000.0,40000.0,5347.2065,3211.943,2542.4112,2424.7908,2053.834,2017.6431,1465.7317,1257.634,1248.5863,1149.0613,1149.0613,1085.7272,1040.4886,1013.3454,977.1545,968.1068,940.9636,922.8681,877.6295,868.5818,741.9136,741.9136,705.7227,678.5795,660.4841,624.2931,615.2454,588.1022,570.0068,542.8636,488.5772,479.5295
False,0.0,Республика Адыгея,1,False,18000.0,30000.0,4010.4049,2408.9572,1906.8084,1818.5931,1540.3755,1513.2323,1099.2988,943.2255,936.4397,861.796,861.796,814.2954,780.3664,760.009,732.8659,726.0801,705.7227,692.1511,658.2221,651.4363,556.4352,556.4352,529.292,508.9346,495.363,468.2199,461.4341,441.0767,427.5051,407.1477,366.4329,359.6471
False,0.0,Краснодарский край,0,False,15000.0,49500.0,6617.1681,3974.7795,3146.2339,3000.6786,2541.6195,2496.8333,1813.843,1556.3221,1545.1255,1421.9634,1421.9634,1343.5874,1287.6046,1254.0149,1209.2287,1198.0321,1164.4424,1142.0493,1086.0665,1074.8699,918.1181,918.1181,873.3318,839.7421,817.349,772.5628,761.3662,727.7765,705.3834,671.7937,604.6143,593.4178
False,0.0,Краснодарский край,0,True,30000.0,30000.0,4010.4049,2408.9572,1906.8084,1818.5931,1540.3755,1513.2323,1099.2988,943.2255,936.4397,861.796,861.796,814.2954,780.3664,760.009,732.8659,726.0801,705.7227,692.1511,658.2221,651.4363,556.4352,556.4352,529.292,508.9346,495.363,468.2199,461.4341,441.0767,427.5051,407.1477,366.4329,359.6471
False,0.0,Калужская область,1,False,15000.0,52000.0,6951.3685,4175.5259,3305.1346,3152.228,2669.9842,2622.936,1905.4513,1634.9242,1623.1622,1493.7797,1493.7797,1411.4454,1352.6352,1317.349,1270.3008,1258.5388,1223.2527,1199.7286,1140.9183,1129.1563,964.4877,964.4877,917.4395,882.1534,858.6293,811.5811,799.819,764.5329,741.0088,705.7227,635.1504,623.3884
False,0.0,Рязанская область,1,False,18000.0,50000.0,6684.0081,4014.9287,3178.014,3030.9885,2567.2925,2522.0538,1832.1647,1572.0425,1560.7329,1436.3266,1436.3266,1357.159,1300.6107,1266.6817,1221.4431,1210.1335,1176.2045,1153.5852,1097.0369,1085.7272,927.392,927.392,882.1534,848.2244,825.6051,780.3664,769.0568,735.1278,712.5085,678.5795,610.7216,599.4119
