is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Внимательность (СК) (536_4),"Личные установки и ценности, мировоззрение (2043_4)","Организаторские способности, лидерство (СК) (393_4)",Контроль качества изделий (3466_35),Дисциплинированность (СК) (593_4),Чтение схем/чертежей (ОПТ) (3032_36),"Саморазвитие, обучаемость (СК) (604_4)",Знание нормативной и методической документации (4566_35),Использование контрольно-измерительных инструментов (3479_35),Проводить входной контроль (4569_35),Командность (СК) (1371_4),Контроль качества продукции (4221_35),Контроль и приемка продукции (4586_35),Аккуратность (СК) (575_4),Умение читать конструкторскую и технологическую документацию (3439_35),Организация работы по повышению качества продукции (4671_35),Коммуникабельность (СК) (617_4),Знание компьютерных программ (3753_35),Проведение визуально-измерительного контроля (4677_35),Сверка параметров продукции с эталоном или документацией (4818_35),"Контроль качества материалов, полуфабрикатов и комплектующих (4599_35)","Оформление сопроводительной документации по качеству, протоколов, сертификатов (4559_35)",Проведение пооперационного и межоперационного контроля (4570_35),Руководство работниками службы качества (4619_35)
False,0.0,Пензенская область,1,True,15000.0,15000.0,2345.4545,1904.5455,1100.0,1018.1818,836.3636,731.8182,690.9091,504.5455,486.3636,477.2727,463.6364,454.5455,454.5455,418.1818,372.7273,340.9091,304.5455,286.3636,281.8182,281.8182,277.2727,254.5455,240.9091,240.9091,231.8182
False,0.0,Ивановская область,1,False,13100.0,45000.0,7036.3636,5713.6364,3300.0,3054.5455,2509.0909,2195.4545,2072.7273,1513.6364,1459.0909,1431.8182,1390.9091,1363.6364,1363.6364,1254.5455,1118.1818,1022.7273,913.6364,859.0909,845.4545,845.4545,831.8182,763.6364,722.7273,722.7273,695.4545
False,0.0,Чувашская Республика,1,False,14000.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Кировская область,1,False,13100.0,36000.0,5629.0909,4570.9091,2640.0,2443.6364,2007.2727,1756.3636,1658.1818,1210.9091,1167.2727,1145.4545,1112.7273,1090.9091,1090.9091,1003.6364,894.5455,818.1818,730.9091,687.2727,676.3636,676.3636,665.4545,610.9091,578.1818,578.1818,556.3636
False,0.0,Кировская область,1,True,16200.0,16200.0,2533.0909,2056.9091,1188.0,1099.6364,903.2727,790.3636,746.1818,544.9091,525.2727,515.4545,500.7273,490.9091,490.9091,451.6364,402.5455,368.1818,328.9091,309.2727,304.3636,304.3636,299.4545,274.9091,260.1818,260.1818,250.3636
False,0.0,Челябинская область,0,False,13100.0,50000.0,7818.1818,6348.4848,3666.6667,3393.9394,2787.8788,2439.3939,2303.0303,1681.8182,1621.2121,1590.9091,1545.4545,1515.1515,1515.1515,1393.9394,1242.4242,1136.3636,1015.1515,954.5455,939.3939,939.3939,924.2424,848.4848,803.0303,803.0303,772.7273
False,0.0,Челябинская область,0,True,16200.0,18900.0,2955.2727,2399.7273,1386.0,1282.9091,1053.8182,922.0909,870.5455,635.7273,612.8182,601.3636,584.1818,572.7273,572.7273,526.9091,469.6364,429.5455,383.7273,360.8182,355.0909,355.0909,349.3636,320.7273,303.5455,303.5455,292.0909
False,0.0,Рязанская область,1,False,15000.0,38000.0,5941.8182,4824.8485,2786.6667,2579.3939,2118.7879,1853.9394,1750.303,1278.1818,1232.1212,1209.0909,1174.5455,1151.5152,1151.5152,1059.3939,944.2424,863.6364,771.5152,725.4545,713.9394,713.9394,702.4242,644.8485,610.303,610.303,587.2727
False,0.0,Пермский край,1,False,15000.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Удмуртская Республика,1,False,13100.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Алтайский край,2,False,13100.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Свердловская область,0,False,13100.0,50000.0,7818.1818,6348.4848,3666.6667,3393.9394,2787.8788,2439.3939,2303.0303,1681.8182,1621.2121,1590.9091,1545.4545,1515.1515,1515.1515,1393.9394,1242.4242,1136.3636,1015.1515,954.5455,939.3939,939.3939,924.2424,848.4848,803.0303,803.0303,772.7273
False,0.0,Самарская область,0,False,13100.0,45000.0,7036.3636,5713.6364,3300.0,3054.5455,2509.0909,2195.4545,2072.7273,1513.6364,1459.0909,1431.8182,1390.9091,1363.6364,1363.6364,1254.5455,1118.1818,1022.7273,913.6364,859.0909,845.4545,845.4545,831.8182,763.6364,722.7273,722.7273,695.4545
False,0.0,Самарская область,0,True,13100.0,22000.0,3440.0,2793.3333,1613.3333,1493.3333,1226.6667,1073.3333,1013.3333,740.0,713.3333,700.0,680.0,666.6667,666.6667,613.3333,546.6667,500.0,446.6667,420.0,413.3333,413.3333,406.6667,373.3333,353.3333,353.3333,340.0
False,0.0,Ульяновская область,1,False,13100.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Тульская область,1,False,15000.0,39000.0,6098.1818,4951.8182,2860.0,2647.2727,2174.5455,1902.7273,1796.3636,1311.8182,1264.5455,1240.9091,1205.4545,1181.8182,1181.8182,1087.2727,969.0909,886.3636,791.8182,744.5455,732.7273,732.7273,720.9091,661.8182,626.3636,626.3636,602.7273
False,0.0,Курганская область,1,False,15000.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Воронежская область,2,False,13100.0,50000.0,7818.1818,6348.4848,3666.6667,3393.9394,2787.8788,2439.3939,2303.0303,1681.8182,1621.2121,1590.9091,1545.4545,1515.1515,1515.1515,1393.9394,1242.4242,1136.3636,1015.1515,954.5455,939.3939,939.3939,924.2424,848.4848,803.0303,803.0303,772.7273
False,0.0,Курская область,2,False,13100.0,48276.0,7548.6109,6129.5891,3540.24,3276.9164,2691.7527,2355.2836,2223.6218,1623.8291,1565.3127,1536.0545,1492.1673,1462.9091,1462.9091,1345.8764,1199.5855,1097.1818,980.1491,921.6327,907.0036,907.0036,892.3745,819.2291,775.3418,775.3418,746.0836
False,0.0,Владимирская область,1,False,13100.0,45000.0,7036.3636,5713.6364,3300.0,3054.5455,2509.0909,2195.4545,2072.7273,1513.6364,1459.0909,1431.8182,1390.9091,1363.6364,1363.6364,1254.5455,1118.1818,1022.7273,913.6364,859.0909,845.4545,845.4545,831.8182,763.6364,722.7273,722.7273,695.4545
False,0.0,Костромская область,1,False,13100.0,40000.0,6254.5455,5078.7879,2933.3333,2715.1515,2230.303,1951.5152,1842.4242,1345.4545,1296.9697,1272.7273,1236.3636,1212.1212,1212.1212,1115.1515,993.9394,909.0909,812.1212,763.6364,751.5152,751.5152,739.3939,678.7879,642.4242,642.4242,618.1818
False,0.0,Республика Марий Эл,1,False,15000.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Томская область,1,False,15000.0,43500.0,6801.8182,5523.1818,3190.0,2952.7273,2425.4545,2122.2727,2003.6364,1463.1818,1410.4545,1384.0909,1344.5455,1318.1818,1318.1818,1212.7273,1080.9091,988.6364,883.1818,830.4545,817.2727,817.2727,804.0909,738.1818,698.6364,698.6364,672.2727
False,0.0,Саратовская область,2,False,13100.0,49000.0,7661.8182,6221.5152,3593.3333,3326.0606,2732.1212,2390.6061,2256.9697,1648.1818,1588.7879,1559.0909,1514.5455,1484.8485,1484.8485,1366.0606,1217.5758,1113.6364,994.8485,935.4545,920.6061,920.6061,905.7576,831.5152,786.9697,786.9697,757.2727
False,0.0,Волгоградская область,2,False,13100.0,45000.0,7036.3636,5713.6364,3300.0,3054.5455,2509.0909,2195.4545,2072.7273,1513.6364,1459.0909,1431.8182,1390.9091,1363.6364,1363.6364,1254.5455,1118.1818,1022.7273,913.6364,859.0909,845.4545,845.4545,831.8182,763.6364,722.7273,722.7273,695.4545
False,0.0,Калининградская область,1,False,13100.0,33200.0,5191.2727,4215.3939,2434.6667,2253.5758,1851.1515,1619.7576,1529.2121,1116.7273,1076.4848,1056.3636,1026.1818,1006.0606,1006.0606,925.5758,824.9697,754.5455,674.0606,633.8182,623.7576,623.7576,613.697,563.3939,533.2121,533.2121,513.0909
False,0.0,Республика Мордовия,1,False,13100.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Белгородская область,2,False,15000.0,50000.0,7818.1818,6348.4848,3666.6667,3393.9394,2787.8788,2439.3939,2303.0303,1681.8182,1621.2121,1590.9091,1545.4545,1515.1515,1515.1515,1393.9394,1242.4242,1136.3636,1015.1515,954.5455,939.3939,939.3939,924.2424,848.4848,803.0303,803.0303,772.7273
False,0.0,Кабардино-Балкарская Республика,1,False,18000.0,30000.0,4690.9091,3809.0909,2200.0,2036.3636,1672.7273,1463.6364,1381.8182,1009.0909,972.7273,954.5455,927.2727,909.0909,909.0909,836.3636,745.4545,681.8182,609.0909,572.7273,563.6364,563.6364,554.5455,509.0909,481.8182,481.8182,463.6364
False,0.0,Омская область,1,False,15000.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Кемеровская область,1,False,15000.0,40000.0,6254.5455,5078.7879,2933.3333,2715.1515,2230.303,1951.5152,1842.4242,1345.4545,1296.9697,1272.7273,1236.3636,1212.1212,1212.1212,1115.1515,993.9394,909.0909,812.1212,763.6364,751.5152,751.5152,739.3939,678.7879,642.4242,642.4242,618.1818
False,0.0,Брянская область,1,False,16200.0,47000.0,7349.0909,5967.5758,3446.6667,3190.303,2620.6061,2293.0303,2164.8485,1580.9091,1523.9394,1495.4545,1452.7273,1424.2424,1424.2424,1310.303,1167.8788,1068.1818,954.2424,897.2727,883.0303,883.0303,868.7879,797.5758,754.8485,754.8485,726.3636
False,0.0,Псковская область,1,False,15000.0,25000.0,3909.0909,3174.2424,1833.3333,1696.9697,1393.9394,1219.697,1151.5152,840.9091,810.6061,795.4545,772.7273,757.5758,757.5758,696.9697,621.2121,568.1818,507.5758,477.2727,469.697,469.697,462.1212,424.2424,401.5152,401.5152,386.3636
False,0.0,Республика Бурятия,1,False,15000.0,30000.0,4690.9091,3809.0909,2200.0,2036.3636,1672.7273,1463.6364,1381.8182,1009.0909,972.7273,954.5455,927.2727,909.0909,909.0909,836.3636,745.4545,681.8182,609.0909,572.7273,563.6364,563.6364,554.5455,509.0909,481.8182,481.8182,463.6364
False,0.0,Карачаево-Черкесская Республика,1,False,15000.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Республика Адыгея,1,False,16200.0,35000.0,5472.7273,4443.9394,2566.6667,2375.7576,1951.5152,1707.5758,1612.1212,1177.2727,1134.8485,1113.6364,1081.8182,1060.6061,1060.6061,975.7576,869.697,795.4545,710.6061,668.1818,657.5758,657.5758,646.9697,593.9394,562.1212,562.1212,540.9091
False,0.0,Город федерального значения Севастополь,1,False,16200.0,25000.0,3909.0909,3174.2424,1833.3333,1696.9697,1393.9394,1219.697,1151.5152,840.9091,810.6061,795.4545,772.7273,757.5758,757.5758,696.9697,621.2121,568.1818,507.5758,477.2727,469.697,469.697,462.1212,424.2424,401.5152,401.5152,386.3636
False,0.0,Республика Коми,1,False,20000.0,30000.0,4690.9091,3809.0909,2200.0,2036.3636,1672.7273,1463.6364,1381.8182,1009.0909,972.7273,954.5455,927.2727,909.0909,909.0909,836.3636,745.4545,681.8182,609.0909,572.7273,563.6364,563.6364,554.5455,509.0909,481.8182,481.8182,463.6364
False,0.0,Республика Северная Осетия,1,False,16242.0,25000.0,3909.0909,3174.2424,1833.3333,1696.9697,1393.9394,1219.697,1151.5152,840.9091,810.6061,795.4545,772.7273,757.5758,757.5758,696.9697,621.2121,568.1818,507.5758,477.2727,469.697,469.697,462.1212,424.2424,401.5152,401.5152,386.3636
False,0.0,Республика Крым,1,False,25000.0,30000.0,4690.9091,3809.0909,2200.0,2036.3636,1672.7273,1463.6364,1381.8182,1009.0909,972.7273,954.5455,927.2727,909.0909,909.0909,836.3636,745.4545,681.8182,609.0909,572.7273,563.6364,563.6364,554.5455,509.0909,481.8182,481.8182,463.6364
False,0.0,Луганская область,1,False,25000.0,25000.0,3909.0909,3174.2424,1833.3333,1696.9697,1393.9394,1219.697,1151.5152,840.9091,810.6061,795.4545,772.7273,757.5758,757.5758,696.9697,621.2121,568.1818,507.5758,477.2727,469.697,469.697,462.1212,424.2424,401.5152,401.5152,386.3636
False,0.0,Чеченская Республика,1,False,30000.0,30000.0,4690.9091,3809.0909,2200.0,2036.3636,1672.7273,1463.6364,1381.8182,1009.0909,972.7273,954.5455,927.2727,909.0909,909.0909,836.3636,745.4545,681.8182,609.0909,572.7273,563.6364,563.6364,554.5455,509.0909,481.8182,481.8182,463.6364
False,0.0,Город федерального значения Санкт-Петербург,0,False,20000.0,60000.0,9381.8182,7618.1818,4400.0,4072.7273,3345.4545,2927.2727,2763.6364,2018.1818,1945.4545,1909.0909,1854.5455,1818.1818,1818.1818,1672.7273,1490.9091,1363.6364,1218.1818,1145.4545,1127.2727,1127.2727,1109.0909,1018.1818,963.6364,963.6364,927.2727
False,0.0,Город федерального значения Санкт-Петербург,0,True,20000.0,20000.0,3127.2727,2539.3939,1466.6667,1357.5758,1115.1515,975.7576,921.2121,672.7273,648.4848,636.3636,618.1818,606.0606,606.0606,557.5758,496.9697,454.5455,406.0606,381.8182,375.7576,375.7576,369.697,339.3939,321.2121,321.2121,309.0909
False,0.0,Республика Башкортостан,0,False,18000.0,42000.0,6567.2727,5332.7273,3080.0,2850.9091,2341.8182,2049.0909,1934.5455,1412.7273,1361.8182,1336.3636,1298.1818,1272.7273,1272.7273,1170.9091,1043.6364,954.5455,852.7273,801.8182,789.0909,789.0909,776.3636,712.7273,674.5455,674.5455,649.0909
False,0.0,Город федерального значения Москва,0,False,18000.0,62000.0,9694.5455,7872.1212,4546.6667,4208.4848,3456.9697,3024.8485,2855.7576,2085.4545,2010.303,1972.7273,1916.3636,1878.7879,1878.7879,1728.4848,1540.6061,1409.0909,1258.7879,1183.6364,1164.8485,1164.8485,1146.0606,1052.1212,995.7576,995.7576,958.1818
False,0.0,Новосибирская область,0,False,18000.0,45000.0,7036.3636,5713.6364,3300.0,3054.5455,2509.0909,2195.4545,2072.7273,1513.6364,1459.0909,1431.8182,1390.9091,1363.6364,1363.6364,1254.5455,1118.1818,1022.7273,913.6364,859.0909,845.4545,845.4545,831.8182,763.6364,722.7273,722.7273,695.4545
False,0.0,Новосибирская область,0,True,34000.0,34000.0,5316.3636,4316.9697,2493.3333,2307.8788,1895.7576,1658.7879,1566.0606,1143.6364,1102.4242,1081.8182,1050.9091,1030.303,1030.303,947.8788,844.8485,772.7273,690.303,649.0909,638.7879,638.7879,628.4848,576.9697,546.0606,546.0606,525.4545
False,0.0,Оренбургская область,2,False,18000.0,40000.0,6254.5455,5078.7879,2933.3333,2715.1515,2230.303,1951.5152,1842.4242,1345.4545,1296.9697,1272.7273,1236.3636,1212.1212,1212.1212,1115.1515,993.9394,909.0909,812.1212,763.6364,751.5152,751.5152,739.3939,678.7879,642.4242,642.4242,618.1818
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,25000.0,30000.0,4690.9091,3809.0909,2200.0,2036.3636,1672.7273,1463.6364,1381.8182,1009.0909,972.7273,954.5455,927.2727,909.0909,909.0909,836.3636,745.4545,681.8182,609.0909,572.7273,563.6364,563.6364,554.5455,509.0909,481.8182,481.8182,463.6364
False,0.0,Хабаровский край,1,False,18000.0,45000.0,7036.3636,5713.6364,3300.0,3054.5455,2509.0909,2195.4545,2072.7273,1513.6364,1459.0909,1431.8182,1390.9091,1363.6364,1363.6364,1254.5455,1118.1818,1022.7273,913.6364,859.0909,845.4545,845.4545,831.8182,763.6364,722.7273,722.7273,695.4545
False,0.0,Ленинградская область,1,False,18000.0,54300.0,8490.5455,6894.4545,3982.0,3685.8182,3027.6364,2649.1818,2501.0909,1826.4545,1760.6364,1727.7273,1678.3636,1645.4545,1645.4545,1513.8182,1349.2727,1234.0909,1102.4545,1036.6364,1020.1818,1020.1818,1003.7273,921.4545,872.0909,872.0909,839.1818
False,0.0,Иркутская область,1,False,18000.0,45000.0,7036.3636,5713.6364,3300.0,3054.5455,2509.0909,2195.4545,2072.7273,1513.6364,1459.0909,1431.8182,1390.9091,1363.6364,1363.6364,1254.5455,1118.1818,1022.7273,913.6364,859.0909,845.4545,845.4545,831.8182,763.6364,722.7273,722.7273,695.4545
False,0.0,Мурманская область,1,False,20000.0,28000.0,4378.1818,3555.1515,2053.3333,1900.6061,1561.2121,1366.0606,1289.697,941.8182,907.8788,890.9091,865.4545,848.4848,848.4848,780.6061,695.7576,636.3636,568.4848,534.5455,526.0606,526.0606,517.5758,475.1515,449.697,449.697,432.7273
False,0.0,Калужская область,1,False,18000.0,45000.0,7036.3636,5713.6364,3300.0,3054.5455,2509.0909,2195.4545,2072.7273,1513.6364,1459.0909,1431.8182,1390.9091,1363.6364,1363.6364,1254.5455,1118.1818,1022.7273,913.6364,859.0909,845.4545,845.4545,831.8182,763.6364,722.7273,722.7273,695.4545
False,0.0,Московская область,2,False,20000.0,65000.0,10163.6364,8253.0303,4766.6667,4412.1212,3624.2424,3171.2121,2993.9394,2186.3636,2107.5758,2068.1818,2009.0909,1969.697,1969.697,1812.1212,1615.1515,1477.2727,1319.697,1240.9091,1221.2121,1221.2121,1201.5152,1103.0303,1043.9394,1043.9394,1004.5455
False,0.0,Смоленская область,1,False,20000.0,40000.0,6254.5455,5078.7879,2933.3333,2715.1515,2230.303,1951.5152,1842.4242,1345.4545,1296.9697,1272.7273,1236.3636,1212.1212,1212.1212,1115.1515,993.9394,909.0909,812.1212,763.6364,751.5152,751.5152,739.3939,678.7879,642.4242,642.4242,618.1818
False,0.0,Тюменская область,1,False,18000.0,40000.0,6254.5455,5078.7879,2933.3333,2715.1515,2230.303,1951.5152,1842.4242,1345.4545,1296.9697,1272.7273,1236.3636,1212.1212,1212.1212,1115.1515,993.9394,909.0909,812.1212,763.6364,751.5152,751.5152,739.3939,678.7879,642.4242,642.4242,618.1818
False,0.0,Вологодская область,1,False,18000.0,40000.0,6254.5455,5078.7879,2933.3333,2715.1515,2230.303,1951.5152,1842.4242,1345.4545,1296.9697,1272.7273,1236.3636,1212.1212,1212.1212,1115.1515,993.9394,909.0909,812.1212,763.6364,751.5152,751.5152,739.3939,678.7879,642.4242,642.4242,618.1818
False,0.0,Вологодская область,1,True,30000.0,30000.0,4690.9091,3809.0909,2200.0,2036.3636,1672.7273,1463.6364,1381.8182,1009.0909,972.7273,954.5455,927.2727,909.0909,909.0909,836.3636,745.4545,681.8182,609.0909,572.7273,563.6364,563.6364,554.5455,509.0909,481.8182,481.8182,463.6364
False,0.0,Новгородская область,1,False,18000.0,30000.0,4690.9091,3809.0909,2200.0,2036.3636,1672.7273,1463.6364,1381.8182,1009.0909,972.7273,954.5455,927.2727,909.0909,909.0909,836.3636,745.4545,681.8182,609.0909,572.7273,563.6364,563.6364,554.5455,509.0909,481.8182,481.8182,463.6364
False,0.0,Красноярский край,1,False,18000.0,40000.0,6254.5455,5078.7879,2933.3333,2715.1515,2230.303,1951.5152,1842.4242,1345.4545,1296.9697,1272.7273,1236.3636,1212.1212,1212.1212,1115.1515,993.9394,909.0909,812.1212,763.6364,751.5152,751.5152,739.3939,678.7879,642.4242,642.4242,618.1818
False,0.0,Тверская область,1,False,16242.0,50000.0,7818.1818,6348.4848,3666.6667,3393.9394,2787.8788,2439.3939,2303.0303,1681.8182,1621.2121,1590.9091,1545.4545,1515.1515,1515.1515,1393.9394,1242.4242,1136.3636,1015.1515,954.5455,939.3939,939.3939,924.2424,848.4848,803.0303,803.0303,772.7273
False,0.0,Ярославская область,1,False,18000.0,40000.0,6254.5455,5078.7879,2933.3333,2715.1515,2230.303,1951.5152,1842.4242,1345.4545,1296.9697,1272.7273,1236.3636,1212.1212,1212.1212,1115.1515,993.9394,909.0909,812.1212,763.6364,751.5152,751.5152,739.3939,678.7879,642.4242,642.4242,618.1818
False,0.0,Тамбовская область,2,False,18000.0,40000.0,6254.5455,5078.7879,2933.3333,2715.1515,2230.303,1951.5152,1842.4242,1345.4545,1296.9697,1272.7273,1236.3636,1212.1212,1212.1212,1115.1515,993.9394,909.0909,812.1212,763.6364,751.5152,751.5152,739.3939,678.7879,642.4242,642.4242,618.1818
False,0.0,Липецкая область,1,False,18000.0,40000.0,6254.5455,5078.7879,2933.3333,2715.1515,2230.303,1951.5152,1842.4242,1345.4545,1296.9697,1272.7273,1236.3636,1212.1212,1212.1212,1115.1515,993.9394,909.0909,812.1212,763.6364,751.5152,751.5152,739.3939,678.7879,642.4242,642.4242,618.1818
False,0.0,Приморский край,1,False,25000.0,52000.0,8130.9091,6602.4242,3813.3333,3529.697,2899.3939,2536.9697,2395.1515,1749.0909,1686.0606,1654.5455,1607.2727,1575.7576,1575.7576,1449.697,1292.1212,1181.8182,1055.7576,992.7273,976.9697,976.9697,961.2121,882.4242,835.1515,835.1515,803.6364
False,0.0,Республика Карелия,1,False,20000.0,34000.0,5316.3636,4316.9697,2493.3333,2307.8788,1895.7576,1658.7879,1566.0606,1143.6364,1102.4242,1081.8182,1050.9091,1030.303,1030.303,947.8788,844.8485,772.7273,690.303,649.0909,638.7879,638.7879,628.4848,576.9697,546.0606,546.0606,525.4545
