is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)","Проведение диагностики, техосмотра и ремонта оборудования и механизмов (7245_35)","Организаторские способности, лидерство (СК) (393_4)",Дисциплинированность (СК) (593_4),Ремонт оборудования (4132_35),Коммуникабельность (СК) (617_4),Английский язык (ЯС) (1918_32),Навыки руководящей работы (6700_35),Выполнение ремонтных работ (ОПТ) (8285_36),Техническое обслуживание оборудования (4130_35),Ведение учета (4195_35),Организация ремонта автотранспорта (7299_35),Знание компьютерных программ (3753_35),"Саморазвитие, обучаемость (СК) (604_4)",Умение читать конструкторскую и технологическую документацию (3439_35),Обеспечение правильной эксплуатации оборудования (7278_35),Разработка мероприятий по достижению безаварийной работы (7287_35),Разработка графиков выполнения работ (6081_35),Знание нормативной и методической документации (4566_35),Уметь контролировать качество ремонтных работ (7384_35),Подготовка отчетной документации (6585_35),Уметь проводить монтаж и пуско-наладку металлообрабатывающих станков (7402_35),Чтение схем/чертежей (ОПТ) (3032_36),Аккуратность (СК) (575_4),Кропотливость (СК) (623_4),"Знать конструкцию, режимы работы и правила эксплуатации оборудования (7374_35)",Командность (СК) (1371_4),Определять потребность в запасных частях для оборудования (7326_35),Обеспечение бесперебойной работы оборудования (4218_35),Стрессоустойчивость (СК) (601_4),Соблюдение правил охраны труда (ОПТ) (3790_36),Целеустремленность (СК) (588_4),Оформление дефектных ведомостей (4560_35),Оформлять заявки на приобретение материалов и запасных частей (7239_35),Уметь контролировать качество технического обслуживания (7385_35),Ведение документации (4135_35),Разработка ремонтной документации (6266_35),Знание основ технических наук (4136_35),Разработка мероприятий по повышению эффективности производства (6739_35),Внимательность (СК) (536_4),Высокая работоспособность (СК) (586_4),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Контроль за работой и техническим состоянием оборудования (4119_35),Эксплуатация станочного оборудования (3579_35),Обслуживание холодильного оборудования (7375_35),Разработка и внедрение мероприятий по снижению себестоимости продукции (6581_35),Трудолюбие (СК) (597_4)
False,1.0,Брянская область,1,False,20000.0,60000.0,8227.9966,3902.7661,3671.4166,2735.9598,2393.9648,2233.026,1901.0897,1840.7376,1709.9749,1378.0386,1337.8039,1297.5692,1227.1584,1196.9824,1156.7477,1116.513,1106.4543,1086.337,1025.9849,965.6329,925.3982,925.3982,895.2221,854.9874,794.6354,784.5767,754.4007,744.342,704.1073,704.1073,694.0486,663.8726,653.8139,633.6966,603.5205,603.5205,603.5205,593.4619,583.4032,563.2858,563.2858,543.1685,523.0511,523.0511,512.9925,512.9925,512.9925,512.9925
False,1.0,Удмуртская Республика,1,False,20000.0,50000.0,6856.6639,3252.3051,3059.5138,2279.9665,1994.9707,1860.855,1584.2414,1533.948,1424.979,1148.3655,1114.8365,1081.3076,1022.632,997.4853,963.9564,930.4275,922.0453,905.2808,854.9874,804.694,771.1651,771.1651,746.0184,712.4895,662.1961,653.8139,628.6672,620.285,586.7561,586.7561,578.3738,553.2272,544.8449,528.0805,502.9338,502.9338,502.9338,494.5516,486.1693,469.4049,469.4049,452.6404,435.8759,435.8759,427.4937,427.4937,427.4937,427.4937
False,1.0,Тульская область,1,False,20000.0,66000.0,9050.7963,4293.0427,4038.5583,3009.5557,2633.3613,2456.3286,2091.1987,2024.8114,1880.9723,1515.8424,1471.5842,1427.3261,1349.8743,1316.6806,1272.4225,1228.1643,1217.0997,1194.9707,1128.5834,1062.1961,1017.938,1017.938,984.7443,940.4862,874.0989,863.0344,829.8407,818.7762,774.518,774.518,763.4535,730.2598,719.1953,697.0662,663.8726,663.8726,663.8726,652.808,641.7435,619.6144,619.6144,597.4853,575.3562,575.3562,564.2917,564.2917,564.2917,564.2917
False,1.0,Нижегородская область,0,False,20000.0,76000.0,10422.1291,4943.5038,4650.461,3465.549,3032.3554,2828.4996,2408.0469,2331.601,2165.9681,1745.5155,1694.5516,1643.5876,1554.4007,1516.1777,1465.2137,1414.2498,1401.5088,1376.0268,1299.5809,1223.135,1172.171,1172.171,1133.948,1082.9841,1006.5381,993.7972,955.5742,942.8332,891.8692,891.8692,879.1282,840.9053,828.1643,802.6823,764.4593,764.4593,764.4593,751.7184,738.9774,713.4954,713.4954,688.0134,662.5314,662.5314,649.7904,649.7904,649.7904,649.7904
False,1.0,Липецкая область,1,False,50.0,56000.0,7679.4635,3642.5817,3426.6555,2553.5624,2234.3671,2084.1576,1774.3504,1718.0218,1595.9765,1286.1693,1248.6169,1211.0645,1145.3479,1117.1836,1079.6312,1042.0788,1032.6907,1013.9145,957.5859,901.2573,863.7049,863.7049,835.5407,797.9883,741.6597,732.2716,704.1073,694.7192,657.1668,657.1668,647.7787,619.6144,610.2263,591.4501,563.2858,563.2858,563.2858,553.8977,544.5096,525.7334,525.7334,506.9573,488.1811,488.1811,478.793,478.793,478.793,478.793
False,1.0,Белгородская область,2,False,20000.0,80000.0,10970.6622,5203.6882,4895.2221,3647.9464,3191.9531,2977.368,2534.7863,2454.3168,2279.9665,1837.3847,1783.7385,1730.0922,1636.2112,1595.9765,1542.3303,1488.684,1475.2724,1448.4493,1367.9799,1287.5105,1233.8642,1233.8642,1193.6295,1139.9832,1059.5138,1046.1023,1005.8676,992.456,938.8097,938.8097,925.3982,885.1635,871.7519,844.9288,804.694,804.694,804.694,791.2825,777.8709,751.0478,751.0478,724.2246,697.4015,697.4015,683.9899,683.9899,683.9899,683.9899
False,1.0,Курская область,2,False,20000.0,64000.0,8776.5298,4162.9505,3916.1777,2918.3571,2553.5624,2381.8944,2027.829,1963.4535,1823.9732,1469.9078,1426.9908,1384.0738,1308.969,1276.7812,1233.8642,1190.9472,1180.2179,1158.7594,1094.3839,1030.0084,987.0914,987.0914,954.9036,911.9866,847.6111,836.8818,804.694,793.9648,751.0478,751.0478,740.3185,708.1308,697.4015,675.943,643.7552,643.7552,643.7552,633.026,622.2967,600.8382,600.8382,579.3797,557.9212,557.9212,547.192,547.192,547.192,547.192
False,1.0,Ставропольский край,2,False,20000.0,60000.0,8227.9966,3902.7661,3671.4166,2735.9598,2393.9648,2233.026,1901.0897,1840.7376,1709.9749,1378.0386,1337.8039,1297.5692,1227.1584,1196.9824,1156.7477,1116.513,1106.4543,1086.337,1025.9849,965.6329,925.3982,925.3982,895.2221,854.9874,794.6354,784.5767,754.4007,744.342,704.1073,704.1073,694.0486,663.8726,653.8139,633.6966,603.5205,603.5205,603.5205,593.4619,583.4032,563.2858,563.2858,543.1685,523.0511,523.0511,512.9925,512.9925,512.9925,512.9925
False,1.0,Алтайский край,2,False,20000.0,150000.0,20569.9916,9756.9153,9178.5415,6839.8994,5984.912,5582.565,4752.7242,4601.8441,4274.9371,3445.0964,3344.5096,3243.9229,3067.8961,2992.456,2891.8692,2791.2825,2766.1358,2715.8424,2564.9623,2414.0821,2313.4954,2313.4954,2238.0553,2137.4686,1986.5884,1961.4417,1886.0017,1860.855,1760.2682,1760.2682,1735.1215,1659.6815,1634.5348,1584.2414,1508.8013,1508.8013,1508.8013,1483.6547,1458.508,1408.2146,1408.2146,1357.9212,1307.6278,1307.6278,1282.4811,1282.4811,1282.4811,1282.4811
False,1.0,Челябинская область,0,False,20000.0,60000.0,8227.9966,3902.7661,3671.4166,2735.9598,2393.9648,2233.026,1901.0897,1840.7376,1709.9749,1378.0386,1337.8039,1297.5692,1227.1584,1196.9824,1156.7477,1116.513,1106.4543,1086.337,1025.9849,965.6329,925.3982,925.3982,895.2221,854.9874,794.6354,784.5767,754.4007,744.342,704.1073,704.1073,694.0486,663.8726,653.8139,633.6966,603.5205,603.5205,603.5205,593.4619,583.4032,563.2858,563.2858,543.1685,523.0511,523.0511,512.9925,512.9925,512.9925,512.9925
False,1.0,Челябинская область,0,True,10000.0,35000.0,4799.6647,2276.6136,2141.6597,1595.9765,1396.4795,1302.5985,1108.969,1073.7636,997.4853,803.8558,780.3856,756.9153,715.8424,698.2397,674.7695,651.2992,645.4317,633.6966,598.4912,563.2858,539.8156,539.8156,522.2129,498.7427,463.5373,457.6697,440.0671,434.1995,410.7293,410.7293,404.8617,387.259,381.3915,369.6563,352.0536,352.0536,352.0536,346.1861,340.3185,328.5834,328.5834,316.8483,305.1132,305.1132,299.2456,299.2456,299.2456,299.2456
False,1.0,Ульяновская область,1,False,22600.0,60000.0,8227.9966,3902.7661,3671.4166,2735.9598,2393.9648,2233.026,1901.0897,1840.7376,1709.9749,1378.0386,1337.8039,1297.5692,1227.1584,1196.9824,1156.7477,1116.513,1106.4543,1086.337,1025.9849,965.6329,925.3982,925.3982,895.2221,854.9874,794.6354,784.5767,754.4007,744.342,704.1073,704.1073,694.0486,663.8726,653.8139,633.6966,603.5205,603.5205,603.5205,593.4619,583.4032,563.2858,563.2858,543.1685,523.0511,523.0511,512.9925,512.9925,512.9925,512.9925
False,1.0,Самарская область,0,False,20000.0,60000.0,8227.9966,3902.7661,3671.4166,2735.9598,2393.9648,2233.026,1901.0897,1840.7376,1709.9749,1378.0386,1337.8039,1297.5692,1227.1584,1196.9824,1156.7477,1116.513,1106.4543,1086.337,1025.9849,965.6329,925.3982,925.3982,895.2221,854.9874,794.6354,784.5767,754.4007,744.342,704.1073,704.1073,694.0486,663.8726,653.8139,633.6966,603.5205,603.5205,603.5205,593.4619,583.4032,563.2858,563.2858,543.1685,523.0511,523.0511,512.9925,512.9925,512.9925,512.9925
False,1.0,Самарская область,0,True,39827.5,39827.5,5461.6756,2590.6236,2437.0557,1816.1073,1589.0939,1482.264,1261.9275,1221.8663,1135.0671,914.7305,888.0231,861.3156,814.5775,794.5469,767.8395,741.132,734.4552,721.1014,681.0402,640.979,614.2716,614.2716,594.241,567.5335,527.4723,520.7955,500.7649,494.088,467.3806,467.3806,460.7037,440.6731,433.9962,420.6425,400.6119,400.6119,400.6119,393.935,387.2582,373.9044,373.9044,360.5507,347.197,347.197,340.5201,340.5201,340.5201,340.5201
False,1.0,Республика Башкортостан,0,False,20000.0,73000.0,10010.7293,4748.3655,4466.8902,3328.751,2912.6572,2716.8483,2312.9925,2239.5641,2080.4694,1676.6136,1627.6614,1578.7091,1493.0427,1456.3286,1407.3764,1358.4241,1346.1861,1321.71,1248.2816,1174.8533,1125.9011,1125.9011,1089.1869,1040.2347,966.8064,954.5683,917.8541,905.6161,856.6639,856.6639,844.4258,807.7117,795.4736,770.9975,734.2833,734.2833,734.2833,722.0453,709.8072,685.3311,685.3311,660.855,636.3789,636.3789,624.1408,624.1408,624.1408,624.1408
False,1.0,Пермский край,1,False,22600.0,100000.0,13713.3277,6504.6102,6119.0277,4559.9329,3989.9413,3721.71,3168.4828,3067.8961,2849.9581,2296.7309,2229.6731,2162.6153,2045.264,1994.9707,1927.9128,1860.855,1844.0905,1810.5616,1709.9749,1609.3881,1542.3303,1542.3303,1492.0369,1424.979,1324.3923,1307.6278,1257.3345,1240.57,1173.5122,1173.5122,1156.7477,1106.4543,1089.6899,1056.1609,1005.8676,1005.8676,1005.8676,989.1031,972.3386,938.8097,938.8097,905.2808,871.7519,871.7519,854.9874,854.9874,854.9874,854.9874
False,1.0,Тамбовская область,2,False,20000.0,39827.5,5461.6756,2590.6236,2437.0557,1816.1073,1589.0939,1482.264,1261.9275,1221.8663,1135.0671,914.7305,888.0231,861.3156,814.5775,794.5469,767.8395,741.132,734.4552,721.1014,681.0402,640.979,614.2716,614.2716,594.241,567.5335,527.4723,520.7955,500.7649,494.088,467.3806,467.3806,460.7037,440.6731,433.9962,420.6425,400.6119,400.6119,400.6119,393.935,387.2582,373.9044,373.9044,360.5507,347.197,347.197,340.5201,340.5201,340.5201,340.5201
False,1.0,Пензенская область,1,False,35000.0,60000.0,8227.9966,3902.7661,3671.4166,2735.9598,2393.9648,2233.026,1901.0897,1840.7376,1709.9749,1378.0386,1337.8039,1297.5692,1227.1584,1196.9824,1156.7477,1116.513,1106.4543,1086.337,1025.9849,965.6329,925.3982,925.3982,895.2221,854.9874,794.6354,784.5767,754.4007,744.342,704.1073,704.1073,694.0486,663.8726,653.8139,633.6966,603.5205,603.5205,603.5205,593.4619,583.4032,563.2858,563.2858,543.1685,523.0511,523.0511,512.9925,512.9925,512.9925,512.9925
False,1.0,Владимирская область,1,False,20000.0,60000.0,8227.9966,3902.7661,3671.4166,2735.9598,2393.9648,2233.026,1901.0897,1840.7376,1709.9749,1378.0386,1337.8039,1297.5692,1227.1584,1196.9824,1156.7477,1116.513,1106.4543,1086.337,1025.9849,965.6329,925.3982,925.3982,895.2221,854.9874,794.6354,784.5767,754.4007,744.342,704.1073,704.1073,694.0486,663.8726,653.8139,633.6966,603.5205,603.5205,603.5205,593.4619,583.4032,563.2858,563.2858,543.1685,523.0511,523.0511,512.9925,512.9925,512.9925,512.9925
False,1.0,Курганская область,1,False,20000.0,58650.0,8042.8667,3814.9539,3588.8097,2674.4007,2340.1006,2182.7829,1858.3152,1799.321,1671.5004,1347.0327,1307.7033,1268.3738,1199.5474,1170.0503,1130.7209,1091.3915,1081.5591,1061.8944,1002.9003,943.9061,904.5767,904.5767,875.0796,835.7502,776.7561,766.9237,737.4267,727.5943,688.2649,688.2649,678.4325,648.9355,639.1031,619.4384,589.9413,589.9413,589.9413,580.109,570.2766,550.6119,550.6119,530.9472,511.2825,511.2825,501.4501,501.4501,501.4501,501.4501
False,1.0,Орловская область,1,False,20000.0,40000.0,5485.3311,2601.8441,2447.6111,1823.9732,1595.9765,1488.684,1267.3931,1227.1584,1139.9832,918.6924,891.8692,865.0461,818.1056,797.9883,771.1651,744.342,737.6362,724.2246,683.9899,643.7552,616.9321,616.9321,596.8148,569.9916,529.7569,523.0511,502.9338,496.228,469.4049,469.4049,462.6991,442.5817,435.8759,422.4644,402.347,402.347,402.347,395.6412,388.9355,375.5239,375.5239,362.1123,348.7008,348.7008,341.995,341.995,341.995,341.995
False,1.0,Республика Татарстан,0,False,22600.0,85000.0,11656.3286,5528.9187,5201.1735,3875.943,3391.4501,3163.4535,2693.2104,2607.7117,2422.4644,1952.2213,1895.2221,1838.223,1738.4744,1695.7251,1638.7259,1581.7267,1567.4769,1538.9774,1453.4786,1367.9799,1310.9807,1310.9807,1268.2313,1211.2322,1125.7334,1111.4837,1068.7343,1054.4845,997.4853,997.4853,983.2355,940.4862,926.2364,897.7368,854.9874,854.9874,854.9874,840.7376,826.4878,797.9883,797.9883,769.4887,740.9891,740.9891,726.7393,726.7393,726.7393,726.7393
False,1.0,Чувашская Республика,1,False,22600.0,46850.0,6424.694,3047.4099,2866.7645,2136.3286,1869.2875,1743.6211,1484.4342,1437.3093,1335.2054,1076.0184,1044.6018,1013.1852,958.2062,934.6438,903.2272,871.8106,863.9564,848.2481,801.1232,753.9983,722.5817,722.5817,699.0193,667.6027,620.4778,612.6236,589.0612,581.207,549.7904,549.7904,541.9363,518.3738,510.5197,494.8114,471.249,471.249,471.249,463.3948,455.5407,439.8324,439.8324,424.1241,408.4158,408.4158,400.5616,400.5616,400.5616,400.5616
False,1.0,Новгородская область,1,False,22600.0,60000.0,8227.9966,3902.7661,3671.4166,2735.9598,2393.9648,2233.026,1901.0897,1840.7376,1709.9749,1378.0386,1337.8039,1297.5692,1227.1584,1196.9824,1156.7477,1116.513,1106.4543,1086.337,1025.9849,965.6329,925.3982,925.3982,895.2221,854.9874,794.6354,784.5767,754.4007,744.342,704.1073,704.1073,694.0486,663.8726,653.8139,633.6966,603.5205,603.5205,603.5205,593.4619,583.4032,563.2858,563.2858,543.1685,523.0511,523.0511,512.9925,512.9925,512.9925,512.9925
False,1.0,Республика Марий Эл,1,False,22600.0,46850.0,6424.694,3047.4099,2866.7645,2136.3286,1869.2875,1743.6211,1484.4342,1437.3093,1335.2054,1076.0184,1044.6018,1013.1852,958.2062,934.6438,903.2272,871.8106,863.9564,848.2481,801.1232,753.9983,722.5817,722.5817,699.0193,667.6027,620.4778,612.6236,589.0612,581.207,549.7904,549.7904,541.9363,518.3738,510.5197,494.8114,471.249,471.249,471.249,463.3948,455.5407,439.8324,439.8324,424.1241,408.4158,408.4158,400.5616,400.5616,400.5616,400.5616
False,1.0,Астраханская область,1,False,35000.0,60000.0,8227.9966,3902.7661,3671.4166,2735.9598,2393.9648,2233.026,1901.0897,1840.7376,1709.9749,1378.0386,1337.8039,1297.5692,1227.1584,1196.9824,1156.7477,1116.513,1106.4543,1086.337,1025.9849,965.6329,925.3982,925.3982,895.2221,854.9874,794.6354,784.5767,754.4007,744.342,704.1073,704.1073,694.0486,663.8726,653.8139,633.6966,603.5205,603.5205,603.5205,593.4619,583.4032,563.2858,563.2858,543.1685,523.0511,523.0511,512.9925,512.9925,512.9925,512.9925
False,1.0,Смоленская область,1,False,25000.0,60000.0,8227.9966,3902.7661,3671.4166,2735.9598,2393.9648,2233.026,1901.0897,1840.7376,1709.9749,1378.0386,1337.8039,1297.5692,1227.1584,1196.9824,1156.7477,1116.513,1106.4543,1086.337,1025.9849,965.6329,925.3982,925.3982,895.2221,854.9874,794.6354,784.5767,754.4007,744.342,704.1073,704.1073,694.0486,663.8726,653.8139,633.6966,603.5205,603.5205,603.5205,593.4619,583.4032,563.2858,563.2858,543.1685,523.0511,523.0511,512.9925,512.9925,512.9925,512.9925
False,1.0,Республика Карелия,1,False,35000.0,70000.0,9599.3294,4553.2272,4283.3194,3191.9531,2792.9589,2605.197,2217.938,2147.5272,1994.9707,1607.7117,1560.7712,1513.8307,1431.6848,1396.4795,1349.539,1302.5985,1290.8634,1267.3931,1196.9824,1126.5717,1079.6312,1079.6312,1044.4258,997.4853,927.0746,915.3395,880.1341,868.399,821.4585,821.4585,809.7234,774.518,762.7829,739.3127,704.1073,704.1073,704.1073,692.3722,680.637,657.1668,657.1668,633.6966,610.2263,610.2263,598.4912,598.4912,598.4912,598.4912
