is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Сборка несложных узлов и конструкций (3923_35),Чтение схем/чертежей (ОПТ) (3032_36),"Личные установки и ценности, мировоззрение (2043_4)",Умение работать с электроинструментом (3578_35),Сборка сложных узлов (3921_35),Внимательность (СК) (536_4),Выполнение слесарных работ (3552_35),Аккуратность (СК) (575_4),"Правка деталей, узлов и конструкций (3933_35)",Работать электроприхваткой (3928_35),Разметка мест под установку деталей и узлов (3939_35),Высокая работоспособность (СК) (586_4),Опыт механосборки (3920_35),Сварочные работы (3934_35),Выполнение работ по сверлению и обработке отверстий (3558_35),Склонность к здоровому образу жизни (СК) (1662_4),Зачистка сварных швов (3799_35),Командность (СК) (1371_4),Испытания узлов и конструкций (3926_35),Сборка узлов и конструкций средней сложности (3922_35),Установка крепежа (3941_35),Резка металла (3931_35),Коммуникабельность (СК) (617_4),Разметка деталей (3649_35),"Саморазвитие, обучаемость (СК) (604_4)",Изготовление узлов и конструкций (4081_35)
False,1.0,Тверская область,1,False,25000.0,104000.0,18943.6239,11891.3768,10157.2177,8489.1218,7878.0372,5004.2878,3980.3081,3649.9921,3336.1918,3088.4548,3088.4548,2791.1704,2378.2754,1833.2539,1783.7065,1585.5169,1552.4853,1370.8115,1321.2641,1238.6851,1222.1693,1205.6535,1156.1061,1156.1061,1040.4955,1023.9797,990.9481,842.3059
False,1.0,Московская область,2,False,23000.0,97240.0,17712.2884,11118.4374,9496.9986,7937.3289,7365.9647,4679.0091,3721.5881,3412.7426,3119.3394,2887.7053,2887.7053,2609.7443,2223.6875,1714.0924,1667.7656,1482.4583,1451.5738,1281.7088,1235.3819,1158.1706,1142.7283,1127.286,1080.9592,1080.9592,972.8633,957.421,926.5364,787.556
False,1.0,Республика Крым,1,False,35000.0,35000.0,6375.2581,4001.9057,3418.2944,2856.916,2651.2625,1684.1353,1339.5268,1228.3627,1122.7569,1039.3838,1039.3838,939.3362,800.3811,616.9605,600.2859,533.5874,522.471,461.3308,444.6562,416.8652,411.307,405.7488,389.0742,389.0742,350.1667,344.6085,333.4921,283.4683
False,1.0,Алтайский край,2,False,21500.0,82000.0,14936.3189,9375.8933,8008.5755,6693.346,6211.5293,3945.6884,3138.3198,2877.8784,2630.4589,2435.1278,2435.1278,2200.7305,1875.1787,1445.4502,1406.384,1250.1191,1224.075,1080.8321,1041.7659,976.6556,963.6335,950.6114,911.5452,911.5452,820.3907,807.3686,781.3244,664.1258
False,1.0,Краснодарский край,0,False,21500.0,116000.0,21129.4267,13263.4588,11329.2044,9468.6359,8787.0414,5581.7056,4439.5744,4071.145,3721.137,3444.815,3444.815,3113.2285,2652.6918,2044.7832,1989.5188,1768.4612,1731.6182,1528.9821,1473.7176,1381.6103,1363.1888,1344.7673,1289.5029,1289.5029,1160.5526,1142.1312,1105.2882,939.495
False,1.0,Ставропольский край,2,False,23000.0,68750.0,12522.8283,7860.8861,6714.5069,5611.7993,5207.8371,3308.1229,2631.2133,2412.8553,2205.4153,2041.6468,2041.6468,1845.1247,1572.1772,1211.8866,1179.1329,1048.1182,1026.2824,906.1855,873.4318,818.8423,807.9244,797.0065,764.2528,764.2528,687.8275,676.9096,655.0738,556.8128
False,1.0,Новосибирская область,0,False,21500.0,74300.0,13533.7621,8495.474,7256.5507,6064.8245,5628.2515,3575.1787,2843.6239,2607.6386,2383.4524,2206.4634,2206.4634,1994.0765,1699.0948,1309.7189,1274.3211,1132.7299,1109.1313,979.3394,943.9416,884.9452,873.1459,861.3467,825.9489,825.9489,743.354,731.5547,707.9562,601.7627
False,1.0,Иркутская область,1,False,21500.0,76000.0,13843.4175,8689.8523,7422.5822,6203.589,5757.0272,3656.9795,2908.6867,2667.3019,2437.9863,2256.9478,2256.9478,2039.7014,1737.9705,1339.6856,1303.4778,1158.647,1134.5085,1001.7469,965.5391,905.1929,893.1237,881.0545,844.8468,844.8468,760.3621,748.2928,724.1544,615.5312
False,1.0,Саратовская область,2,False,23000.0,90000.0,16393.5207,10290.6146,8789.9,7346.3554,6817.5322,4330.6336,3444.4974,3158.647,2887.0891,2672.7013,2672.7013,2415.4359,2058.1229,1586.4697,1543.5922,1372.0819,1343.4969,1186.2792,1143.4016,1071.939,1057.6465,1043.354,1000.4764,1000.4764,900.4288,886.1363,857.5512,728.9185
False,1.0,Амурская область,1,False,21500.0,68750.0,12522.8283,7860.8861,6714.5069,5611.7993,5207.8371,3308.1229,2631.2133,2412.8553,2205.4153,2041.6468,2041.6468,1845.1247,1572.1772,1211.8866,1179.1329,1048.1182,1026.2824,906.1855,873.4318,818.8423,807.9244,797.0065,764.2528,764.2528,687.8275,676.9096,655.0738,556.8128
False,1.0,Город федерального значения Севастополь,1,False,23000.0,70000.0,12750.5161,8003.8113,6836.5889,5713.832,5302.525,3368.2706,2679.0535,2456.7254,2245.5137,2078.7677,2078.7677,1878.6724,1600.7623,1233.9209,1200.5717,1067.1748,1044.942,922.6616,889.3124,833.7303,822.6139,811.4975,778.1483,778.1483,700.3335,689.2171,666.9843,566.9366
False,1.0,Красноярский край,1,False,23000.0,100000.0,18215.023,11434.0162,9766.5555,8162.6171,7575.0357,4811.8152,3827.2193,3509.6077,3207.8768,2969.6681,2969.6681,2683.8177,2286.8032,1762.7442,1715.1024,1524.5355,1492.7743,1318.088,1270.4462,1191.0434,1175.1628,1159.2822,1111.6405,1111.6405,1000.4764,984.5958,952.8347,809.9095
False,1.0,Республика Марий Эл,1,False,35000.0,68750.0,12522.8283,7860.8861,6714.5069,5611.7993,5207.8371,3308.1229,2631.2133,2412.8553,2205.4153,2041.6468,2041.6468,1845.1247,1572.1772,1211.8866,1179.1329,1048.1182,1026.2824,906.1855,873.4318,818.8423,807.9244,797.0065,764.2528,764.2528,687.8275,676.9096,655.0738,556.8128
False,1.0,Луганская область,1,False,17240.0,45000.0,8196.7604,5145.3073,4394.95,3673.1777,3408.7661,2165.3168,1722.2487,1579.3235,1443.5445,1336.3506,1336.3506,1207.718,1029.0615,793.2349,771.7961,686.041,671.7485,593.1396,571.7008,535.9695,528.8232,521.677,500.2382,500.2382,450.2144,443.0681,428.7756,364.4593
False,1.0,Хабаровский край,1,False,23000.0,68750.0,12522.8283,7860.8861,6714.5069,5611.7993,5207.8371,3308.1229,2631.2133,2412.8553,2205.4153,2041.6468,2041.6468,1845.1247,1572.1772,1211.8866,1179.1329,1048.1182,1026.2824,906.1855,873.4318,818.8423,807.9244,797.0065,764.2528,764.2528,687.8275,676.9096,655.0738,556.8128
False,1.0,Сахалинская область,1,False,35000.0,44580.0,8120.2573,5097.2844,4353.9304,3638.8947,3376.9509,2145.1072,1706.1744,1564.5831,1430.0715,1323.878,1323.878,1196.4459,1019.4569,785.8313,764.5927,679.6379,665.4788,587.6036,566.3649,530.9671,523.8876,516.808,495.5693,495.5693,446.0124,438.9328,424.7737,361.0576
False,1.0,Республика Хакасия,1,False,30000.0,76000.0,13843.4175,8689.8523,7422.5822,6203.589,5757.0272,3656.9795,2908.6867,2667.3019,2437.9863,2256.9478,2256.9478,2039.7014,1737.9705,1339.6856,1303.4778,1158.647,1134.5085,1001.7469,965.5391,905.1929,893.1237,881.0545,844.8468,844.8468,760.3621,748.2928,724.1544,615.5312
False,1.0,Пермский край,1,False,25000.0,130000.0,23679.5299,14864.2211,12696.5222,10611.4023,9847.5465,6255.3597,4975.3851,4562.4901,4170.2398,3860.5685,3860.5685,3488.963,2972.8442,2291.5674,2229.6332,1981.8961,1940.6066,1713.5144,1651.5801,1548.3564,1527.7116,1507.0669,1445.1326,1445.1326,1300.6193,1279.9746,1238.6851,1052.8823
False,1.0,Ульяновская область,1,False,25000.0,95000.0,17304.2719,10862.3154,9278.2277,7754.4863,7196.2839,4571.2244,3635.8583,3334.1274,3047.4829,2821.1847,2821.1847,2549.6268,2172.4631,1674.607,1629.3473,1448.3087,1418.1356,1252.1836,1206.9239,1131.4912,1116.4046,1101.3181,1056.0584,1056.0584,950.4526,935.366,905.1929,769.414
False,1.0,Липецкая область,1,False,25000.0,104000.0,18943.6239,11891.3768,10157.2177,8489.1218,7878.0372,5004.2878,3980.3081,3649.9921,3336.1918,3088.4548,3088.4548,2791.1704,2378.2754,1833.2539,1783.7065,1585.5169,1552.4853,1370.8115,1321.2641,1238.6851,1222.1693,1205.6535,1156.1061,1156.1061,1040.4955,1023.9797,990.9481,842.3059
False,1.0,Псковская область,1,False,45000.0,104000.0,18943.6239,11891.3768,10157.2177,8489.1218,7878.0372,5004.2878,3980.3081,3649.9921,3336.1918,3088.4548,3088.4548,2791.1704,2378.2754,1833.2539,1783.7065,1585.5169,1552.4853,1370.8115,1321.2641,1238.6851,1222.1693,1205.6535,1156.1061,1156.1061,1040.4955,1023.9797,990.9481,842.3059
False,1.0,Республика Башкортостан,0,False,25000.0,111000.0,20218.6756,12691.758,10840.8766,9060.505,8408.2897,5341.1148,4248.2134,3895.6646,3560.7432,3296.3316,3296.3316,2979.0376,2538.3516,1956.646,1903.7637,1692.2344,1656.9795,1463.0777,1410.1953,1322.0581,1304.4307,1286.8032,1233.9209,1233.9209,1110.5288,1092.9014,1057.6465,898.9995
False,1.0,Челябинская область,0,False,25000.0,95000.0,17304.2719,10862.3154,9278.2277,7754.4863,7196.2839,4571.2244,3635.8583,3334.1274,3047.4829,2821.1847,2821.1847,2549.6268,2172.4631,1674.607,1629.3473,1448.3087,1418.1356,1252.1836,1206.9239,1131.4912,1116.4046,1101.3181,1056.0584,1056.0584,950.4526,935.366,905.1929,769.414
False,1.0,Республика Мордовия,1,False,25000.0,95000.0,17304.2719,10862.3154,9278.2277,7754.4863,7196.2839,4571.2244,3635.8583,3334.1274,3047.4829,2821.1847,2821.1847,2549.6268,2172.4631,1674.607,1629.3473,1448.3087,1418.1356,1252.1836,1206.9239,1131.4912,1116.4046,1101.3181,1056.0584,1056.0584,950.4526,935.366,905.1929,769.414
False,1.0,Оренбургская область,2,False,25000.0,110000.0,20036.5253,12577.4178,10743.2111,8978.8788,8332.5393,5292.9967,4209.9412,3860.5685,3528.6644,3266.6349,3266.6349,2952.1995,2515.4836,1939.0186,1886.6127,1676.989,1642.0518,1449.8968,1397.4909,1310.1477,1292.6791,1275.2104,1222.8045,1222.8045,1100.5241,1083.0554,1048.1182,890.9004
False,1.0,Кировская область,1,False,25000.0,80000.0,14572.0184,9147.213,7813.2444,6530.0937,6060.0286,3849.4521,3061.7754,2807.6862,2566.3014,2375.7345,2375.7345,2147.0542,1829.4426,1410.1953,1372.0819,1219.6284,1194.2195,1054.4704,1016.357,952.8347,940.1302,927.4258,889.3124,889.3124,800.3811,787.6767,762.2677,647.9276
False,1.0,Тамбовская область,2,False,35000.0,94000.0,17122.1216,10747.9752,9180.5622,7672.8601,7120.5336,4523.1062,3597.5862,3299.0313,3015.4042,2791.488,2791.488,2522.7886,2149.595,1656.9795,1612.1963,1433.0634,1403.2079,1239.0027,1194.2195,1119.5808,1104.653,1089.7253,1044.942,1044.942,940.4478,925.5201,895.6646,761.3149
False,1.0,Калужская область,1,False,25000.0,105000.0,19125.7742,12005.717,10254.8833,8570.748,7953.7875,5052.4059,4018.5803,3685.0881,3368.2706,3118.1515,3118.1515,2818.0086,2401.1434,1850.8814,1800.8576,1600.7623,1567.4131,1383.9924,1333.9686,1250.5955,1233.9209,1217.2463,1167.2225,1167.2225,1050.5002,1033.8256,1000.4764,850.405
False,1.0,Тульская область,1,False,25000.0,95000.0,17304.2719,10862.3154,9278.2277,7754.4863,7196.2839,4571.2244,3635.8583,3334.1274,3047.4829,2821.1847,2821.1847,2549.6268,2172.4631,1674.607,1629.3473,1448.3087,1418.1356,1252.1836,1206.9239,1131.4912,1116.4046,1101.3181,1056.0584,1056.0584,950.4526,935.366,905.1929,769.414
False,1.0,Пензенская область,1,False,25000.0,120000.0,21858.0276,13720.8194,11719.8666,9795.1405,9090.0429,5774.1782,4592.6632,4211.5293,3849.4521,3563.6017,3563.6017,3220.5812,2744.1639,2115.293,2058.1229,1829.4426,1791.3292,1581.7056,1524.5355,1429.252,1410.1953,1391.1386,1333.9686,1333.9686,1200.5717,1181.515,1143.4016,971.8914
False,1.0,Республика Карелия,1,False,25000.0,95000.0,17304.2719,10862.3154,9278.2277,7754.4863,7196.2839,4571.2244,3635.8583,3334.1274,3047.4829,2821.1847,2821.1847,2549.6268,2172.4631,1674.607,1629.3473,1448.3087,1418.1356,1252.1836,1206.9239,1131.4912,1116.4046,1101.3181,1056.0584,1056.0584,950.4526,935.366,905.1929,769.414
False,1.0,Рязанская область,1,False,30000.0,95000.0,17304.2719,10862.3154,9278.2277,7754.4863,7196.2839,4571.2244,3635.8583,3334.1274,3047.4829,2821.1847,2821.1847,2549.6268,2172.4631,1674.607,1629.3473,1448.3087,1418.1356,1252.1836,1206.9239,1131.4912,1116.4046,1101.3181,1056.0584,1056.0584,950.4526,935.366,905.1929,769.414
False,1.0,Ивановская область,1,False,25000.0,70000.0,12750.5161,8003.8113,6836.5889,5713.832,5302.525,3368.2706,2679.0535,2456.7254,2245.5137,2078.7677,2078.7677,1878.6724,1600.7623,1233.9209,1200.5717,1067.1748,1044.942,922.6616,889.3124,833.7303,822.6139,811.4975,778.1483,778.1483,700.3335,689.2171,666.9843,566.9366
False,1.0,Омская область,1,False,35000.0,80000.0,14572.0184,9147.213,7813.2444,6530.0937,6060.0286,3849.4521,3061.7754,2807.6862,2566.3014,2375.7345,2375.7345,2147.0542,1829.4426,1410.1953,1372.0819,1219.6284,1194.2195,1054.4704,1016.357,952.8347,940.1302,927.4258,889.3124,889.3124,800.3811,787.6767,762.2677,647.9276
False,1.0,Тюменская область,1,False,25000.0,110000.0,20036.5253,12577.4178,10743.2111,8978.8788,8332.5393,5292.9967,4209.9412,3860.5685,3528.6644,3266.6349,3266.6349,2952.1995,2515.4836,1939.0186,1886.6127,1676.989,1642.0518,1449.8968,1397.4909,1310.1477,1292.6791,1275.2104,1222.8045,1222.8045,1100.5241,1083.0554,1048.1182,890.9004
False,1.0,Владимирская область,1,False,25000.0,80000.0,14572.0184,9147.213,7813.2444,6530.0937,6060.0286,3849.4521,3061.7754,2807.6862,2566.3014,2375.7345,2375.7345,2147.0542,1829.4426,1410.1953,1372.0819,1219.6284,1194.2195,1054.4704,1016.357,952.8347,940.1302,927.4258,889.3124,889.3124,800.3811,787.6767,762.2677,647.9276
False,1.0,Ленинградская область,1,False,25000.0,130000.0,23679.5299,14864.2211,12696.5222,10611.4023,9847.5465,6255.3597,4975.3851,4562.4901,4170.2398,3860.5685,3860.5685,3488.963,2972.8442,2291.5674,2229.6332,1981.8961,1940.6066,1713.5144,1651.5801,1548.3564,1527.7116,1507.0669,1445.1326,1445.1326,1300.6193,1279.9746,1238.6851,1052.8823
False,1.0,Костромская область,1,False,25000.0,70000.0,12750.5161,8003.8113,6836.5889,5713.832,5302.525,3368.2706,2679.0535,2456.7254,2245.5137,2078.7677,2078.7677,1878.6724,1600.7623,1233.9209,1200.5717,1067.1748,1044.942,922.6616,889.3124,833.7303,822.6139,811.4975,778.1483,778.1483,700.3335,689.2171,666.9843,566.9366
False,1.0,Нижегородская область,0,False,25000.0,95000.0,17304.2719,10862.3154,9278.2277,7754.4863,7196.2839,4571.2244,3635.8583,3334.1274,3047.4829,2821.1847,2821.1847,2549.6268,2172.4631,1674.607,1629.3473,1448.3087,1418.1356,1252.1836,1206.9239,1131.4912,1116.4046,1101.3181,1056.0584,1056.0584,950.4526,935.366,905.1929,769.414
False,1.0,Калининградская область,1,False,25000.0,80000.0,14572.0184,9147.213,7813.2444,6530.0937,6060.0286,3849.4521,3061.7754,2807.6862,2566.3014,2375.7345,2375.7345,2147.0542,1829.4426,1410.1953,1372.0819,1219.6284,1194.2195,1054.4704,1016.357,952.8347,940.1302,927.4258,889.3124,889.3124,800.3811,787.6767,762.2677,647.9276
False,1.0,Мурманская область,1,False,25000.0,105000.0,19125.7742,12005.717,10254.8833,8570.748,7953.7875,5052.4059,4018.5803,3685.0881,3368.2706,3118.1515,3118.1515,2818.0086,2401.1434,1850.8814,1800.8576,1600.7623,1567.4131,1383.9924,1333.9686,1250.5955,1233.9209,1217.2463,1167.2225,1167.2225,1050.5002,1033.8256,1000.4764,850.405
False,1.0,Томская область,1,False,25000.0,70000.0,12750.5161,8003.8113,6836.5889,5713.832,5302.525,3368.2706,2679.0535,2456.7254,2245.5137,2078.7677,2078.7677,1878.6724,1600.7623,1233.9209,1200.5717,1067.1748,1044.942,922.6616,889.3124,833.7303,822.6139,811.4975,778.1483,778.1483,700.3335,689.2171,666.9843,566.9366
False,1.0,Республика Саха (Якутия),1,False,39500.0,70000.0,12750.5161,8003.8113,6836.5889,5713.832,5302.525,3368.2706,2679.0535,2456.7254,2245.5137,2078.7677,2078.7677,1878.6724,1600.7623,1233.9209,1200.5717,1067.1748,1044.942,922.6616,889.3124,833.7303,822.6139,811.4975,778.1483,778.1483,700.3335,689.2171,666.9843,566.9366
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,25000.0,70000.0,12750.5161,8003.8113,6836.5889,5713.832,5302.525,3368.2706,2679.0535,2456.7254,2245.5137,2078.7677,2078.7677,1878.6724,1600.7623,1233.9209,1200.5717,1067.1748,1044.942,922.6616,889.3124,833.7303,822.6139,811.4975,778.1483,778.1483,700.3335,689.2171,666.9843,566.9366
False,1.0,Смоленская область,1,False,25000.0,95000.0,17304.2719,10862.3154,9278.2277,7754.4863,7196.2839,4571.2244,3635.8583,3334.1274,3047.4829,2821.1847,2821.1847,2549.6268,2172.4631,1674.607,1629.3473,1448.3087,1418.1356,1252.1836,1206.9239,1131.4912,1116.4046,1101.3181,1056.0584,1056.0584,950.4526,935.366,905.1929,769.414
False,1.0,Ямало-Ненецкий автономный округ,1,False,50000.0,65000.0,11839.765,7432.1105,6348.2611,5305.7011,4923.7732,3127.6798,2487.6926,2281.245,2085.1199,1930.2843,1930.2843,1744.4815,1486.4221,1145.7837,1114.8166,990.9481,970.3033,856.7572,825.7901,774.1782,763.8558,753.5334,722.5663,722.5663,650.3097,639.9873,619.3425,526.4412
False,1.0,Орловская область,1,False,45000.0,120000.0,21858.0276,13720.8194,11719.8666,9795.1405,9090.0429,5774.1782,4592.6632,4211.5293,3849.4521,3563.6017,3563.6017,3220.5812,2744.1639,2115.293,2058.1229,1829.4426,1791.3292,1581.7056,1524.5355,1429.252,1410.1953,1391.1386,1333.9686,1333.9686,1200.5717,1181.515,1143.4016,971.8914
