is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Ассистирование (4464_14),Аккуратность (СК) (575_4),Консультирование по вопросам лечения животных (4244_14),Командность (СК) (1371_4),Проведение хирургических операций (4557_14),Пунктуальность (СК) (612_4),"Саморазвитие, обучаемость (СК) (604_4)","Личные установки и ценности, мировоззрение (2043_4)",Коммуникабельность (СК) (617_4),Использование диагностического оборудования: рентген (4554_14),Помощь врачу на приеме (4400_14),Соблюдение правил внутреннего распорядка и режима работы (4476_14),Поддержание чистоты в помещениях ветеринарной клиники (142_14),Оказание платных ветеринарных услуг (4470_14),Принципы лечения и профилактики болезней (4254_14),Методы лечения животных (4352_14),Стрессоустойчивость (СК) (601_4),Подготовка и проведение профилактических ветеринарно-санитарных и оздоровительных мероприятий (4357_14),Осмотр животных и диагностивание болезней (4248_14),Повышение продуктивности скота и птицы (4490_14),Осуществлять исследование причин возникновения процессов протекания болезней животных (4474_14),Склонность к здоровому образу жизни (СК) (1662_4),Контроль процессов (6210_14),Клинические обследования животных (4936_14),Проведение профилактических мероприятий по предупреждению заболеваний животных и падежа (4253_14),Организация и проведение ветеринарных мероприятий (4359_14),Продажа ветеринарных препаратов (4489_14),"Контроль, проверка лечения пациентов (5974_14)",Лечение скота и птицы (4350_14),Вакцинация животных (4396_14),Проведение диагностических исследований (4354_14),Умение работать с клиентами (4722_14),проведение противоэпизоотических мероприятий (4459_14)
False,1.0,Город федерального значения Санкт-Петербург,0,True,25000.0,60000.0,7346.4271,4600.9193,3836.1889,3760.9695,2469.7033,2306.728,2244.0451,2043.4601,1993.3138,1980.7773,1679.8997,1667.3631,1654.8266,1579.6072,1529.4609,1466.7781,1441.705,1441.705,1379.0221,1266.1931,1165.9005,1090.6812,952.7789,915.1692,915.1692,890.0961,827.4133,777.267,752.1939,702.0476,689.5111,676.9745,664.4379,651.9014,639.3648
False,1.0,Город федерального значения Москва,0,False,18000.0,150000.0,18366.0677,11502.2984,9590.4722,9402.4237,6174.2583,5766.8199,5610.1128,5108.6502,4983.2846,4951.9432,4199.7493,4168.4079,4137.0664,3949.018,3823.6523,3666.9453,3604.2624,3604.2624,3447.5554,3165.4827,2914.7514,2726.7029,2381.9473,2287.9231,2287.9231,2225.2403,2068.5332,1943.1676,1880.4847,1755.1191,1723.7777,1692.4363,1661.0949,1629.7534,1598.412
False,1.0,Город федерального значения Москва,0,True,25000.0,100000.0,12244.0451,7668.1989,6393.6481,6268.2825,4116.1722,3844.5466,3740.0752,3405.7668,3322.1897,3301.2954,2799.8328,2778.9386,2758.0443,2632.6786,2549.1015,2444.6302,2402.8416,2402.8416,2298.3702,2110.3218,1943.1676,1817.8019,1587.9649,1525.2821,1525.2821,1483.4935,1379.0221,1295.445,1253.6565,1170.0794,1149.1851,1128.2908,1107.3966,1086.5023,1065.608
False,1.0,Нижегородская область,0,False,15000.0,60000.0,7346.4271,4600.9193,3836.1889,3760.9695,2469.7033,2306.728,2244.0451,2043.4601,1993.3138,1980.7773,1679.8997,1667.3631,1654.8266,1579.6072,1529.4609,1466.7781,1441.705,1441.705,1379.0221,1266.1931,1165.9005,1090.6812,952.7789,915.1692,915.1692,890.0961,827.4133,777.267,752.1939,702.0476,689.5111,676.9745,664.4379,651.9014,639.3648
False,1.0,Нижегородская область,0,True,30000.0,30000.0,3673.2135,2300.4597,1918.0944,1880.4847,1234.8517,1153.364,1122.0226,1021.73,996.6569,990.3886,839.9499,833.6816,827.4133,789.8036,764.7305,733.3891,720.8525,720.8525,689.5111,633.0965,582.9503,545.3406,476.3895,457.5846,457.5846,445.0481,413.7066,388.6335,376.0969,351.0238,344.7555,338.4873,332.219,325.9507,319.6824
False,1.0,Краснодарский край,0,False,15000.0,84700.0,10370.7062,6494.9645,5415.42,5309.2353,3486.3978,3256.331,3167.8437,2884.6845,2813.8947,2796.1972,2371.4584,2353.761,2336.0635,2229.8788,2159.089,2070.6018,2035.2069,2035.2069,1946.7196,1787.4425,1645.8629,1539.6782,1345.0063,1291.9139,1291.9139,1256.519,1168.0318,1097.242,1061.8471,991.0573,973.3598,955.6623,937.9649,920.2674,902.57
False,1.0,Краснодарский край,0,True,15765.5,30000.0,3673.2135,2300.4597,1918.0944,1880.4847,1234.8517,1153.364,1122.0226,1021.73,996.6569,990.3886,839.9499,833.6816,827.4133,789.8036,764.7305,733.3891,720.8525,720.8525,689.5111,633.0965,582.9503,545.3406,476.3895,457.5846,457.5846,445.0481,413.7066,388.6335,376.0969,351.0238,344.7555,338.4873,332.219,325.9507,319.6824
False,1.0,Московская область,2,False,2000.0,100000.0,12244.0451,7668.1989,6393.6481,6268.2825,4116.1722,3844.5466,3740.0752,3405.7668,3322.1897,3301.2954,2799.8328,2778.9386,2758.0443,2632.6786,2549.1015,2444.6302,2402.8416,2402.8416,2298.3702,2110.3218,1943.1676,1817.8019,1587.9649,1525.2821,1525.2821,1483.4935,1379.0221,1295.445,1253.6565,1170.0794,1149.1851,1128.2908,1107.3966,1086.5023,1065.608
False,1.0,Московская область,2,True,25000.0,80000.0,9795.2361,6134.5591,5114.9185,5014.626,3292.9377,3075.6373,2992.0602,2724.6135,2657.7518,2641.0364,2239.8663,2223.1509,2206.4354,2106.1429,2039.2812,1955.7041,1922.2733,1922.2733,1838.6962,1688.2574,1554.5341,1454.2415,1270.3719,1220.2257,1220.2257,1186.7948,1103.2177,1036.356,1002.9252,936.0635,919.3481,902.6327,885.9173,869.2018,852.4864
False,1.0,Самарская область,0,False,15000.0,55000.0,6734.2248,4217.5094,3516.5065,3447.5554,2263.8947,2114.5006,2057.0414,1873.1718,1827.2043,1815.7125,1539.9081,1528.4162,1516.9244,1447.9733,1402.0059,1344.5466,1321.5629,1321.5629,1264.1036,1160.677,1068.7422,999.7911,873.3807,838.9051,838.9051,815.9214,758.4622,712.4948,689.5111,643.5437,632.0518,620.56,609.0681,597.5763,586.0844
False,1.0,Самарская область,0,True,20300.0,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Республика Татарстан,0,False,15000.0,72000.0,8815.7125,5521.1032,4603.4267,4513.1634,2963.644,2768.0735,2692.8542,2452.1521,2391.9766,2376.9327,2015.8796,2000.8358,1985.7919,1895.5286,1835.3531,1760.1337,1730.046,1730.046,1654.8266,1519.4317,1399.0807,1308.8174,1143.3347,1098.2031,1098.2031,1068.1153,992.8959,932.7204,902.6327,842.4572,827.4133,812.3694,797.3255,782.2817,767.2378
False,1.0,Республика Татарстан,0,True,35000.0,35000.0,4285.4158,2683.8696,2237.7768,2193.8989,1440.6603,1345.5913,1309.0263,1192.0184,1162.7664,1155.4534,979.9415,972.6285,965.3155,921.4375,892.1855,855.6206,840.9946,840.9946,804.4296,738.6126,680.1087,636.2307,555.7877,533.8487,533.8487,519.2227,482.6578,453.4058,438.7798,409.5278,402.2148,394.9018,387.5888,380.2758,372.9628
False,1.0,Челябинская область,0,False,15000.0,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Новосибирская область,0,False,15000.0,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Новосибирская область,0,True,25000.0,60000.0,7346.4271,4600.9193,3836.1889,3760.9695,2469.7033,2306.728,2244.0451,2043.4601,1993.3138,1980.7773,1679.8997,1667.3631,1654.8266,1579.6072,1529.4609,1466.7781,1441.705,1441.705,1379.0221,1266.1931,1165.9005,1090.6812,952.7789,915.1692,915.1692,890.0961,827.4133,777.267,752.1939,702.0476,689.5111,676.9745,664.4379,651.9014,639.3648
False,1.0,Ростовская область,0,False,15000.0,85000.0,10407.4384,6517.9691,5434.6009,5328.0401,3498.7463,3267.8646,3179.0639,2894.9018,2823.8613,2806.1011,2379.8579,2362.0978,2344.3377,2237.7768,2166.7363,2077.9356,2042.4154,2042.4154,1953.6147,1793.7735,1651.6924,1545.1316,1349.7702,1296.4898,1296.4898,1260.9695,1172.1688,1101.1283,1065.608,994.5675,976.8074,959.0472,941.2871,923.527,905.7668
False,1.0,Ростовская область,0,True,40000.0,40000.0,4897.6181,3067.2796,2557.4593,2507.313,1646.4689,1537.8186,1496.0301,1362.3067,1328.8759,1320.5182,1119.9331,1111.5754,1103.2177,1053.0715,1019.6406,977.8521,961.1366,961.1366,919.3481,844.1287,777.267,727.1208,635.186,610.1128,610.1128,593.3974,551.6089,518.178,501.4626,468.0318,459.674,451.3163,442.9586,434.6009,426.2432
False,1.0,Приморский край,1,False,25000.0,75000.0,9183.0338,5751.1492,4795.2361,4701.2119,3087.1291,2883.4099,2805.0564,2554.3251,2491.6423,2475.9716,2099.8746,2084.2039,2068.5332,1974.509,1911.8262,1833.4726,1802.1312,1802.1312,1723.7777,1582.7413,1457.3757,1363.3514,1190.9737,1143.9616,1143.9616,1112.6201,1034.2666,971.5838,940.2424,877.5595,861.8888,846.2181,830.5474,814.8767,799.206
False,1.0,Иркутская область,1,False,15000.0,80000.0,9795.2361,6134.5591,5114.9185,5014.626,3292.9377,3075.6373,2992.0602,2724.6135,2657.7518,2641.0364,2239.8663,2223.1509,2206.4354,2106.1429,2039.2812,1955.7041,1922.2733,1922.2733,1838.6962,1688.2574,1554.5341,1454.2415,1270.3719,1220.2257,1220.2257,1186.7948,1103.2177,1036.356,1002.9252,936.0635,919.3481,902.6327,885.9173,869.2018,852.4864
False,1.0,Свердловская область,0,False,15000.0,65000.0,7958.6293,4984.3293,4155.8713,4074.3836,2675.5119,2498.9553,2431.0489,2213.7484,2159.4233,2145.842,1819.8913,1806.3101,1792.7288,1711.2411,1656.916,1589.0096,1561.8471,1561.8471,1493.9407,1371.7092,1263.0589,1181.5712,1032.1772,991.4333,991.4333,964.2708,896.3644,842.0393,814.8767,760.5516,746.9703,733.3891,719.8078,706.2265,692.6452
False,1.0,Калининградская область,1,False,15765.5,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Ленинградская область,1,False,25000.0,80000.0,9795.2361,6134.5591,5114.9185,5014.626,3292.9377,3075.6373,2992.0602,2724.6135,2657.7518,2641.0364,2239.8663,2223.1509,2206.4354,2106.1429,2039.2812,1955.7041,1922.2733,1922.2733,1838.6962,1688.2574,1554.5341,1454.2415,1270.3719,1220.2257,1220.2257,1186.7948,1103.2177,1036.356,1002.9252,936.0635,919.3481,902.6327,885.9173,869.2018,852.4864
False,1.0,Ленинградская область,1,True,30000.0,60000.0,7346.4271,4600.9193,3836.1889,3760.9695,2469.7033,2306.728,2244.0451,2043.4601,1993.3138,1980.7773,1679.8997,1667.3631,1654.8266,1579.6072,1529.4609,1466.7781,1441.705,1441.705,1379.0221,1266.1931,1165.9005,1090.6812,952.7789,915.1692,915.1692,890.0961,827.4133,777.267,752.1939,702.0476,689.5111,676.9745,664.4379,651.9014,639.3648
False,1.0,Курганская область,1,False,15000.0,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Пермский край,1,False,15765.5,54300.0,6648.5165,4163.832,3471.7509,3403.6774,2235.0815,2087.5888,2030.8608,1849.3314,1803.949,1792.6034,1520.3092,1508.9636,1497.6181,1429.5445,1384.1621,1327.4342,1304.743,1304.743,1248.015,1145.9047,1055.14,987.0664,862.2649,828.2282,828.2282,805.537,748.809,703.4267,680.7355,635.3531,624.0075,612.6619,601.3163,589.9707,578.6252
False,1.0,Новгородская область,1,False,25000.0,80000.0,9795.2361,6134.5591,5114.9185,5014.626,3292.9377,3075.6373,2992.0602,2724.6135,2657.7518,2641.0364,2239.8663,2223.1509,2206.4354,2106.1429,2039.2812,1955.7041,1922.2733,1922.2733,1838.6962,1688.2574,1554.5341,1454.2415,1270.3719,1220.2257,1220.2257,1186.7948,1103.2177,1036.356,1002.9252,936.0635,919.3481,902.6327,885.9173,869.2018,852.4864
False,1.0,Белгородская область,2,False,22000.0,87500.0,10713.5395,6709.674,5594.4421,5484.7472,3601.6506,3363.9783,3272.5658,2980.046,2906.916,2888.6335,2449.8537,2431.5712,2413.2888,2303.5938,2230.4639,2139.0514,2102.4864,2102.4864,2011.074,1846.5316,1700.2716,1590.5767,1389.4693,1334.6218,1334.6218,1298.0568,1206.6444,1133.5144,1096.9494,1023.8195,1005.537,987.2545,968.972,950.6895,932.407
False,1.0,Липецкая область,1,False,15000.0,83000.0,10162.5575,6364.6051,5306.728,5202.6745,3416.4229,3190.9737,3104.2624,2826.7865,2757.4175,2740.0752,2323.8613,2306.519,2289.1768,2185.1233,2115.7543,2029.043,1994.3585,1994.3585,1907.6473,1751.5671,1612.8291,1508.7756,1318.0109,1265.9841,1265.9841,1231.2996,1144.5884,1075.2194,1040.5349,971.1659,953.8237,936.4814,919.1392,901.7969,884.4547
False,1.0,Омская область,1,False,15000.0,85000.0,10407.4384,6517.9691,5434.6009,5328.0401,3498.7463,3267.8646,3179.0639,2894.9018,2823.8613,2806.1011,2379.8579,2362.0978,2344.3377,2237.7768,2166.7363,2077.9356,2042.4154,2042.4154,1953.6147,1793.7735,1651.6924,1545.1316,1349.7702,1296.4898,1296.4898,1260.9695,1172.1688,1101.1283,1065.608,994.5675,976.8074,959.0472,941.2871,923.527,905.7668
False,1.0,Республика Мордовия,1,False,15000.0,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Орловская область,1,False,25000.0,80000.0,9795.2361,6134.5591,5114.9185,5014.626,3292.9377,3075.6373,2992.0602,2724.6135,2657.7518,2641.0364,2239.8663,2223.1509,2206.4354,2106.1429,2039.2812,1955.7041,1922.2733,1922.2733,1838.6962,1688.2574,1554.5341,1454.2415,1270.3719,1220.2257,1220.2257,1186.7948,1103.2177,1036.356,1002.9252,936.0635,919.3481,902.6327,885.9173,869.2018,852.4864
False,1.0,Владимирская область,1,False,15000.0,60000.0,7346.4271,4600.9193,3836.1889,3760.9695,2469.7033,2306.728,2244.0451,2043.4601,1993.3138,1980.7773,1679.8997,1667.3631,1654.8266,1579.6072,1529.4609,1466.7781,1441.705,1441.705,1379.0221,1266.1931,1165.9005,1090.6812,952.7789,915.1692,915.1692,890.0961,827.4133,777.267,752.1939,702.0476,689.5111,676.9745,664.4379,651.9014,639.3648
False,1.0,Вологодская область,1,False,15765.5,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Пензенская область,1,False,22000.0,70000.0,8570.8316,5367.7392,4475.5537,4387.7977,2881.3205,2691.1826,2618.0527,2384.0368,2325.5328,2310.9068,1959.883,1945.257,1930.631,1842.8751,1784.3711,1711.2411,1681.9891,1681.9891,1608.8592,1477.2252,1360.2173,1272.4613,1111.5754,1067.6975,1067.6975,1038.4455,965.3155,906.8115,877.5595,819.0556,804.4296,789.8036,775.1776,760.5516,745.9256
False,1.0,Ярославская область,1,False,20000.0,60000.0,7346.4271,4600.9193,3836.1889,3760.9695,2469.7033,2306.728,2244.0451,2043.4601,1993.3138,1980.7773,1679.8997,1667.3631,1654.8266,1579.6072,1529.4609,1466.7781,1441.705,1441.705,1379.0221,1266.1931,1165.9005,1090.6812,952.7789,915.1692,915.1692,890.0961,827.4133,777.267,752.1939,702.0476,689.5111,676.9745,664.4379,651.9014,639.3648
False,1.0,Курская область,2,False,15765.5,87500.0,10713.5395,6709.674,5594.4421,5484.7472,3601.6506,3363.9783,3272.5658,2980.046,2906.916,2888.6335,2449.8537,2431.5712,2413.2888,2303.5938,2230.4639,2139.0514,2102.4864,2102.4864,2011.074,1846.5316,1700.2716,1590.5767,1389.4693,1334.6218,1334.6218,1298.0568,1206.6444,1133.5144,1096.9494,1023.8195,1005.537,987.2545,968.972,950.6895,932.407
False,1.0,Псковская область,1,False,15000.0,60000.0,7346.4271,4600.9193,3836.1889,3760.9695,2469.7033,2306.728,2244.0451,2043.4601,1993.3138,1980.7773,1679.8997,1667.3631,1654.8266,1579.6072,1529.4609,1466.7781,1441.705,1441.705,1379.0221,1266.1931,1165.9005,1090.6812,952.7789,915.1692,915.1692,890.0961,827.4133,777.267,752.1939,702.0476,689.5111,676.9745,664.4379,651.9014,639.3648
False,1.0,Тамбовская область,2,False,17900.0,87500.0,10713.5395,6709.674,5594.4421,5484.7472,3601.6506,3363.9783,3272.5658,2980.046,2906.916,2888.6335,2449.8537,2431.5712,2413.2888,2303.5938,2230.4639,2139.0514,2102.4864,2102.4864,2011.074,1846.5316,1700.2716,1590.5767,1389.4693,1334.6218,1334.6218,1298.0568,1206.6444,1133.5144,1096.9494,1023.8195,1005.537,987.2545,968.972,950.6895,932.407
False,1.0,Тверская область,1,False,15000.0,50000.0,6122.0226,3834.0995,3196.8241,3134.1412,2058.0861,1922.2733,1870.0376,1702.8834,1661.0949,1650.6477,1399.9164,1389.4693,1379.0221,1316.3393,1274.5508,1222.3151,1201.4208,1201.4208,1149.1851,1055.1609,971.5838,908.901,793.9824,762.641,762.641,741.7468,689.5111,647.7225,626.8282,585.0397,574.5926,564.1454,553.6983,543.2511,532.804
False,1.0,Республика Крым,1,False,15765.5,85000.0,10407.4384,6517.9691,5434.6009,5328.0401,3498.7463,3267.8646,3179.0639,2894.9018,2823.8613,2806.1011,2379.8579,2362.0978,2344.3377,2237.7768,2166.7363,2077.9356,2042.4154,2042.4154,1953.6147,1793.7735,1651.6924,1545.1316,1349.7702,1296.4898,1296.4898,1260.9695,1172.1688,1101.1283,1065.608,994.5675,976.8074,959.0472,941.2871,923.527,905.7668
False,1.0,Республика Коми,1,False,15000.0,35000.0,4285.4158,2683.8696,2237.7768,2193.8989,1440.6603,1345.5913,1309.0263,1192.0184,1162.7664,1155.4534,979.9415,972.6285,965.3155,921.4375,892.1855,855.6206,840.9946,840.9946,804.4296,738.6126,680.1087,636.2307,555.7877,533.8487,533.8487,519.2227,482.6578,453.4058,438.7798,409.5278,402.2148,394.9018,387.5888,380.2758,372.9628
False,1.0,Республика Карелия,1,False,24000.0,60000.0,7346.4271,4600.9193,3836.1889,3760.9695,2469.7033,2306.728,2244.0451,2043.4601,1993.3138,1980.7773,1679.8997,1667.3631,1654.8266,1579.6072,1529.4609,1466.7781,1441.705,1441.705,1379.0221,1266.1931,1165.9005,1090.6812,952.7789,915.1692,915.1692,890.0961,827.4133,777.267,752.1939,702.0476,689.5111,676.9745,664.4379,651.9014,639.3648
False,1.0,Оренбургская область,2,False,10000.0,80000.0,9795.2361,6134.5591,5114.9185,5014.626,3292.9377,3075.6373,2992.0602,2724.6135,2657.7518,2641.0364,2239.8663,2223.1509,2206.4354,2106.1429,2039.2812,1955.7041,1922.2733,1922.2733,1838.6962,1688.2574,1554.5341,1454.2415,1270.3719,1220.2257,1220.2257,1186.7948,1103.2177,1036.356,1002.9252,936.0635,919.3481,902.6327,885.9173,869.2018,852.4864
False,1.0,Карачаево-Черкесская Республика,1,False,10000.0,57500.0,7040.326,4409.2144,3676.3477,3604.2624,2366.799,2210.6143,2150.5433,1958.3159,1910.2591,1898.2449,1609.9039,1597.8897,1585.8755,1513.7902,1465.7334,1405.6623,1381.6339,1381.6339,1321.5629,1213.435,1117.3214,1045.2361,913.0798,877.0372,877.0372,853.0088,792.9377,744.8809,720.8525,672.7957,660.7814,648.7672,636.753,624.7388,612.7246
False,1.0,Республика Калмыкия,1,False,10000.0,35000.0,4285.4158,2683.8696,2237.7768,2193.8989,1440.6603,1345.5913,1309.0263,1192.0184,1162.7664,1155.4534,979.9415,972.6285,965.3155,921.4375,892.1855,855.6206,840.9946,840.9946,804.4296,738.6126,680.1087,636.2307,555.7877,533.8487,533.8487,519.2227,482.6578,453.4058,438.7798,409.5278,402.2148,394.9018,387.5888,380.2758,372.9628
