is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)",Контроль и приемка продукции (4586_35),Дисциплинированность (СК) (593_4),Использование контрольно-измерительных инструментов (3479_35),Контроль качества изделий (3466_35),"Приемка деталей, узлов, изделий (4612_35)","Приемка деталей, узлов, изделий после механической и слесарной обработки (4611_35)",Знать систему допусков и посадок (3462_35),"Виды, устройство и назначение контрольно-измерительных инструментов и приборов (3482_35)","Контроль качества материалов, полуфабрикатов и комплектующих (4599_35)",Проверка взаимного положения сопрягаемых деталей (4969_35),Ведение учета (4195_35),Знать правила расчета координатных точек (8283_35),"Оформление сопроводительной документации по качеству, протоколов, сертификатов (4559_35)",Правила настройки и регулирования контрольно-измерительного инструмента (3480_35),Коммуникабельность (СК) (617_4),Порядок настройки и регулирования контрольно-измерительных инструментов и приборов (3481_35)
False,1.0,Удмуртская Республика,1,False,17250.0,46000.0,13226.7987,5636.0792,4736.7049,4556.83,4484.8801,1858.707,1498.9572,1427.0073,1343.0657,1139.2075,959.3326,851.4077,755.4745,731.4911,719.4995,707.5078,707.5078,659.5412
False,1.0,Самарская область,0,False,15193.0,39500.0,11357.7946,4839.6767,4067.3879,3912.9301,3851.147,1596.0636,1287.1481,1225.365,1153.2847,978.2325,823.7748,731.1001,648.7226,628.1283,617.8311,607.5339,607.5339,566.3452
False,1.0,Воронежская область,2,False,15193.0,45150.0,12982.3905,5531.9343,4649.1788,4472.6277,4402.0073,1824.3613,1471.2591,1400.6387,1318.2482,1118.1569,941.6058,835.6752,741.5146,717.9745,706.2044,694.4343,694.4343,647.354
False,1.0,Город федерального значения Санкт-Петербург,0,False,22000.0,60000.0,17252.3462,7351.4077,6178.3107,5943.6913,5849.8436,2424.4004,1955.1616,1861.3139,1751.8248,1485.9228,1251.3034,1110.5318,985.4015,954.1189,938.4776,922.8363,922.8363,860.2711
False,1.0,Пермский край,1,False,15193.0,50000.0,14376.9552,6126.1731,5148.5923,4953.0761,4874.8697,2020.3337,1629.3014,1551.0949,1459.854,1238.269,1042.7529,925.4432,821.1679,795.0991,782.0647,769.0302,769.0302,716.8926
False,1.0,Ростовская область,0,False,22000.0,45000.0,12939.2596,5513.5558,4633.7331,4457.7685,4387.3827,1818.3003,1466.3712,1395.9854,1313.8686,1114.4421,938.4776,832.8989,739.0511,715.5892,703.8582,692.1272,692.1272,645.2033
False,1.0,Московская область,2,False,16125.0,50000.0,14376.9552,6126.1731,5148.5923,4953.0761,4874.8697,2020.3337,1629.3014,1551.0949,1459.854,1238.269,1042.7529,925.4432,821.1679,795.0991,782.0647,769.0302,769.0302,716.8926
False,1.0,Тульская область,1,False,15193.0,50000.0,14376.9552,6126.1731,5148.5923,4953.0761,4874.8697,2020.3337,1629.3014,1551.0949,1459.854,1238.269,1042.7529,925.4432,821.1679,795.0991,782.0647,769.0302,769.0302,716.8926
False,1.0,Тверская область,1,False,16125.0,39500.0,11357.7946,4839.6767,4067.3879,3912.9301,3851.147,1596.0636,1287.1481,1225.365,1153.2847,978.2325,823.7748,731.1001,648.7226,628.1283,617.8311,607.5339,607.5339,566.3452
False,1.0,Ульяновская область,1,False,15193.0,50000.0,14376.9552,6126.1731,5148.5923,4953.0761,4874.8697,2020.3337,1629.3014,1551.0949,1459.854,1238.269,1042.7529,925.4432,821.1679,795.0991,782.0647,769.0302,769.0302,716.8926
False,1.0,Хабаровский край,1,False,15193.0,15193.0,4368.5816,1861.499,1564.4513,1505.0417,1481.2779,613.8986,495.0795,471.3157,443.5912,376.2604,316.8509,281.2052,249.5201,241.5988,237.6382,233.6775,233.6775,217.835
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,23000.0,39500.0,11357.7946,4839.6767,4067.3879,3912.9301,3851.147,1596.0636,1287.1481,1225.365,1153.2847,978.2325,823.7748,731.1001,648.7226,628.1283,617.8311,607.5339,607.5339,566.3452
False,1.0,Калужская область,1,False,19700.0,46050.0,13241.1757,5642.2054,4741.8535,4561.7831,4489.755,1860.7273,1500.5865,1428.5584,1344.5255,1140.4458,960.3754,852.3332,756.2956,732.2862,720.2815,708.2769,708.2769,660.2581
False,1.0,Новосибирская область,0,False,16125.0,39500.0,11357.7946,4839.6767,4067.3879,3912.9301,3851.147,1596.0636,1287.1481,1225.365,1153.2847,978.2325,823.7748,731.1001,648.7226,628.1283,617.8311,607.5339,607.5339,566.3452
False,1.0,Псковская область,1,False,16125.0,16125.0,4636.568,1975.6908,1660.421,1597.367,1572.1455,651.5576,525.4497,500.2281,470.8029,399.3418,336.2878,298.4554,264.8266,256.4194,252.2158,248.0123,248.0123,231.1979
False,1.0,Кемеровская область,1,False,30000.0,30050.0,8640.5501,3681.83,3094.304,2976.7987,2929.7967,1214.2205,979.2101,932.208,877.3723,744.1997,626.6945,556.1913,493.5219,477.8545,470.0209,462.1872,462.1872,430.8525
False,1.0,Нижегородская область,0,False,16125.0,39500.0,11357.7946,4839.6767,4067.3879,3912.9301,3851.147,1596.0636,1287.1481,1225.365,1153.2847,978.2325,823.7748,731.1001,648.7226,628.1283,617.8311,607.5339,607.5339,566.3452
False,1.0,Оренбургская область,2,False,16125.0,28551.5,8209.6727,3498.2286,2940.0007,2828.3551,2783.6968,1153.6711,930.38,885.7217,833.6204,707.0888,595.4432,528.4558,468.9115,454.0254,446.5824,439.1393,439.1393,409.3672
False,1.0,Пензенская область,1,False,17250.0,24000.0,6900.9385,2940.5631,2471.3243,2377.4765,2339.9374,969.7602,782.0647,744.5255,700.7299,594.3691,500.5214,444.2127,394.1606,381.6475,375.391,369.1345,369.1345,344.1084
False,1.0,Ямало-Ненецкий автономный округ,1,False,23000.0,30050.0,8640.5501,3681.83,3094.304,2976.7987,2929.7967,1214.2205,979.2101,932.208,877.3723,744.1997,626.6945,556.1913,493.5219,477.8545,470.0209,462.1872,462.1872,430.8525
False,1.0,Иркутская область,1,False,16125.0,50000.0,14376.9552,6126.1731,5148.5923,4953.0761,4874.8697,2020.3337,1629.3014,1551.0949,1459.854,1238.269,1042.7529,925.4432,821.1679,795.0991,782.0647,769.0302,769.0302,716.8926
False,1.0,Ленинградская область,1,False,23750.0,82000.0,23578.2065,10046.9239,8443.6913,8123.0448,7994.7862,3313.3472,2672.0542,2543.7956,2394.1606,2030.7612,1710.1147,1517.7268,1346.7153,1303.9625,1282.586,1261.2096,1261.2096,1175.7039
False,1.0,Курская область,2,False,17250.0,28551.5,8209.6727,3498.2286,2940.0007,2828.3551,2783.6968,1153.6711,930.38,885.7217,833.6204,707.0888,595.4432,528.4558,468.9115,454.0254,446.5824,439.1393,439.1393,409.3672
False,1.0,Тюменская область,1,False,24000.0,39500.0,11357.7946,4839.6767,4067.3879,3912.9301,3851.147,1596.0636,1287.1481,1225.365,1153.2847,978.2325,823.7748,731.1001,648.7226,628.1283,617.8311,607.5339,607.5339,566.3452
False,1.0,Краснодарский край,0,False,19700.0,23750.0,6829.0537,2909.9322,2445.5813,2352.7112,2315.5631,959.6585,773.9181,736.7701,693.4307,588.1778,495.3076,439.5855,390.0547,377.6721,371.4807,365.2894,365.2894,340.524
False,1.0,Республика Марий Эл,1,False,19700.0,28551.5,8209.6727,3498.2286,2940.0007,2828.3551,2783.6968,1153.6711,930.38,885.7217,833.6204,707.0888,595.4432,528.4558,468.9115,454.0254,446.5824,439.1393,439.1393,409.3672
False,1.0,Орловская область,1,False,17250.0,39500.0,11357.7946,4839.6767,4067.3879,3912.9301,3851.147,1596.0636,1287.1481,1225.365,1153.2847,978.2325,823.7748,731.1001,648.7226,628.1283,617.8311,607.5339,607.5339,566.3452
False,1.0,Рязанская область,1,False,17250.0,39500.0,11357.7946,4839.6767,4067.3879,3912.9301,3851.147,1596.0636,1287.1481,1225.365,1153.2847,978.2325,823.7748,731.1001,648.7226,628.1283,617.8311,607.5339,607.5339,566.3452
False,1.0,Республика Мордовия,1,False,17250.0,23750.0,6829.0537,2909.9322,2445.5813,2352.7112,2315.5631,959.6585,773.9181,736.7701,693.4307,588.1778,495.3076,439.5855,390.0547,377.6721,371.4807,365.2894,365.2894,340.524
False,1.0,Красноярский край,1,False,30050.0,40000.0,11501.5641,4900.9385,4118.8738,3962.4609,3899.8957,1616.2669,1303.4411,1240.8759,1167.8832,990.6152,834.2023,740.3545,656.9343,636.0792,625.6517,615.2242,615.2242,573.5141
False,1.0,Липецкая область,1,False,28551.5,28551.5,8209.6727,3498.2286,2940.0007,2828.3551,2783.6968,1153.6711,930.38,885.7217,833.6204,707.0888,595.4432,528.4558,468.9115,454.0254,446.5824,439.1393,439.1393,409.3672
False,1.0,Город федерального значения Москва,0,False,23925.0,60000.0,17252.3462,7351.4077,6178.3107,5943.6913,5849.8436,2424.4004,1955.1616,1861.3139,1751.8248,1485.9228,1251.3034,1110.5318,985.4015,954.1189,938.4776,922.8363,922.8363,860.2711
False,1.0,Тамбовская область,2,False,20950.0,24024.0,6907.8394,2943.5036,2473.7956,2379.854,2342.2774,970.7299,782.8467,745.2701,701.4307,594.9635,501.0219,444.6569,394.5547,382.0292,375.7664,369.5036,369.5036,344.4526
False,1.0,Брянская область,1,False,20950.0,24024.0,6907.8394,2943.5036,2473.7956,2379.854,2342.2774,970.7299,782.8467,745.2701,701.4307,594.9635,501.0219,444.6569,394.5547,382.0292,375.7664,369.5036,369.5036,344.4526
False,1.0,Смоленская область,1,False,21485.5,21485.5,6177.9214,2632.4778,2212.4016,2128.3863,2094.7802,868.1576,700.1271,666.521,627.3139,532.0966,448.0813,397.6722,352.8641,341.662,336.061,330.46,330.46,308.0559
False,1.0,Калининградская область,1,False,26900.0,26900.0,7734.8019,3295.8811,2769.9426,2664.755,2622.6799,1086.9395,876.5641,834.4891,785.4015,666.1887,561.001,497.8884,441.7883,427.7633,420.7508,413.7383,413.7383,385.6882
False,1.0,Республика Коми,1,False,38000.0,38000.0,10926.4859,4655.8916,3912.9301,3764.3379,3704.9009,1535.4536,1238.269,1178.8321,1109.4891,941.0845,792.4922,703.3368,624.0876,604.2753,594.3691,584.463,584.463,544.8384
False,0.0,Белгородская область,2,False,16918.75,34000.0,9776.3295,4165.7977,3501.0428,3368.0918,3314.9114,1373.8269,1107.9249,1054.7445,992.7007,842.0229,709.0719,629.3014,558.3942,540.6674,531.804,522.9406,522.9406,487.487
False,0.0,Республика Башкортостан,0,False,15000.0,40000.0,11501.5641,4900.9385,4118.8738,3962.4609,3899.8957,1616.2669,1303.4411,1240.8759,1167.8832,990.6152,834.2023,740.3545,656.9343,636.0792,625.6517,615.2242,615.2242,573.5141
False,0.0,Республика Татарстан,0,False,13827.0,40000.0,11501.5641,4900.9385,4118.8738,3962.4609,3899.8957,1616.2669,1303.4411,1240.8759,1167.8832,990.6152,834.2023,740.3545,656.9343,636.0792,625.6517,615.2242,615.2242,573.5141
False,0.0,Свердловская область,0,False,13000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,0.0,Свердловская область,0,True,19000.0,19000.0,5463.243,2327.9458,1956.4651,1882.1689,1852.4505,767.7268,619.1345,589.4161,554.7445,470.5422,396.2461,351.6684,312.0438,302.1376,297.1846,292.2315,292.2315,272.4192
False,0.0,Владимирская область,1,False,13000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,0.0,Чувашская Республика,1,False,13000.0,35000.0,10063.8686,4288.3212,3604.0146,3467.1533,3412.4088,1414.2336,1140.5109,1085.7664,1021.8978,866.7883,729.927,647.8102,574.8175,556.5693,547.4453,538.3212,538.3212,501.8248
False,0.0,Омская область,1,False,15000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,0.0,Челябинская область,0,False,13000.0,50000.0,14376.9552,6126.1731,5148.5923,4953.0761,4874.8697,2020.3337,1629.3014,1551.0949,1459.854,1238.269,1042.7529,925.4432,821.1679,795.0991,782.0647,769.0302,769.0302,716.8926
False,0.0,Алтайский край,2,False,13000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,0.0,Кировская область,1,False,13000.0,35500.0,10207.6382,4349.5829,3655.5005,3516.684,3461.1575,1434.4369,1156.804,1101.2774,1036.4964,879.171,740.3545,657.0647,583.0292,564.5203,555.2659,546.0115,546.0115,508.9937
False,0.0,Ярославская область,1,False,13000.0,45000.0,12939.2596,5513.5558,4633.7331,4457.7685,4387.3827,1818.3003,1466.3712,1395.9854,1313.8686,1114.4421,938.4776,832.8989,739.0511,715.5892,703.8582,692.1272,692.1272,645.2033
False,0.0,Томская область,1,False,18000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,0.0,Костромская область,1,False,15000.0,24000.0,6900.9385,2940.5631,2471.3243,2377.4765,2339.9374,969.7602,782.0647,744.5255,700.7299,594.3691,500.5214,444.2127,394.1606,381.6475,375.391,369.1345,369.1345,344.1084
False,0.0,Ставропольский край,2,False,15000.0,18000.0,5175.7039,2205.4223,1853.4932,1783.1074,1754.9531,727.3201,586.5485,558.3942,525.5474,445.7769,375.391,333.1595,295.6204,286.2357,281.5433,276.8509,276.8509,258.0813
False,0.0,Курганская область,1,False,13000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,0.0,Саратовская область,2,False,16000.0,24000.0,6900.9385,2940.5631,2471.3243,2377.4765,2339.9374,969.7602,782.0647,744.5255,700.7299,594.3691,500.5214,444.2127,394.1606,381.6475,375.391,369.1345,369.1345,344.1084
False,0.0,Волгоградская область,2,False,13000.0,23076.0,6635.2523,2827.3514,2376.1783,2285.9437,2249.8498,932.4244,751.9552,715.8613,673.7518,571.4859,481.2513,427.1105,378.9854,366.9541,360.9385,354.9228,354.9228,330.8603
False,0.0,Вологодская область,1,False,13000.0,40000.0,11501.5641,4900.9385,4118.8738,3962.4609,3899.8957,1616.2669,1303.4411,1240.8759,1167.8832,990.6152,834.2023,740.3545,656.9343,636.0792,625.6517,615.2242,615.2242,573.5141
False,0.0,Ивановская область,1,False,13000.0,25000.0,7188.4776,3063.0865,2574.2961,2476.5381,2437.4348,1010.1668,814.6507,775.5474,729.927,619.1345,521.3764,462.7216,410.5839,397.5495,391.0323,384.5151,384.5151,358.4463
False,0.0,Республика Бурятия,1,False,18000.0,30000.0,8626.1731,3675.7039,3089.1554,2971.8457,2924.9218,1212.2002,977.5808,930.6569,875.9124,742.9614,625.6517,555.2659,492.7007,477.0594,469.2388,461.4181,461.4181,430.1356
False,0.0,Республика Северная Осетия,1,False,13000.0,19000.0,5463.243,2327.9458,1956.4651,1882.1689,1852.4505,767.7268,619.1345,589.4161,554.7445,470.5422,396.2461,351.6684,312.0438,302.1376,297.1846,292.2315,292.2315,272.4192
False,0.0,Удмуртская Республика,1,False,13827.0,34000.0,9776.3295,4165.7977,3501.0428,3368.0918,3314.9114,1373.8269,1107.9249,1054.7445,992.7007,842.0229,709.0719,629.3014,558.3942,540.6674,531.804,522.9406,522.9406,487.487
False,0.0,Самарская область,0,False,15000.0,35000.0,10063.8686,4288.3212,3604.0146,3467.1533,3412.4088,1414.2336,1140.5109,1085.7664,1021.8978,866.7883,729.927,647.8102,574.8175,556.5693,547.4453,538.3212,538.3212,501.8248
False,0.0,Воронежская область,2,False,15000.0,21000.0,6038.3212,2572.9927,2162.4088,2080.292,2047.4453,848.5401,684.3066,651.4599,613.1387,520.073,437.9562,388.6861,344.8905,333.9416,328.4672,322.9927,322.9927,301.0949
False,0.0,Город федерального значения Санкт-Петербург,0,False,20000.0,50000.0,14376.9552,6126.1731,5148.5923,4953.0761,4874.8697,2020.3337,1629.3014,1551.0949,1459.854,1238.269,1042.7529,925.4432,821.1679,795.0991,782.0647,769.0302,769.0302,716.8926
False,0.0,Пермский край,1,False,17600.0,43635.0,12546.7688,5346.3113,4493.1765,4322.5495,4254.2987,1763.1452,1421.8913,1353.6405,1274.0146,1080.6374,910.0104,807.6343,716.6332,693.883,682.5078,671.1327,671.1327,625.6322
False,0.0,Ростовская область,0,False,22517.5,35000.0,10063.8686,4288.3212,3604.0146,3467.1533,3412.4088,1414.2336,1140.5109,1085.7664,1021.8978,866.7883,729.927,647.8102,574.8175,556.5693,547.4453,538.3212,538.3212,501.8248
False,0.0,Московская область,2,False,21000.0,50000.0,14376.9552,6126.1731,5148.5923,4953.0761,4874.8697,2020.3337,1629.3014,1551.0949,1459.854,1238.269,1042.7529,925.4432,821.1679,795.0991,782.0647,769.0302,769.0302,716.8926
False,0.0,Тульская область,1,False,16000.0,26454.0,7606.5594,3241.2357,2724.0172,2620.5735,2579.196,1068.9181,862.0308,820.6533,772.3796,655.1434,551.6997,489.6335,434.4635,420.671,413.7748,406.8785,406.8785,379.2935
False,0.0,Тверская область,1,False,13827.0,26454.0,7606.5594,3241.2357,2724.0172,2620.5735,2579.196,1068.9181,862.0308,820.6533,772.3796,655.1434,551.6997,489.6335,434.4635,420.671,413.7748,406.8785,406.8785,379.2935
False,0.0,Ульяновская область,1,False,16918.75,45000.0,12939.2596,5513.5558,4633.7331,4457.7685,4387.3827,1818.3003,1466.3712,1395.9854,1313.8686,1114.4421,938.4776,832.8989,739.0511,715.5892,703.8582,692.1272,692.1272,645.2033
False,0.0,Хабаровский край,1,False,34000.0,34000.0,9776.3295,4165.7977,3501.0428,3368.0918,3314.9114,1373.8269,1107.9249,1054.7445,992.7007,842.0229,709.0719,629.3014,558.3942,540.6674,531.804,522.9406,522.9406,487.487
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,17600.0,44000.0,12651.7205,5391.0323,4530.7612,4358.707,4289.8853,1777.8936,1433.7852,1364.9635,1284.6715,1089.6767,917.6225,814.39,722.6277,699.6872,688.2169,676.7466,676.7466,630.8655
False,0.0,Калужская область,1,False,15000.0,26454.0,7606.5594,3241.2357,2724.0172,2620.5735,2579.196,1068.9181,862.0308,820.6533,772.3796,655.1434,551.6997,489.6335,434.4635,420.671,413.7748,406.8785,406.8785,379.2935
False,0.0,Новосибирская область,0,False,13827.0,34000.0,9776.3295,4165.7977,3501.0428,3368.0918,3314.9114,1373.8269,1107.9249,1054.7445,992.7007,842.0229,709.0719,629.3014,558.3942,540.6674,531.804,522.9406,522.9406,487.487
False,0.0,Псковская область,1,False,20700.0,27600.0,7936.0792,3381.6475,2842.0229,2734.098,2690.9281,1115.2242,899.3743,856.2044,805.8394,683.5245,575.5996,510.8446,453.2847,438.8947,431.6997,424.5047,424.5047,395.7247
False,0.0,Кемеровская область,1,False,20000.0,45000.0,12939.2596,5513.5558,4633.7331,4457.7685,4387.3827,1818.3003,1466.3712,1395.9854,1313.8686,1114.4421,938.4776,832.8989,739.0511,715.5892,703.8582,692.1272,692.1272,645.2033
False,0.0,Нижегородская область,0,False,13827.0,50000.0,14376.9552,6126.1731,5148.5923,4953.0761,4874.8697,2020.3337,1629.3014,1551.0949,1459.854,1238.269,1042.7529,925.4432,821.1679,795.0991,782.0647,769.0302,769.0302,716.8926
False,0.0,Оренбургская область,2,False,15000.0,38000.0,10926.4859,4655.8916,3912.9301,3764.3379,3704.9009,1535.4536,1238.269,1178.8321,1109.4891,941.0845,792.4922,703.3368,624.0876,604.2753,594.3691,584.463,584.463,544.8384
False,0.0,Пензенская область,1,False,13827.0,15000.0,4313.0865,1837.8519,1544.5777,1485.9228,1462.4609,606.1001,488.7904,465.3285,437.9562,371.4807,312.8259,277.633,246.3504,238.5297,234.6194,230.7091,230.7091,215.0678
False,0.0,Ямало-Ненецкий автономный округ,1,False,25000.0,34000.0,9776.3295,4165.7977,3501.0428,3368.0918,3314.9114,1373.8269,1107.9249,1054.7445,992.7007,842.0229,709.0719,629.3014,558.3942,540.6674,531.804,522.9406,522.9406,487.487
False,0.0,Иркутская область,1,False,20700.0,26000.0,7476.0167,3185.61,2677.268,2575.5996,2534.9322,1050.5735,847.2367,806.5693,759.1241,643.8999,542.2315,481.2304,427.0073,413.4515,406.6736,399.8957,399.8957,372.7842
False,0.0,Ленинградская область,1,False,15000.0,26000.0,7476.0167,3185.61,2677.268,2575.5996,2534.9322,1050.5735,847.2367,806.5693,759.1241,643.8999,542.2315,481.2304,427.0073,413.4515,406.6736,399.8957,399.8957,372.7842
False,0.0,Курская область,2,False,13827.0,13827.0,3975.8032,1694.1319,1423.7917,1369.7237,1348.0965,558.7031,450.567,428.9398,403.708,342.4309,288.3629,255.9221,227.0858,219.8767,216.2722,212.6676,212.6676,198.2495
False,0.0,Тюменская область,1,False,18000.0,34000.0,9776.3295,4165.7977,3501.0428,3368.0918,3314.9114,1373.8269,1107.9249,1054.7445,992.7007,842.0229,709.0719,629.3014,558.3942,540.6674,531.804,522.9406,522.9406,487.487
