is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Английский язык (ЯС) (1918_32),Таможенное оформление (признаки требований) (7516_36),Внимательность (СК) (536_4),Работа с документами (Логистика) (3969_37),Организация перевозок (Логистика) (3802_37),"Личные установки и ценности, мировоззрение (2043_4)","Ответственность , добросовестность (СК) (614_4)",Коммуникабельность (СК) (617_4),Стрессоустойчивость (СК) (601_4),Пунктуальность (СК) (612_4),"Организаторские способности, лидерство (СК) (393_4)","Саморазвитие, обучаемость (СК) (604_4)",Целеустремленность (СК) (588_4),Ведение переговоров (Логистика) (3689_37),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Поиск перевозчиков (3487_37),Знание пакета MS OFFICE (Логистика) (4199_37),Заключение договоров (3483_37),Грамотность (СК) (1368_4),Знания.Программы.Офисное ПО/ПК и оргтехника.Логистика (4064_37),Выполнение поручений руководителя (ОПТ) (3036_36),Действия.Контроль транспорта.Логистика (4822_37)
False,0.0,Белгородская область,2,False,15000.0,50000.0,6130.3387,4086.8925,3884.3888,3571.4286,3074.3741,2798.2327,2706.1856,2448.4536,2374.8159,2264.3594,1804.1237,1748.8954,1730.486,1712.0766,1472.7541,1343.8881,1270.2504,1270.2504,1141.3844,1122.975,1104.5655,938.8807
False,0.0,Белгородская область,2,True,35000.0,35000.0,4291.2371,2860.8247,2719.0722,2500.0,2152.0619,1958.7629,1894.3299,1713.9175,1662.3711,1585.0515,1262.8866,1224.2268,1211.3402,1198.4536,1030.9278,940.7216,889.1753,889.1753,798.9691,786.0825,773.1959,657.2165
False,0.0,Пензенская область,1,False,15000.0,70000.0,8582.4742,5721.6495,5438.1443,5000.0,4304.1237,3917.5258,3788.6598,3427.8351,3324.7423,3170.1031,2525.7732,2448.4536,2422.6804,2396.9072,2061.8557,1881.4433,1778.3505,1778.3505,1597.9381,1572.1649,1546.3918,1314.433
False,0.0,Республика Марий Эл,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Кемеровская область,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Курганская область,1,False,15000.0,35000.0,4291.2371,2860.8247,2719.0722,2500.0,2152.0619,1958.7629,1894.3299,1713.9175,1662.3711,1585.0515,1262.8866,1224.2268,1211.3402,1198.4536,1030.9278,940.7216,889.1753,889.1753,798.9691,786.0825,773.1959,657.2165
False,0.0,Ульяновская область,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Республика Адыгея,1,False,15000.0,30000.0,3678.2032,2452.1355,2330.6333,2142.8571,1844.6244,1678.9396,1623.7113,1469.0722,1424.8895,1358.6156,1082.4742,1049.3373,1038.2916,1027.2459,883.6524,806.3328,762.1502,762.1502,684.8306,673.785,662.7393,563.3284
False,0.0,Вологодская область,1,False,15000.0,50000.0,6130.3387,4086.8925,3884.3888,3571.4286,3074.3741,2798.2327,2706.1856,2448.4536,2374.8159,2264.3594,1804.1237,1748.8954,1730.486,1712.0766,1472.7541,1343.8881,1270.2504,1270.2504,1141.3844,1122.975,1104.5655,938.8807
False,0.0,Вологодская область,1,True,20000.0,20000.0,2452.1355,1634.757,1553.7555,1428.5714,1229.7496,1119.2931,1082.4742,979.3814,949.9264,905.7437,721.6495,699.5582,692.1944,684.8306,589.1016,537.5552,508.1001,508.1001,456.5538,449.19,441.8262,375.5523
False,0.0,Новгородская область,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Псковская область,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Республика Карелия,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Чувашская Республика,1,False,15000.0,41000.0,5026.8778,3351.2518,3185.1988,2928.5714,2520.9867,2294.5508,2219.0722,2007.732,1947.349,1856.7747,1479.3814,1434.0943,1418.9985,1403.9028,1207.6583,1101.9882,1041.6053,1041.6053,935.9352,920.8395,905.7437,769.8822
False,0.0,Орловская область,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Орловская область,1,True,35000.0,35000.0,4291.2371,2860.8247,2719.0722,2500.0,2152.0619,1958.7629,1894.3299,1713.9175,1662.3711,1585.0515,1262.8866,1224.2268,1211.3402,1198.4536,1030.9278,940.7216,889.1753,889.1753,798.9691,786.0825,773.1959,657.2165
False,0.0,Республика Бурятия,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Удмуртская Республика,1,False,15000.0,80000.0,9808.542,6539.028,6215.0221,5714.2857,4918.9985,4477.1723,4329.8969,3917.5258,3799.7054,3622.975,2886.5979,2798.2327,2768.7776,2739.3225,2356.4065,2150.2209,2032.4006,2032.4006,1826.215,1796.7599,1767.3049,1502.2091
False,0.0,Смоленская область,1,False,15000.0,60000.0,7356.4065,4904.271,4661.2666,4285.7143,3689.2489,3357.8792,3247.4227,2938.1443,2849.7791,2717.2312,2164.9485,2098.6745,2076.5832,2054.4919,1767.3049,1612.6657,1524.3004,1524.3004,1369.6613,1347.57,1325.4786,1126.6568
False,0.0,Ставропольский край,2,False,15000.0,50000.0,6130.3387,4086.8925,3884.3888,3571.4286,3074.3741,2798.2327,2706.1856,2448.4536,2374.8159,2264.3594,1804.1237,1748.8954,1730.486,1712.0766,1472.7541,1343.8881,1270.2504,1270.2504,1141.3844,1122.975,1104.5655,938.8807
False,0.0,Астраханская область,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Город федерального значения Севастополь,1,False,15000.0,35000.0,4291.2371,2860.8247,2719.0722,2500.0,2152.0619,1958.7629,1894.3299,1713.9175,1662.3711,1585.0515,1262.8866,1224.2268,1211.3402,1198.4536,1030.9278,940.7216,889.1753,889.1753,798.9691,786.0825,773.1959,657.2165
False,0.0,Республика Дагестан,1,False,20000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Республика Северная Осетия,1,False,25000.0,25000.0,3065.1694,2043.4462,1942.1944,1785.7143,1537.187,1399.1163,1353.0928,1224.2268,1187.408,1132.1797,902.0619,874.4477,865.243,856.0383,736.377,671.944,635.1252,635.1252,570.6922,561.4875,552.2828,469.4404
False,0.0,Волгоградская область,2,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Волгоградская область,2,True,20000.0,30000.0,3678.2032,2452.1355,2330.6333,2142.8571,1844.6244,1678.9396,1623.7113,1469.0722,1424.8895,1358.6156,1082.4742,1049.3373,1038.2916,1027.2459,883.6524,806.3328,762.1502,762.1502,684.8306,673.785,662.7393,563.3284
False,0.0,Свердловская область,0,False,15000.0,80000.0,9808.542,6539.028,6215.0221,5714.2857,4918.9985,4477.1723,4329.8969,3917.5258,3799.7054,3622.975,2886.5979,2798.2327,2768.7776,2739.3225,2356.4065,2150.2209,2032.4006,2032.4006,1826.215,1796.7599,1767.3049,1502.2091
False,0.0,Свердловская область,0,True,17250.0,30000.0,3678.2032,2452.1355,2330.6333,2142.8571,1844.6244,1678.9396,1623.7113,1469.0722,1424.8895,1358.6156,1082.4742,1049.3373,1038.2916,1027.2459,883.6524,806.3328,762.1502,762.1502,684.8306,673.785,662.7393,563.3284
False,0.0,Нижегородская область,0,False,15000.0,57500.0,7049.8895,4699.9264,4467.0471,4107.1429,3535.5302,3217.9676,3112.1134,2815.7216,2731.0383,2604.0133,2074.7423,2011.2297,1990.0589,1968.8881,1693.6672,1545.4713,1460.7879,1460.7879,1312.592,1291.4212,1270.2504,1079.7128
False,0.0,Нижегородская область,0,True,23000.0,30000.0,3678.2032,2452.1355,2330.6333,2142.8571,1844.6244,1678.9396,1623.7113,1469.0722,1424.8895,1358.6156,1082.4742,1049.3373,1038.2916,1027.2459,883.6524,806.3328,762.1502,762.1502,684.8306,673.785,662.7393,563.3284
False,0.0,Ростовская область,0,False,15000.0,65000.0,7969.4404,5312.9602,5049.7054,4642.8571,3996.6863,3637.7025,3518.0412,3182.9897,3087.2607,2943.6672,2345.3608,2273.5641,2249.6318,2225.6996,1914.5803,1747.0545,1651.3255,1651.3255,1483.7997,1459.8675,1435.9352,1220.5449
False,0.0,Иркутская область,1,False,15000.0,60000.0,7356.4065,4904.271,4661.2666,4285.7143,3689.2489,3357.8792,3247.4227,2938.1443,2849.7791,2717.2312,2164.9485,2098.6745,2076.5832,2054.4919,1767.3049,1612.6657,1524.3004,1524.3004,1369.6613,1347.57,1325.4786,1126.6568
False,0.0,Иркутская область,1,True,20000.0,30000.0,3678.2032,2452.1355,2330.6333,2142.8571,1844.6244,1678.9396,1623.7113,1469.0722,1424.8895,1358.6156,1082.4742,1049.3373,1038.2916,1027.2459,883.6524,806.3328,762.1502,762.1502,684.8306,673.785,662.7393,563.3284
False,0.0,Краснодарский край,0,False,5000.0,90000.0,11034.6097,7356.4065,6991.8999,6428.5714,5533.8733,5036.8189,4871.134,4407.2165,4274.6686,4075.8468,3247.4227,3148.0118,3114.8748,3081.7378,2650.9573,2418.9985,2286.4507,2286.4507,2054.4919,2021.3549,1988.218,1689.9853
False,0.0,Краснодарский край,0,True,23000.0,30000.0,3678.2032,2452.1355,2330.6333,2142.8571,1844.6244,1678.9396,1623.7113,1469.0722,1424.8895,1358.6156,1082.4742,1049.3373,1038.2916,1027.2459,883.6524,806.3328,762.1502,762.1502,684.8306,673.785,662.7393,563.3284
False,0.0,Воронежская область,2,False,15000.0,60000.0,7356.4065,4904.271,4661.2666,4285.7143,3689.2489,3357.8792,3247.4227,2938.1443,2849.7791,2717.2312,2164.9485,2098.6745,2076.5832,2054.4919,1767.3049,1612.6657,1524.3004,1524.3004,1369.6613,1347.57,1325.4786,1126.6568
False,0.0,Воронежская область,2,True,40000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Республика Коми,1,False,19000.0,30000.0,3678.2032,2452.1355,2330.6333,2142.8571,1844.6244,1678.9396,1623.7113,1469.0722,1424.8895,1358.6156,1082.4742,1049.3373,1038.2916,1027.2459,883.6524,806.3328,762.1502,762.1502,684.8306,673.785,662.7393,563.3284
False,0.0,Владимирская область,1,False,15000.0,42000.0,5149.4845,3432.9897,3262.8866,3000.0,2582.4742,2350.5155,2273.1959,2056.701,1994.8454,1902.0619,1515.4639,1469.0722,1453.6082,1438.1443,1237.1134,1128.866,1067.0103,1067.0103,958.7629,943.299,927.8351,788.6598
False,0.0,Владимирская область,1,True,35000.0,35000.0,4291.2371,2860.8247,2719.0722,2500.0,2152.0619,1958.7629,1894.3299,1713.9175,1662.3711,1585.0515,1262.8866,1224.2268,1211.3402,1198.4536,1030.9278,940.7216,889.1753,889.1753,798.9691,786.0825,773.1959,657.2165
False,0.0,Республика Татарстан,0,False,15000.0,100000.0,12260.6775,8173.785,7768.7776,7142.8571,6148.7482,5596.4654,5412.3711,4896.9072,4749.6318,4528.7187,3608.2474,3497.7909,3460.972,3424.1532,2945.5081,2687.7761,2540.5007,2540.5007,2282.7688,2245.9499,2209.1311,1877.7614
False,0.0,Республика Татарстан,0,True,23000.0,28000.0,3432.9897,2288.6598,2175.2577,2000.0,1721.6495,1567.0103,1515.4639,1371.134,1329.8969,1268.0412,1010.3093,979.3814,969.0722,958.7629,824.7423,752.5773,711.3402,711.3402,639.1753,628.866,618.5567,525.7732
False,0.0,Калининградская область,1,False,17250.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Калининградская область,1,True,20000.0,20000.0,2452.1355,1634.757,1553.7555,1428.5714,1229.7496,1119.2931,1082.4742,979.3814,949.9264,905.7437,721.6495,699.5582,692.1944,684.8306,589.1016,537.5552,508.1001,508.1001,456.5538,449.19,441.8262,375.5523
False,0.0,Республика Башкортостан,0,False,15000.0,60000.0,7356.4065,4904.271,4661.2666,4285.7143,3689.2489,3357.8792,3247.4227,2938.1443,2849.7791,2717.2312,2164.9485,2098.6745,2076.5832,2054.4919,1767.3049,1612.6657,1524.3004,1524.3004,1369.6613,1347.57,1325.4786,1126.6568
False,0.0,Республика Башкортостан,0,True,30000.0,30000.0,3678.2032,2452.1355,2330.6333,2142.8571,1844.6244,1678.9396,1623.7113,1469.0722,1424.8895,1358.6156,1082.4742,1049.3373,1038.2916,1027.2459,883.6524,806.3328,762.1502,762.1502,684.8306,673.785,662.7393,563.3284
False,0.0,Омская область,1,False,15000.0,45000.0,5517.3049,3678.2032,3495.9499,3214.2857,2766.9367,2518.4094,2435.567,2203.6082,2137.3343,2037.9234,1623.7113,1574.0059,1557.4374,1540.8689,1325.4786,1209.4993,1143.2253,1143.2253,1027.2459,1010.6775,994.109,844.9926
False,0.0,Омская область,1,True,20000.0,20000.0,2452.1355,1634.757,1553.7555,1428.5714,1229.7496,1119.2931,1082.4742,979.3814,949.9264,905.7437,721.6495,699.5582,692.1944,684.8306,589.1016,537.5552,508.1001,508.1001,456.5538,449.19,441.8262,375.5523
False,0.0,Ленинградская область,1,False,17250.0,70000.0,8582.4742,5721.6495,5438.1443,5000.0,4304.1237,3917.5258,3788.6598,3427.8351,3324.7423,3170.1031,2525.7732,2448.4536,2422.6804,2396.9072,2061.8557,1881.4433,1778.3505,1778.3505,1597.9381,1572.1649,1546.3918,1314.433
False,0.0,Амурская область,1,False,20000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Амурская область,1,True,25000.0,25000.0,3065.1694,2043.4462,1942.1944,1785.7143,1537.187,1399.1163,1353.0928,1224.2268,1187.408,1132.1797,902.0619,874.4477,865.243,856.0383,736.377,671.944,635.1252,635.1252,570.6922,561.4875,552.2828,469.4404
False,0.0,Тульская область,1,False,15000.0,50000.0,6130.3387,4086.8925,3884.3888,3571.4286,3074.3741,2798.2327,2706.1856,2448.4536,2374.8159,2264.3594,1804.1237,1748.8954,1730.486,1712.0766,1472.7541,1343.8881,1270.2504,1270.2504,1141.3844,1122.975,1104.5655,938.8807
False,0.0,Липецкая область,1,False,15000.0,68966.0,8455.6988,5637.1325,5357.8152,4926.1429,4240.5457,3859.6583,3732.6959,3377.201,3275.6311,3123.2761,2488.4639,2412.2865,2386.894,2361.5015,2031.3991,1853.6517,1752.0817,1752.0817,1574.3343,1548.9418,1523.5493,1295.0169
False,0.0,Тверская область,1,False,16242.0,70000.0,8582.4742,5721.6495,5438.1443,5000.0,4304.1237,3917.5258,3788.6598,3427.8351,3324.7423,3170.1031,2525.7732,2448.4536,2422.6804,2396.9072,2061.8557,1881.4433,1778.3505,1778.3505,1597.9381,1572.1649,1546.3918,1314.433
False,0.0,Тверская область,1,True,30000.0,30000.0,3678.2032,2452.1355,2330.6333,2142.8571,1844.6244,1678.9396,1623.7113,1469.0722,1424.8895,1358.6156,1082.4742,1049.3373,1038.2916,1027.2459,883.6524,806.3328,762.1502,762.1502,684.8306,673.785,662.7393,563.3284
False,0.0,Хабаровский край,1,False,15000.0,60000.0,7356.4065,4904.271,4661.2666,4285.7143,3689.2489,3357.8792,3247.4227,2938.1443,2849.7791,2717.2312,2164.9485,2098.6745,2076.5832,2054.4919,1767.3049,1612.6657,1524.3004,1524.3004,1369.6613,1347.57,1325.4786,1126.6568
False,0.0,Хабаровский край,1,True,25000.0,25000.0,3065.1694,2043.4462,1942.1944,1785.7143,1537.187,1399.1163,1353.0928,1224.2268,1187.408,1132.1797,902.0619,874.4477,865.243,856.0383,736.377,671.944,635.1252,635.1252,570.6922,561.4875,552.2828,469.4404
False,0.0,Забайкальский край,1,False,20000.0,50000.0,6130.3387,4086.8925,3884.3888,3571.4286,3074.3741,2798.2327,2706.1856,2448.4536,2374.8159,2264.3594,1804.1237,1748.8954,1730.486,1712.0766,1472.7541,1343.8881,1270.2504,1270.2504,1141.3844,1122.975,1104.5655,938.8807
False,0.0,Красноярский край,1,False,15000.0,100000.0,12260.6775,8173.785,7768.7776,7142.8571,6148.7482,5596.4654,5412.3711,4896.9072,4749.6318,4528.7187,3608.2474,3497.7909,3460.972,3424.1532,2945.5081,2687.7761,2540.5007,2540.5007,2282.7688,2245.9499,2209.1311,1877.7614
False,0.0,Красноярский край,1,True,20000.0,20000.0,2452.1355,1634.757,1553.7555,1428.5714,1229.7496,1119.2931,1082.4742,979.3814,949.9264,905.7437,721.6495,699.5582,692.1944,684.8306,589.1016,537.5552,508.1001,508.1001,456.5538,449.19,441.8262,375.5523
False,0.0,Калужская область,1,False,15000.0,60000.0,7356.4065,4904.271,4661.2666,4285.7143,3689.2489,3357.8792,3247.4227,2938.1443,2849.7791,2717.2312,2164.9485,2098.6745,2076.5832,2054.4919,1767.3049,1612.6657,1524.3004,1524.3004,1369.6613,1347.57,1325.4786,1126.6568
False,0.0,Рязанская область,1,False,15000.0,50000.0,6130.3387,4086.8925,3884.3888,3571.4286,3074.3741,2798.2327,2706.1856,2448.4536,2374.8159,2264.3594,1804.1237,1748.8954,1730.486,1712.0766,1472.7541,1343.8881,1270.2504,1270.2504,1141.3844,1122.975,1104.5655,938.8807
False,0.0,Тюменская область,1,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Тамбовская область,2,False,15000.0,40000.0,4904.271,3269.514,3107.511,2857.1429,2459.4993,2238.5862,2164.9485,1958.7629,1899.8527,1811.4875,1443.299,1399.1163,1384.3888,1369.6613,1178.2032,1075.1105,1016.2003,1016.2003,913.1075,898.38,883.6524,751.1046
False,0.0,Новосибирская область,0,False,15000.0,60000.0,7356.4065,4904.271,4661.2666,4285.7143,3689.2489,3357.8792,3247.4227,2938.1443,2849.7791,2717.2312,2164.9485,2098.6745,2076.5832,2054.4919,1767.3049,1612.6657,1524.3004,1524.3004,1369.6613,1347.57,1325.4786,1126.6568
