is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Выполнение РК (2751_3),Административные функции (61_3),"Личные установки и ценности, мировоззрение (2043_4)",Средства контроля (2726_3),Дисциплинированность (СК) (593_4),"Контроль  сварки/резки, измерение (71_3)",Выполнение НК (2727_3),Исполнительная документация по НК (2730_3),Выполнение ВИК (2762_3),Выполнение УЗК (2752_3),Разрешительная и исполнительная документация (2690_3),Выполнение МК (2782_3),Составление/формирование/подготовка отчетности (ОПТ) (3911_36),"Организаторские способности, лидерство (СК) (393_4)",Пунктуальность (СК) (612_4),Обеспечение качества выпускаемой продукции (2711_3),"Чтение чертежей, документации (68_3)","Знание НТД, НД, ПТД (2712_3)"
False,1.0,Калужская область,1,False,29000.0,85000.0,10923.6948,9004.9855,8722.4761,7251.0733,6992.1064,6886.1654,5249.9654,4025.7582,3849.1899,3637.3079,3601.9942,3095.8316,3025.2043,2460.1856,1824.5395,1600.8863,1553.8014,1294.8345
False,1.0,Владимирская область,1,False,20000.0,85000.0,10923.6948,9004.9855,8722.4761,7251.0733,6992.1064,6886.1654,5249.9654,4025.7582,3849.1899,3637.3079,3601.9942,3095.8316,3025.2043,2460.1856,1824.5395,1600.8863,1553.8014,1294.8345
False,1.0,Владимирская область,1,True,39965.0,39965.0,5136.0643,4233.9323,4101.103,3409.284,3287.5239,3237.7129,2468.4102,1892.8168,1809.7985,1710.1766,1693.5729,1455.5872,1422.3799,1156.7214,857.8556,752.6991,730.5609,608.8007
False,1.0,Вологодская область,1,False,20000.0,85000.0,10923.6948,9004.9855,8722.4761,7251.0733,6992.1064,6886.1654,5249.9654,4025.7582,3849.1899,3637.3079,3601.9942,3095.8316,3025.2043,2460.1856,1824.5395,1600.8863,1553.8014,1294.8345
False,1.0,Ленинградская область,1,False,25000.0,100000.0,12851.4056,10594.1005,10261.7366,8530.6744,8226.0075,8101.371,6176.4299,4736.1861,4528.4587,4279.1857,4237.6402,3642.1548,3559.0638,2894.336,2146.5171,1883.3957,1828.0017,1523.3347
False,1.0,Ивановская область,1,False,25000.0,70000.0,8995.9839,7415.8704,7183.2156,5971.4721,5758.2052,5670.9597,4323.5009,3315.3303,3169.9211,2995.43,2966.3482,2549.5084,2491.3447,2026.0352,1502.562,1318.377,1279.6012,1066.3343
False,1.0,Самарская область,0,False,20000.0,100000.0,12851.4056,10594.1005,10261.7366,8530.6744,8226.0075,8101.371,6176.4299,4736.1861,4528.4587,4279.1857,4237.6402,3642.1548,3559.0638,2894.336,2146.5171,1883.3957,1828.0017,1523.3347
False,1.0,Московская область,2,False,20000.0,100000.0,12851.4056,10594.1005,10261.7366,8530.6744,8226.0075,8101.371,6176.4299,4736.1861,4528.4587,4279.1857,4237.6402,3642.1548,3559.0638,2894.336,2146.5171,1883.3957,1828.0017,1523.3347
False,1.0,Ставропольский край,2,False,20000.0,85000.0,10923.6948,9004.9855,8722.4761,7251.0733,6992.1064,6886.1654,5249.9654,4025.7582,3849.1899,3637.3079,3601.9942,3095.8316,3025.2043,2460.1856,1824.5395,1600.8863,1553.8014,1294.8345
False,1.0,Белгородская область,2,False,20000.0,60000.0,7710.8434,6356.4603,6157.042,5118.4047,4935.6045,4860.8226,3705.8579,2841.7117,2717.0752,2567.5114,2542.5841,2185.2929,2135.4383,1736.6016,1287.9103,1130.0374,1096.801,914.0008
False,1.0,Воронежская область,2,False,20000.0,85000.0,10923.6948,9004.9855,8722.4761,7251.0733,6992.1064,6886.1654,5249.9654,4025.7582,3849.1899,3637.3079,3601.9942,3095.8316,3025.2043,2460.1856,1824.5395,1600.8863,1553.8014,1294.8345
False,1.0,Кемеровская область,1,False,20000.0,53000.0,6811.245,5614.8733,5438.7204,4521.2574,4359.784,4293.7266,3273.5078,2510.1786,2400.0831,2267.9684,2245.9493,1930.3421,1886.3038,1533.9981,1137.6541,998.1997,968.8409,807.3674
False,1.0,Приморский край,1,False,20000.0,80000.0,10281.1245,8475.2804,8209.3893,6824.5395,6580.806,6481.0968,4941.1439,3788.9489,3622.7669,3423.3486,3390.1122,2913.7239,2847.2511,2315.4688,1717.2137,1506.7165,1462.4013,1218.6678
False,1.0,Липецкая область,1,False,30000.0,85000.0,10923.6948,9004.9855,8722.4761,7251.0733,6992.1064,6886.1654,5249.9654,4025.7582,3849.1899,3637.3079,3601.9942,3095.8316,3025.2043,2460.1856,1824.5395,1600.8863,1553.8014,1294.8345
False,1.0,Город федерального значения Севастополь,1,False,30000.0,30000.0,3855.4217,3178.2302,3078.521,2559.2023,2467.8022,2430.4113,1852.929,1420.8558,1358.5376,1283.7557,1271.2921,1092.6464,1067.7192,868.3008,643.9551,565.0187,548.4005,457.0004
False,1.0,Брянская область,1,False,20000.0,85000.0,10923.6948,9004.9855,8722.4761,7251.0733,6992.1064,6886.1654,5249.9654,4025.7582,3849.1899,3637.3079,3601.9942,3095.8316,3025.2043,2460.1856,1824.5395,1600.8863,1553.8014,1294.8345
False,1.0,Саратовская область,2,False,20000.0,100000.0,12851.4056,10594.1005,10261.7366,8530.6744,8226.0075,8101.371,6176.4299,4736.1861,4528.4587,4279.1857,4237.6402,3642.1548,3559.0638,2894.336,2146.5171,1883.3957,1828.0017,1523.3347
False,1.0,Саратовская область,2,True,30000.0,30000.0,3855.4217,3178.2302,3078.521,2559.2023,2467.8022,2430.4113,1852.929,1420.8558,1358.5376,1283.7557,1271.2921,1092.6464,1067.7192,868.3008,643.9551,565.0187,548.4005,457.0004
False,1.0,Алтайский край,2,False,20000.0,60000.0,7710.8434,6356.4603,6157.042,5118.4047,4935.6045,4860.8226,3705.8579,2841.7117,2717.0752,2567.5114,2542.5841,2185.2929,2135.4383,1736.6016,1287.9103,1130.0374,1096.801,914.0008
False,1.0,Тверская область,1,False,29000.0,81000.0,10409.6386,8581.2214,8312.0066,6909.8463,6663.0661,6562.1105,5002.9082,3836.3108,3668.0515,3466.1404,3432.4886,2950.1454,2882.8417,2344.4121,1738.6789,1525.5505,1480.6813,1233.9011
False,1.0,Республика Мордовия,1,False,25000.0,75000.0,9638.5542,7945.5754,7696.3025,6398.0058,6169.5056,6076.0283,4632.3224,3552.1396,3396.344,3209.3893,3178.2302,2731.6161,2669.2979,2170.752,1609.8878,1412.5467,1371.0012,1142.501
False,1.0,Чувашская Республика,1,False,20000.0,50000.0,6425.7028,5297.0503,5130.8683,4265.3372,4113.0037,4050.6855,3088.2149,2368.0931,2264.2293,2139.5929,2118.8201,1821.0774,1779.5319,1447.168,1073.2586,941.6978,914.0008,761.6674
False,1.0,Республика Бурятия,1,False,25000.0,51600.0,6631.3253,5466.5559,5295.0561,4401.828,4244.6199,4180.3074,3187.0378,2443.872,2336.6847,2208.0598,2186.6224,1879.3519,1836.4769,1493.4774,1107.6028,971.8322,943.2489,786.0407
False,1.0,Кировская область,1,False,20000.0,100000.0,12851.4056,10594.1005,10261.7366,8530.6744,8226.0075,8101.371,6176.4299,4736.1861,4528.4587,4279.1857,4237.6402,3642.1548,3559.0638,2894.336,2146.5171,1883.3957,1828.0017,1523.3347
False,1.0,Астраханская область,1,False,25000.0,100000.0,12851.4056,10594.1005,10261.7366,8530.6744,8226.0075,8101.371,6176.4299,4736.1861,4528.4587,4279.1857,4237.6402,3642.1548,3559.0638,2894.336,2146.5171,1883.3957,1828.0017,1523.3347
False,1.0,Пермский край,1,False,25000.0,110000.0,14136.5462,11653.5106,11287.9103,9383.7419,9048.6082,8911.5081,6794.0728,5209.8047,4981.3045,4707.1043,4661.4042,4006.3703,3914.9702,3183.7696,2361.1688,2071.7352,2010.8018,1675.6682
False,1.0,Город федерального значения Москва,0,False,30000.0,136000.0,17477.9116,14407.9767,13955.9618,11601.7172,11187.3702,11017.8646,8399.9446,6441.2131,6158.7038,5819.6926,5763.1907,4953.3306,4840.3268,3936.2969,2919.2633,2561.4181,2486.0823,2071.7352
False,1.0,Город федерального значения Москва,0,True,50000.0,50000.0,6425.7028,5297.0503,5130.8683,4265.3372,4113.0037,4050.6855,3088.2149,2368.0931,2264.2293,2139.5929,2118.8201,1821.0774,1779.5319,1447.168,1073.2586,941.6978,914.0008,761.6674
False,1.0,Республика Башкортостан,0,False,25000.0,110000.0,14136.5462,11653.5106,11287.9103,9383.7419,9048.6082,8911.5081,6794.0728,5209.8047,4981.3045,4707.1043,4661.4042,4006.3703,3914.9702,3183.7696,2361.1688,2071.7352,2010.8018,1675.6682
False,1.0,Тюменская область,1,False,25000.0,120000.0,15421.6867,12712.9206,12314.0839,10236.8093,9871.209,9721.6452,7411.7158,5683.4233,5434.1504,5135.0229,5085.1683,4370.5858,4270.8766,3473.2032,2575.8205,2260.0748,2193.602,1828.0017
False,1.0,Омская область,1,False,25000.0,120000.0,15421.6867,12712.9206,12314.0839,10236.8093,9871.209,9721.6452,7411.7158,5683.4233,5434.1504,5135.0229,5085.1683,4370.5858,4270.8766,3473.2032,2575.8205,2260.0748,2193.602,1828.0017
False,1.0,Иркутская область,1,False,25000.0,120000.0,15421.6867,12712.9206,12314.0839,10236.8093,9871.209,9721.6452,7411.7158,5683.4233,5434.1504,5135.0229,5085.1683,4370.5858,4270.8766,3473.2032,2575.8205,2260.0748,2193.602,1828.0017
False,1.0,Волгоградская область,2,False,25000.0,120000.0,15421.6867,12712.9206,12314.0839,10236.8093,9871.209,9721.6452,7411.7158,5683.4233,5434.1504,5135.0229,5085.1683,4370.5858,4270.8766,3473.2032,2575.8205,2260.0748,2193.602,1828.0017
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,25000.0,120000.0,15421.6867,12712.9206,12314.0839,10236.8093,9871.209,9721.6452,7411.7158,5683.4233,5434.1504,5135.0229,5085.1683,4370.5858,4270.8766,3473.2032,2575.8205,2260.0748,2193.602,1828.0017
False,1.0,Новосибирская область,0,False,25700.0,170000.0,21847.3896,18009.9709,17444.9522,14502.1465,13984.2127,13772.3307,10499.9308,8051.5164,7698.3797,7274.6157,7203.9884,6191.6632,6050.4085,4920.3711,3649.0791,3201.7726,3107.6028,2589.669
False,1.0,Республика Коми,1,False,40000.0,75000.0,9638.5542,7945.5754,7696.3025,6398.0058,6169.5056,6076.0283,4632.3224,3552.1396,3396.344,3209.3893,3178.2302,2731.6161,2669.2979,2170.752,1609.8878,1412.5467,1371.0012,1142.501
False,1.0,Оренбургская область,2,False,25000.0,75000.0,9638.5542,7945.5754,7696.3025,6398.0058,6169.5056,6076.0283,4632.3224,3552.1396,3396.344,3209.3893,3178.2302,2731.6161,2669.2979,2170.752,1609.8878,1412.5467,1371.0012,1142.501
False,1.0,Красноярский край,1,False,26000.0,75000.0,9638.5542,7945.5754,7696.3025,6398.0058,6169.5056,6076.0283,4632.3224,3552.1396,3396.344,3209.3893,3178.2302,2731.6161,2669.2979,2170.752,1609.8878,1412.5467,1371.0012,1142.501
False,1.0,Краснодарский край,0,False,25000.0,120000.0,15421.6867,12712.9206,12314.0839,10236.8093,9871.209,9721.6452,7411.7158,5683.4233,5434.1504,5135.0229,5085.1683,4370.5858,4270.8766,3473.2032,2575.8205,2260.0748,2193.602,1828.0017
False,1.0,Калининградская область,1,False,27500.0,55000.0,7068.2731,5826.7553,5643.9551,4691.8709,4524.3041,4455.7541,3397.0364,2604.9024,2490.6523,2353.5521,2330.7021,2003.1852,1957.4851,1591.8848,1180.5844,1035.8676,1005.4009,837.8341
False,1.0,Ульяновская область,1,False,30000.0,45000.0,5783.1325,4767.3452,4617.7815,3838.8035,3701.7034,3645.617,2779.3934,2131.2838,2037.8064,1925.6336,1906.9381,1638.9697,1601.5787,1302.4512,965.9327,847.528,822.6007,685.5006
False,1.0,Курганская область,1,False,30000.0,88500.0,11373.494,9375.779,9081.6369,7549.6469,7280.0166,7169.7133,5466.1404,4191.5247,4007.6859,3787.0794,3750.3116,3223.307,3149.7715,2561.4873,1899.6676,1666.8052,1617.7815,1348.1512
False,1.0,Костромская область,1,False,25000.0,25000.0,3212.8514,2648.5251,2565.4342,2132.6686,2056.5019,2025.3428,1544.1075,1184.0465,1132.1147,1069.7964,1059.4101,910.5387,889.766,723.584,536.6293,470.8489,457.0004,380.8337
False,1.0,Республика Марий Эл,1,False,32700.0,92000.0,11823.2932,9746.5725,9440.7977,7848.2205,7567.9269,7453.2613,5682.3155,4357.2912,4166.182,3936.8509,3898.629,3350.7824,3274.3387,2662.7891,1974.7957,1732.724,1681.7615,1401.4679
False,1.0,Амурская область,1,False,30000.0,110000.0,14136.5462,11653.5106,11287.9103,9383.7419,9048.6082,8911.5081,6794.0728,5209.8047,4981.3045,4707.1043,4661.4042,4006.3703,3914.9702,3183.7696,2361.1688,2071.7352,2010.8018,1675.6682
False,1.0,Забайкальский край,1,False,30000.0,110000.0,14136.5462,11653.5106,11287.9103,9383.7419,9048.6082,8911.5081,6794.0728,5209.8047,4981.3045,4707.1043,4661.4042,4006.3703,3914.9702,3183.7696,2361.1688,2071.7352,2010.8018,1675.6682
False,1.0,Хабаровский край,1,False,25000.0,110000.0,14136.5462,11653.5106,11287.9103,9383.7419,9048.6082,8911.5081,6794.0728,5209.8047,4981.3045,4707.1043,4661.4042,4006.3703,3914.9702,3183.7696,2361.1688,2071.7352,2010.8018,1675.6682
False,1.0,Курская область,2,False,34200.0,92000.0,11823.2932,9746.5725,9440.7977,7848.2205,7567.9269,7453.2613,5682.3155,4357.2912,4166.182,3936.8509,3898.629,3350.7824,3274.3387,2662.7891,1974.7957,1732.724,1681.7615,1401.4679
False,1.0,Архангельская область,1,False,25000.0,50000.0,6425.7028,5297.0503,5130.8683,4265.3372,4113.0037,4050.6855,3088.2149,2368.0931,2264.2293,2139.5929,2118.8201,1821.0774,1779.5319,1447.168,1073.2586,941.6978,914.0008,761.6674
False,1.0,Томская область,1,False,25000.0,60000.0,7710.8434,6356.4603,6157.042,5118.4047,4935.6045,4860.8226,3705.8579,2841.7117,2717.0752,2567.5114,2542.5841,2185.2929,2135.4383,1736.6016,1287.9103,1130.0374,1096.801,914.0008
False,1.0,Удмуртская Республика,1,False,25000.0,120000.0,15421.6867,12712.9206,12314.0839,10236.8093,9871.209,9721.6452,7411.7158,5683.4233,5434.1504,5135.0229,5085.1683,4370.5858,4270.8766,3473.2032,2575.8205,2260.0748,2193.602,1828.0017
False,1.0,Республика Саха (Якутия),1,False,25000.0,50625.0,6506.0241,5363.2634,5195.0042,4318.6539,4164.4163,4101.3191,3126.8176,2397.6942,2292.5322,2166.3378,2145.3054,1843.8409,1801.7761,1465.2576,1086.6743,953.469,925.4258,771.1882
False,1.0,Республика Хакасия,1,False,34200.0,47900.0,6155.8233,5074.5742,4915.3718,4086.193,3940.2576,3880.5567,2958.5099,2268.6332,2169.1317,2049.73,2029.8297,1744.5922,1704.7916,1386.3869,1028.1817,902.1465,875.6128,729.6773
False,1.0,Мурманская область,1,False,40000.0,50000.0,6425.7028,5297.0503,5130.8683,4265.3372,4113.0037,4050.6855,3088.2149,2368.0931,2264.2293,2139.5929,2118.8201,1821.0774,1779.5319,1447.168,1073.2586,941.6978,914.0008,761.6674
False,1.0,Республика Крым,1,False,25000.0,33750.0,4337.3494,3575.5089,3463.3361,2879.1026,2776.2775,2734.2127,2084.5451,1598.4628,1528.3548,1444.2252,1430.2036,1229.2273,1201.184,976.8384,724.4495,635.646,616.9506,514.1255
False,1.0,Республика Крым,1,True,35000.0,35000.0,4497.992,3707.9352,3591.6078,2985.736,2879.1026,2835.4799,2161.7505,1657.6651,1584.9605,1497.715,1483.1741,1274.7542,1245.6723,1013.0176,751.281,659.1885,639.8006,533.1672
False,1.0,Псковская область,1,False,30000.0,92000.0,11823.2932,9746.5725,9440.7977,7848.2205,7567.9269,7453.2613,5682.3155,4357.2912,4166.182,3936.8509,3898.629,3350.7824,3274.3387,2662.7891,1974.7957,1732.724,1681.7615,1401.4679
False,1.0,Камчатский край,1,False,50000.0,50625.0,6506.0241,5363.2634,5195.0042,4318.6539,4164.4163,4101.3191,3126.8176,2397.6942,2292.5322,2166.3378,2145.3054,1843.8409,1801.7761,1465.2576,1086.6743,953.469,925.4258,771.1882
False,1.0,Республика Северная Осетия,1,False,50000.0,50000.0,6425.7028,5297.0503,5130.8683,4265.3372,4113.0037,4050.6855,3088.2149,2368.0931,2264.2293,2139.5929,2118.8201,1821.0774,1779.5319,1447.168,1073.2586,941.6978,914.0008,761.6674
False,1.0,Тамбовская область,2,False,25000.0,25000.0,3212.8514,2648.5251,2565.4342,2132.6686,2056.5019,2025.3428,1544.1075,1184.0465,1132.1147,1069.7964,1059.4101,910.5387,889.766,723.584,536.6293,470.8489,457.0004,380.8337
False,1.0,Республика Карелия,1,False,30000.0,50000.0,6425.7028,5297.0503,5130.8683,4265.3372,4113.0037,4050.6855,3088.2149,2368.0931,2264.2293,2139.5929,2118.8201,1821.0774,1779.5319,1447.168,1073.2586,941.6978,914.0008,761.6674
False,1.0,Ямало-Ненецкий автономный округ,1,False,55900.0,90000.0,11566.2651,9534.6905,9235.5629,7677.607,7403.4067,7291.2339,5558.7869,4262.5675,4075.6128,3851.2671,3813.8762,3277.9393,3203.1575,2604.9024,1931.8654,1695.0561,1645.2015,1371.0012
False,1.0,Ростовская область,0,False,20000.0,105000.0,13493.9759,11123.8056,10774.8234,8957.2081,8637.3079,8506.4396,6485.2514,4972.9954,4754.8816,4493.145,4449.5222,3824.2626,3737.017,3039.0528,2253.843,1977.5654,1919.4017,1599.5015
False,1.0,Орловская область,1,False,50000.0,110000.0,14136.5462,11653.5106,11287.9103,9383.7419,9048.6082,8911.5081,6794.0728,5209.8047,4981.3045,4707.1043,4661.4042,4006.3703,3914.9702,3183.7696,2361.1688,2071.7352,2010.8018,1675.6682
False,1.0,Сахалинская область,1,False,34134.25,55900.0,7183.9357,5922.1022,5736.3108,4768.647,4598.3382,4528.6664,3452.6243,2647.528,2531.4084,2392.0648,2368.8409,2035.9645,1989.5167,1617.9338,1199.9031,1052.8182,1021.8529,851.5441
False,1.0,Новгородская область,1,False,55000.0,110000.0,14136.5462,11653.5106,11287.9103,9383.7419,9048.6082,8911.5081,6794.0728,5209.8047,4981.3045,4707.1043,4661.4042,4006.3703,3914.9702,3183.7696,2361.1688,2071.7352,2010.8018,1675.6682
False,1.0,Еврейская автономная область,1,False,50000.0,50000.0,6425.7028,5297.0503,5130.8683,4265.3372,4113.0037,4050.6855,3088.2149,2368.0931,2264.2293,2139.5929,2118.8201,1821.0774,1779.5319,1447.168,1073.2586,941.6978,914.0008,761.6674
False,1.0,Смоленская область,1,False,16000.0,100000.0,12851.4056,10594.1005,10261.7366,8530.6744,8226.0075,8101.371,6176.4299,4736.1861,4528.4587,4279.1857,4237.6402,3642.1548,3559.0638,2894.336,2146.5171,1883.3957,1828.0017,1523.3347
False,1.0,Донецкая область,1,False,30000.0,85000.0,10923.6948,9004.9855,8722.4761,7251.0733,6992.1064,6886.1654,5249.9654,4025.7582,3849.1899,3637.3079,3601.9942,3095.8316,3025.2043,2460.1856,1824.5395,1600.8863,1553.8014,1294.8345
False,0.0,Челябинская область,0,False,18000.0,40000.0,5140.5622,4237.6402,4104.6946,3412.2698,3290.403,3240.5484,2470.5719,1894.4744,1811.3835,1711.6743,1695.0561,1456.8619,1423.6255,1157.7344,858.6068,753.3583,731.2007,609.3339
False,0.0,Город федерального значения Санкт-Петербург,0,False,20000.0,46366.5,5958.747,4912.1136,4758.0081,3955.3752,3814.1118,3756.3222,2863.7943,2196.0037,2099.6878,1984.1086,1964.8455,1688.7397,1650.2133,1342.0023,995.2649,873.2646,847.5804,706.317
False,0.0,Нижегородская область,0,False,18000.0,46366.5,5958.747,4912.1136,4758.0081,3955.3752,3814.1118,3756.3222,2863.7943,2196.0037,2099.6878,1984.1086,1964.8455,1688.7397,1650.2133,1342.0023,995.2649,873.2646,847.5804,706.317
False,0.0,Республика Татарстан,0,False,16250.0,46366.5,5958.747,4912.1136,4758.0081,3955.3752,3814.1118,3756.3222,2863.7943,2196.0037,2099.6878,1984.1086,1964.8455,1688.7397,1650.2133,1342.0023,995.2649,873.2646,847.5804,706.317
False,0.0,Тульская область,1,False,20000.0,55000.0,7068.2731,5826.7553,5643.9551,4691.8709,4524.3041,4455.7541,3397.0364,2604.9024,2490.6523,2353.5521,2330.7021,2003.1852,1957.4851,1591.8848,1180.5844,1035.8676,1005.4009,837.8341
False,0.0,Тульская область,1,True,30000.0,30000.0,3855.4217,3178.2302,3078.521,2559.2023,2467.8022,2430.4113,1852.929,1420.8558,1358.5376,1283.7557,1271.2921,1092.6464,1067.7192,868.3008,643.9551,565.0187,548.4005,457.0004
False,0.0,Ярославская область,1,False,16250.0,40000.0,5140.5622,4237.6402,4104.6946,3412.2698,3290.403,3240.5484,2470.5719,1894.4744,1811.3835,1711.6743,1695.0561,1456.8619,1423.6255,1157.7344,858.6068,753.3583,731.2007,609.3339
False,0.0,Свердловская область,0,False,16250.0,60000.0,7710.8434,6356.4603,6157.042,5118.4047,4935.6045,4860.8226,3705.8579,2841.7117,2717.0752,2567.5114,2542.5841,2185.2929,2135.4383,1736.6016,1287.9103,1130.0374,1096.801,914.0008
False,0.0,Рязанская область,1,False,16250.0,35000.0,4497.992,3707.9352,3591.6078,2985.736,2879.1026,2835.4799,2161.7505,1657.6651,1584.9605,1497.715,1483.1741,1274.7542,1245.6723,1013.0176,751.281,659.1885,639.8006,533.1672
False,0.0,Пензенская область,1,False,16250.0,35000.0,4497.992,3707.9352,3591.6078,2985.736,2879.1026,2835.4799,2161.7505,1657.6651,1584.9605,1497.715,1483.1741,1274.7542,1245.6723,1013.0176,751.281,659.1885,639.8006,533.1672
False,0.0,Калужская область,1,False,16250.0,46366.5,5958.747,4912.1136,4758.0081,3955.3752,3814.1118,3756.3222,2863.7943,2196.0037,2099.6878,1984.1086,1964.8455,1688.7397,1650.2133,1342.0023,995.2649,873.2646,847.5804,706.317
False,0.0,Владимирская область,1,False,20000.0,40000.0,5140.5622,4237.6402,4104.6946,3412.2698,3290.403,3240.5484,2470.5719,1894.4744,1811.3835,1711.6743,1695.0561,1456.8619,1423.6255,1157.7344,858.6068,753.3583,731.2007,609.3339
False,0.0,Вологодская область,1,False,16250.0,46366.5,5958.747,4912.1136,4758.0081,3955.3752,3814.1118,3756.3222,2863.7943,2196.0037,2099.6878,1984.1086,1964.8455,1688.7397,1650.2133,1342.0023,995.2649,873.2646,847.5804,706.317
False,0.0,Ленинградская область,1,False,20000.0,60000.0,7710.8434,6356.4603,6157.042,5118.4047,4935.6045,4860.8226,3705.8579,2841.7117,2717.0752,2567.5114,2542.5841,2185.2929,2135.4383,1736.6016,1287.9103,1130.0374,1096.801,914.0008
False,0.0,Ивановская область,1,False,16250.0,35000.0,4497.992,3707.9352,3591.6078,2985.736,2879.1026,2835.4799,2161.7505,1657.6651,1584.9605,1497.715,1483.1741,1274.7542,1245.6723,1013.0176,751.281,659.1885,639.8006,533.1672
False,0.0,Самарская область,0,False,16250.0,46943.0,6032.8353,4973.1886,4817.167,4004.5545,3861.5347,3803.0266,2899.4015,2223.3079,2125.7943,2008.7781,1989.2754,1709.7367,1670.7313,1358.6881,1007.6395,884.1224,858.1188,715.099
False,0.0,Московская область,2,False,25000.0,60000.0,7710.8434,6356.4603,6157.042,5118.4047,4935.6045,4860.8226,3705.8579,2841.7117,2717.0752,2567.5114,2542.5841,2185.2929,2135.4383,1736.6016,1287.9103,1130.0374,1096.801,914.0008
False,0.0,Ставропольский край,2,False,16242.0,35000.0,4497.992,3707.9352,3591.6078,2985.736,2879.1026,2835.4799,2161.7505,1657.6651,1584.9605,1497.715,1483.1741,1274.7542,1245.6723,1013.0176,751.281,659.1885,639.8006,533.1672
False,0.0,Белгородская область,2,False,18000.0,40000.0,5140.5622,4237.6402,4104.6946,3412.2698,3290.403,3240.5484,2470.5719,1894.4744,1811.3835,1711.6743,1695.0561,1456.8619,1423.6255,1157.7344,858.6068,753.3583,731.2007,609.3339
False,0.0,Воронежская область,2,False,20000.0,50000.0,6425.7028,5297.0503,5130.8683,4265.3372,4113.0037,4050.6855,3088.2149,2368.0931,2264.2293,2139.5929,2118.8201,1821.0774,1779.5319,1447.168,1073.2586,941.6978,914.0008,761.6674
False,0.0,Кемеровская область,1,False,18000.0,52948.0,6804.5622,5609.3644,5433.3843,4516.8215,4355.5064,4289.5139,3270.2961,2507.7158,2397.7283,2265.7432,2243.7457,1928.4481,1884.4531,1532.493,1136.5379,997.2203,967.8903,806.5753
