is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Уход за растениями (685_14),Инициативность (СК) (610_4),Склонность к здоровому образу жизни (СК) (1662_4),"Выполнение работ по подготовке почвы к посадке и посеву древесно-кустарниковой, цветочно-декоративной растительности и газонных трав (4344_14)",Трудолюбие (СК) (597_4),Разработка технологии посева (посадки) сельскохозяйственных культур (270_14),Внимательность (СК) (536_4),Коммуникабельность (СК) (617_4),Выполнение операций формированию по уходу за газонами (4345_14),Высокая работоспособность (СК) (586_4),Выполнение поручений руководителя (ОПТ) (3036_36),Благоустройство и озеленение на территорий и объектов (4415_14),"Саморазвитие, обучаемость (СК) (604_4)"
True,0.0,Тверская область,1,False,13625.0,13625.0,2188.9804,1782.0546,1396.1766,1122.5541,1038.3625,680.5484,673.5324,666.5165,610.3888,589.3409,512.1653,442.0057,420.9578,399.9099,378.862,364.8301,357.8141
True,0.0,Ивановская область,1,False,12847.5,12847.5,2064.068,1680.363,1316.5049,1058.4964,979.1092,641.7134,635.0978,628.4822,575.5574,555.7106,482.939,416.783,396.9361,377.0893,357.2425,344.0113,337.3957
True,0.0,Кировская область,1,False,33000.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Ростовская область,0,False,28500.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Белгородская область,2,False,28500.0,28500.0,4578.7848,3727.6004,2920.4428,2348.0947,2171.9876,1423.5324,1408.8568,1394.1813,1276.7765,1232.7497,1071.3182,924.5623,880.5355,836.5088,792.482,763.1308,748.4552
True,0.0,Республика Башкортостан,0,False,33000.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Тамбовская область,2,False,28500.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
True,0.0,Курская область,2,False,11163.75,13977.0,2245.5324,1828.0937,1432.2467,1151.5551,1065.1885,698.1303,690.9331,683.7358,626.1581,604.5664,525.397,453.4248,431.8332,410.2415,388.6498,374.2554,367.0582
True,0.0,Владимирская область,1,False,17000.0,17000.0,2731.2049,2223.4809,1742.0185,1400.6179,1295.5716,849.1246,840.3708,831.6169,761.586,735.3244,639.0319,551.4933,525.2317,498.9701,472.7085,455.2008,446.447
True,0.0,Томская область,1,False,32310.5,65000.0,10442.8424,8501.5448,6660.6591,5355.3038,4953.656,3246.6529,3213.1823,3179.7116,2911.9464,2811.5345,2443.3574,2108.6509,2008.2389,1907.827,1807.415,1740.4737,1707.0031
True,0.0,Город федерального значения Москва,0,False,23723.0,65000.0,10442.8424,8501.5448,6660.6591,5355.3038,4953.656,3246.6529,3213.1823,3179.7116,2911.9464,2811.5345,2443.3574,2108.6509,2008.2389,1907.827,1807.415,1740.4737,1707.0031
True,0.0,Московская область,2,False,23688.0,37000.0,5944.3872,4839.3409,3791.4521,3048.4037,2819.7734,1848.0947,1829.0422,1809.9897,1657.5695,1600.4119,1390.8342,1200.309,1143.1514,1085.9938,1028.8363,990.7312,971.6787
True,0.0,Город федерального значения Санкт-Петербург,0,False,65000.0,65000.0,10442.8424,8501.5448,6660.6591,5355.3038,4953.656,3246.6529,3213.1823,3179.7116,2911.9464,2811.5345,2443.3574,2108.6509,2008.2389,1907.827,1807.415,1740.4737,1707.0031
True,1.0,Краснодарский край,0,False,16400.0,16400.0,2634.8095,2145.0051,1680.5355,1351.1843,1249.8455,819.1555,810.7106,802.2657,734.7065,709.3718,616.4779,532.0288,506.6941,481.3594,456.0247,439.1349,430.69
True,1.0,Ульяновская область,1,False,16000.0,16000.0,2570.5458,2092.688,1639.5469,1318.2286,1219.3615,799.1761,790.9372,782.6982,716.7868,692.07,601.4418,519.0525,494.3357,469.6189,444.9022,428.4243,420.1854
True,1.0,Томская область,1,False,50000.0,50000.0,8032.9557,6539.6498,5123.5839,4119.4645,3810.5046,2497.4253,2471.6787,2445.932,2239.9588,2162.7188,1879.5057,1622.0391,1544.7992,1467.5592,1390.3193,1338.826,1313.0793
True,1.0,Город федерального значения Москва,0,False,30000.0,30000.0,4819.7734,3923.7899,3074.1504,2471.6787,2286.3028,1498.4552,1483.0072,1467.5592,1343.9753,1297.6313,1127.7034,973.2235,926.8795,880.5355,834.1916,803.2956,787.8476
False,0.0,Челябинская область,0,False,3000.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Пензенская область,1,False,11163.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Брянская область,1,False,11163.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Саратовская область,2,False,9500.0,21203.0,3406.4552,2773.2039,2172.707,1746.9001,1615.8826,1059.0582,1048.1401,1037.2219,949.8769,917.1226,797.0232,687.8419,655.0875,622.3332,589.5788,567.7425,556.8244
False,0.0,Саратовская область,2,True,15279.0,15279.0,2454.7106,1998.3862,1565.6648,1258.826,1164.414,763.1632,755.2956,747.4279,684.4866,660.8836,574.3393,495.6627,472.0597,448.4567,424.8538,409.1184,401.2508
False,0.0,Ставропольский край,2,False,9500.0,28750.0,4618.9495,3760.2987,2946.0608,2368.6921,2191.0402,1436.0196,1421.2152,1406.4109,1287.9763,1243.5633,1080.7158,932.6725,888.2595,843.8465,799.4336,769.8249,755.0206
False,0.0,Чувашская Республика,1,False,11163.0,25000.0,4016.4779,3269.8249,2561.792,2059.7322,1905.2523,1248.7127,1235.8393,1222.966,1119.9794,1081.3594,939.7528,811.0196,772.3996,733.7796,695.1596,669.413,656.5396
False,0.0,Самарская область,0,False,11280.0,25000.0,4016.4779,3269.8249,2561.792,2059.7322,1905.2523,1248.7127,1235.8393,1222.966,1119.9794,1081.3594,939.7528,811.0196,772.3996,733.7796,695.1596,669.413,656.5396
False,0.0,Самарская область,0,True,16146.5,16146.5,2594.0824,2111.8491,1654.559,1330.2987,1230.5263,806.4936,798.1792,789.8648,723.3499,698.4068,606.9488,523.8051,498.862,473.9189,448.9758,432.3471,424.0327
False,0.0,Ярославская область,1,False,9500.0,35000.0,5623.069,4577.7549,3586.5088,2883.6251,2667.3532,1748.1977,1730.1751,1712.1524,1567.9712,1513.9032,1315.654,1135.4274,1081.3594,1027.2915,973.2235,937.1782,919.1555
False,0.0,Ярославская область,1,True,15279.0,15279.0,2454.7106,1998.3862,1565.6648,1258.826,1164.414,763.1632,755.2956,747.4279,684.4866,660.8836,574.3393,495.6627,472.0597,448.4567,424.8538,409.1184,401.2508
False,0.0,Республика Мордовия,1,False,11163.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Краснодарский край,0,False,9500.0,40000.0,6426.3646,5231.7199,4098.8671,3295.5716,3048.4037,1997.9403,1977.3429,1956.7456,1791.967,1730.1751,1503.6045,1297.6313,1235.8393,1174.0474,1112.2554,1071.0608,1050.4634
False,0.0,Краснодарский край,0,True,8500.0,13625.0,2188.9804,1782.0546,1396.1766,1122.5541,1038.3625,680.5484,673.5324,666.5165,610.3888,589.3409,512.1653,442.0057,420.9578,399.9099,378.862,364.8301,357.8141
False,0.0,Удмуртская Республика,1,False,9500.0,35000.0,5623.069,4577.7549,3586.5088,2883.6251,2667.3532,1748.1977,1730.1751,1712.1524,1567.9712,1513.9032,1315.654,1135.4274,1081.3594,1027.2915,973.2235,937.1782,919.1555
False,0.0,Оренбургская область,2,False,9500.0,30000.0,4819.7734,3923.7899,3074.1504,2471.6787,2286.3028,1498.4552,1483.0072,1467.5592,1343.9753,1297.6313,1127.7034,973.2235,926.8795,880.5355,834.1916,803.2956,787.8476
False,0.0,Волгоградская область,2,False,9500.0,32800.0,5269.6189,4290.0103,3361.0711,2702.3687,2499.691,1638.311,1621.4212,1604.5314,1469.413,1418.7436,1232.9557,1064.0577,1013.3883,962.7188,912.0494,878.2698,861.38
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,8933.0,664184.0,106707.2132,86870.6159,68060.0494,54721.6478,50617.5242,33174.999,32832.9887,32490.9784,29754.896,28728.8651,24966.7518,21546.6488,20520.6179,19494.587,18468.5561,17784.5355,17442.5252
False,0.0,Нижегородская область,0,False,9500.0,40000.0,6426.3646,5231.7199,4098.8671,3295.5716,3048.4037,1997.9403,1977.3429,1956.7456,1791.967,1730.1751,1503.6045,1297.6313,1235.8393,1174.0474,1112.2554,1071.0608,1050.4634
False,0.0,Республика Адыгея,1,False,11163.0,25000.0,4016.4779,3269.8249,2561.792,2059.7322,1905.2523,1248.7127,1235.8393,1222.966,1119.9794,1081.3594,939.7528,811.0196,772.3996,733.7796,695.1596,669.413,656.5396
False,0.0,Республика Адыгея,1,True,16242.0,16242.0,2609.4253,2124.3399,1664.345,1338.1668,1237.8043,811.2636,802.9001,794.5366,727.6282,702.5376,610.5386,526.9032,501.8126,476.7219,451.6313,434.9042,426.5407
False,0.0,Астраханская область,1,False,4060.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Ульяновская область,1,False,9500.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Омская область,1,False,7000.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Воронежская область,2,False,9500.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Воронежская область,2,True,16146.5,16146.5,2594.0824,2111.8491,1654.559,1330.2987,1230.5263,806.4936,798.1792,789.8648,723.3499,698.4068,606.9488,523.8051,498.862,473.9189,448.9758,432.3471,424.0327
False,0.0,Костромская область,1,False,11163.0,22550.0,3622.863,2949.3821,2310.7364,1857.8785,1718.5376,1126.3388,1114.7271,1103.1153,1010.2214,975.3862,847.6571,731.5396,696.7044,661.8692,627.034,603.8105,592.1988
False,0.0,Тюменская область,1,False,11185.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Тюменская область,1,True,18679.0,18679.0,3000.9516,2443.0824,1914.0685,1538.9495,1423.5283,932.9882,923.3697,913.7513,836.8038,807.9485,702.1457,605.9614,577.1061,548.2508,519.3955,500.1586,490.5402
False,0.0,Кабардино-Балкарская Республика,1,False,11163.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Тверская область,1,False,11163.0,35000.0,5623.069,4577.7549,3586.5088,2883.6251,2667.3532,1748.1977,1730.1751,1712.1524,1567.9712,1513.9032,1315.654,1135.4274,1081.3594,1027.2915,973.2235,937.1782,919.1555
False,0.0,Смоленская область,1,False,11185.0,24600.0,3952.2142,3217.5077,2520.8033,2026.7765,1874.7683,1228.7333,1216.0659,1203.3986,1102.0597,1064.0577,924.7168,798.0433,760.0412,722.0391,684.0371,658.7024,646.035
False,0.0,Карачаево-Черкесская Республика,1,False,11163.0,15279.0,2454.7106,1998.3862,1565.6648,1258.826,1164.414,763.1632,755.2956,747.4279,684.4866,660.8836,574.3393,495.6627,472.0597,448.4567,424.8538,409.1184,401.2508
False,0.0,Ивановская область,1,False,11163.0,14802.0,2378.0762,1935.9979,1516.7858,1219.5263,1128.0618,739.3378,731.7158,724.0937,663.1174,640.2513,556.4089,480.1885,457.3223,434.4562,411.5901,396.346,388.724
False,0.0,"иные территории, включая город и космодром Байконур",1,False,11163.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Республика Алтай,1,False,12847.5,16413.5,2636.9784,2146.7709,1681.9189,1352.2966,1250.8744,819.8298,811.378,802.9261,735.3113,709.9557,616.9853,532.4668,507.1112,481.7557,456.4001,439.4964,431.0445
False,0.0,Республика Дагестан,1,False,11280.0,18000.0,2891.8641,2354.2739,1844.4902,1483.0072,1371.7817,899.0731,889.8043,880.5355,806.3852,778.5788,676.622,583.9341,556.1277,528.3213,500.5149,481.9773,472.7085
False,0.0,Курганская область,1,False,13625.0,18014.0,2894.1133,2356.105,1845.9248,1484.1607,1372.8486,899.7724,890.4964,881.2204,807.0124,779.1843,677.1483,584.3883,556.5602,528.7322,500.9042,482.3522,473.0762
False,0.0,Республика Северная Осетия,1,False,12794.25,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
False,0.0,Республика Калмыкия,1,False,11280.0,18014.0,2894.1133,2356.105,1845.9248,1484.1607,1372.8486,899.7724,890.4964,881.2204,807.0124,779.1843,677.1483,584.3883,556.5602,528.7322,500.9042,482.3522,473.0762
False,0.0,Кировская область,1,False,10000.0,24447.0,3927.6334,3197.4964,2505.1251,2014.171,1863.1081,1221.0911,1208.5026,1195.914,1095.2055,1057.4398,918.9655,793.0798,755.3141,717.5484,679.7827,654.6056,642.017
False,0.0,Ростовская область,0,False,11163.75,30000.0,4819.7734,3923.7899,3074.1504,2471.6787,2286.3028,1498.4552,1483.0072,1467.5592,1343.9753,1297.6313,1127.7034,973.2235,926.8795,880.5355,834.1916,803.2956,787.8476
False,0.0,Ростовская область,0,True,16242.0,16242.0,2609.4253,2124.3399,1664.345,1338.1668,1237.8043,811.2636,802.9001,794.5366,727.6282,702.5376,610.5386,526.9032,501.8126,476.7219,451.6313,434.9042,426.5407
False,0.0,Белгородская область,2,False,11163.75,29930.0,4808.5273,3914.6344,3066.9773,2465.9114,2280.9681,1494.9588,1479.5469,1464.1349,1340.8393,1294.6035,1125.0721,970.9526,924.7168,878.4809,832.2451,801.4212,786.0093
False,0.0,Белгородская область,2,True,16242.0,16242.0,2609.4253,2124.3399,1664.345,1338.1668,1237.8043,811.2636,802.9001,794.5366,727.6282,702.5376,610.5386,526.9032,501.8126,476.7219,451.6313,434.9042,426.5407
False,0.0,Республика Башкортостан,0,False,10000.0,24447.0,3927.6334,3197.4964,2505.1251,2014.171,1863.1081,1221.0911,1208.5026,1195.914,1095.2055,1057.4398,918.9655,793.0798,755.3141,717.5484,679.7827,654.6056,642.017
False,0.0,Республика Башкортостан,0,True,18679.0,18679.0,3000.9516,2443.0824,1914.0685,1538.9495,1423.5283,932.9882,923.3697,913.7513,836.8038,807.9485,702.1457,605.9614,577.1061,548.2508,519.3955,500.1586,490.5402
False,0.0,Тамбовская область,2,False,15000.0,24000.0,3855.8187,3139.0319,2459.3203,1977.3429,1829.0422,1198.7642,1186.4058,1174.0474,1075.1802,1038.105,902.1627,778.5788,741.5036,704.4284,667.3532,642.6365,630.2781
False,0.0,Тамбовская область,2,True,16242.0,16242.0,2609.4253,2124.3399,1664.345,1338.1668,1237.8043,811.2636,802.9001,794.5366,727.6282,702.5376,610.5386,526.9032,501.8126,476.7219,451.6313,434.9042,426.5407
False,0.0,Республика Татарстан,0,False,10000.0,40000.0,6426.3646,5231.7199,4098.8671,3295.5716,3048.4037,1997.9403,1977.3429,1956.7456,1791.967,1730.1751,1503.6045,1297.6313,1235.8393,1174.0474,1112.2554,1071.0608,1050.4634
False,0.0,Красноярский край,1,False,10000.0,30000.0,4819.7734,3923.7899,3074.1504,2471.6787,2286.3028,1498.4552,1483.0072,1467.5592,1343.9753,1297.6313,1127.7034,973.2235,926.8795,880.5355,834.1916,803.2956,787.8476
False,0.0,Красноярский край,1,True,16242.0,24447.0,3927.6334,3197.4964,2505.1251,2014.171,1863.1081,1221.0911,1208.5026,1195.914,1095.2055,1057.4398,918.9655,793.0798,755.3141,717.5484,679.7827,654.6056,642.017
False,0.0,Липецкая область,1,False,11163.75,50000.0,8032.9557,6539.6498,5123.5839,4119.4645,3810.5046,2497.4253,2471.6787,2445.932,2239.9588,2162.7188,1879.5057,1622.0391,1544.7992,1467.5592,1390.3193,1338.826,1313.0793
False,0.0,Забайкальский край,1,False,10000.0,27612.0,4436.1195,3611.4562,2829.448,2274.9331,2104.3131,1379.1782,1364.9598,1350.7415,1236.9949,1194.3399,1037.9382,895.7549,853.0999,810.4449,767.7899,739.3532,725.1349
False,0.0,Ленинградская область,1,False,10000.0,35000.0,5623.069,4577.7549,3586.5088,2883.6251,2667.3532,1748.1977,1730.1751,1712.1524,1567.9712,1513.9032,1315.654,1135.4274,1081.3594,1027.2915,973.2235,937.1782,919.1555
False,0.0,Приморский край,1,False,10000.0,29000.0,4659.1143,3792.9969,2971.6787,2389.2894,2210.0927,1448.5067,1433.5736,1418.6406,1299.1761,1254.3769,1090.1133,940.7827,895.9835,851.1843,806.3852,776.5191,761.586
False,0.0,Приморский край,1,True,16242.0,16242.0,2609.4253,2124.3399,1664.345,1338.1668,1237.8043,811.2636,802.9001,794.5366,727.6282,702.5376,610.5386,526.9032,501.8126,476.7219,451.6313,434.9042,426.5407
False,0.0,Новосибирская область,0,False,10000.0,30000.0,4819.7734,3923.7899,3074.1504,2471.6787,2286.3028,1498.4552,1483.0072,1467.5592,1343.9753,1297.6313,1127.7034,973.2235,926.8795,880.5355,834.1916,803.2956,787.8476
False,0.0,Алтайский край,2,False,10000.0,32350.0,5197.3223,4231.1535,3314.9588,2665.2935,2465.3965,1615.8342,1599.1761,1582.518,1449.2533,1399.2791,1216.0402,1049.4593,999.4851,949.5108,899.5366,866.2204,849.5623
False,0.0,Калужская область,1,False,10000.0,34000.0,5462.4099,4446.9619,3484.0371,2801.2358,2591.1432,1698.2492,1680.7415,1663.2338,1523.172,1470.6488,1278.0639,1102.9866,1050.4634,997.9403,945.4171,910.4016,892.8939
False,0.0,Республика Карелия,1,False,6100.0,24447.0,3927.6334,3197.4964,2505.1251,2014.171,1863.1081,1221.0911,1208.5026,1195.914,1095.2055,1057.4398,918.9655,793.0798,755.3141,717.5484,679.7827,654.6056,642.017
False,0.0,Республика Карелия,1,True,15000.0,15000.0,2409.8867,1961.895,1537.0752,1235.8393,1143.1514,749.2276,741.5036,733.7796,671.9876,648.8157,563.8517,486.6117,463.4398,440.2678,417.0958,401.6478,393.9238
False,0.0,Рязанская область,1,False,12000.0,26985.0,4335.3862,3529.449,2765.1982,2223.275,2056.5294,1347.8605,1333.965,1320.0695,1208.9058,1167.2194,1014.3692,875.4145,833.7281,792.0417,750.3553,722.5644,708.6689
False,0.0,Орловская область,1,False,11163.75,24447.0,3927.6334,3197.4964,2505.1251,2014.171,1863.1081,1221.0911,1208.5026,1195.914,1095.2055,1057.4398,918.9655,793.0798,755.3141,717.5484,679.7827,654.6056,642.017
False,0.0,Кемеровская область,1,False,11163.75,24447.0,3927.6334,3197.4964,2505.1251,2014.171,1863.1081,1221.0911,1208.5026,1195.914,1095.2055,1057.4398,918.9655,793.0798,755.3141,717.5484,679.7827,654.6056,642.017
False,0.0,Республика Крым,1,False,13977.0,33920.0,5449.5572,4436.4985,3475.8393,2794.6447,2585.0463,1694.2533,1676.7868,1659.3203,1519.5881,1467.1885,1275.0566,1100.3913,1047.9918,995.5922,943.1926,908.2595,890.793
False,0.0,Свердловская область,0,False,11163.75,25000.0,4016.4779,3269.8249,2561.792,2059.7322,1905.2523,1248.7127,1235.8393,1222.966,1119.9794,1081.3594,939.7528,811.0196,772.3996,733.7796,695.1596,669.413,656.5396
False,0.0,Курская область,2,False,12000.0,33000.0,5301.7508,4316.1689,3381.5654,2718.8465,2514.9331,1648.3007,1631.3079,1614.3151,1478.3728,1427.3944,1240.4737,1070.5458,1019.5675,968.5891,917.6107,883.6251,866.6323
False,0.0,Республика Хакасия,1,False,13977.0,25988.0,4175.2091,3399.0484,2663.034,2141.1329,1980.5479,1298.0618,1284.6797,1271.2976,1164.241,1124.0947,976.8919,843.0711,802.9248,762.7786,722.6323,695.8682,682.4861
False,0.0,Калининградская область,1,False,11163.75,24447.0,3927.6334,3197.4964,2505.1251,2014.171,1863.1081,1221.0911,1208.5026,1195.914,1095.2055,1057.4398,918.9655,793.0798,755.3141,717.5484,679.7827,654.6056,642.017
False,0.0,Владимирская область,1,False,11163.75,24447.0,3927.6334,3197.4964,2505.1251,2014.171,1863.1081,1221.0911,1208.5026,1195.914,1095.2055,1057.4398,918.9655,793.0798,755.3141,717.5484,679.7827,654.6056,642.017
False,0.0,Республика Саха (Якутия),1,False,10000.0,30000.0,4819.7734,3923.7899,3074.1504,2471.6787,2286.3028,1498.4552,1483.0072,1467.5592,1343.9753,1297.6313,1127.7034,973.2235,926.8795,880.5355,834.1916,803.2956,787.8476
False,0.0,Иркутская область,1,False,11163.75,30000.0,4819.7734,3923.7899,3074.1504,2471.6787,2286.3028,1498.4552,1483.0072,1467.5592,1343.9753,1297.6313,1127.7034,973.2235,926.8795,880.5355,834.1916,803.2956,787.8476
False,0.0,Город федерального значения Севастополь,1,False,11163.75,30000.0,4819.7734,3923.7899,3074.1504,2471.6787,2286.3028,1498.4552,1483.0072,1467.5592,1343.9753,1297.6313,1127.7034,973.2235,926.8795,880.5355,834.1916,803.2956,787.8476
False,0.0,Республика Коми,1,False,4060.0,24447.0,3927.6334,3197.4964,2505.1251,2014.171,1863.1081,1221.0911,1208.5026,1195.914,1095.2055,1057.4398,918.9655,793.0798,755.3141,717.5484,679.7827,654.6056,642.017
False,0.0,Новгородская область,1,False,13009.0,38000.0,6105.0463,4970.1339,3893.9238,3130.793,2895.9835,1898.0433,1878.4758,1858.9083,1702.3687,1643.6663,1428.4243,1232.7497,1174.0474,1115.345,1056.6426,1017.5077,997.9403
False,0.0,Республика Бурятия,1,False,18048.0,20000.0,3213.1823,2615.8599,2049.4336,1647.7858,1524.2019,998.9701,988.6715,978.3728,895.9835,865.0875,751.8023,648.8157,617.9197,587.0237,556.1277,535.5304,525.2317
