is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Коммуникабельность (СК) (617_4),"Организация, проведение и участие в обучающих мероприятиях (медицинский представитель) (2624_12)","Личные установки и ценности, мировоззрение (2043_4)","Ответственность , добросовестность (СК) (614_4)","Владение и работа с ПК, MS Office, 1С, проф. программами, офисной техникой (2237_12)","Продажи и продвижение товаров и услуг (мед. представитель, администратор медцентра) (2623_12)",Целеустремленность (СК) (588_4),Ведение переговоров и развитие партнерских отношений (медицинский представитель) (2625_12),"Ведение электронного и бумажного документооборота (медпредставитель, администратор медцентра) (2483_12)","Саморазвитие, обучаемость (СК) (604_4)","Работа с клиентской базой (администратор медцентра, медпредставитель) (2484_12)",Командность (СК) (1371_4),Активность (СК) (576_4),Клиентоцентричность (клиенториентированность) (СК) (626_4),Грамотность (СК) (1368_4),Дисциплинированность (СК) (593_4),Стрессоустойчивость (СК) (601_4),Инициативность (СК) (610_4),Знание медицинской терминологии (мед.представитель) (2942_12),Нравственность (СК) (622_4),"Самоорганизация, отношение себе  (СК) (1629_4)"
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,42000.0,70000.0,8036.0263,7095.0397,6107.0036,5843.5274,5711.7892,5495.3623,3632.2086,3500.4705,3491.0606,3462.831,2540.6641,2324.2371,2051.351,2013.7115,1505.5787,1496.1688,1317.3814,1176.2334,1157.4136,1072.7248,969.2163
False,0.0,Ханты-Мансийский автономный округ — Югра,1,True,30000.0,50000.0,5740.0188,5067.8855,4362.1454,4173.9481,4079.8494,3925.2588,2594.4347,2500.3361,2493.6147,2473.4507,1814.76,1660.1694,1465.2507,1438.3654,1075.4134,1068.692,940.9867,840.1667,826.724,766.232,692.2974
False,0.0,Хабаровский край,1,False,30000.0,80000.0,9184.0301,8108.6167,6979.4327,6678.317,6527.7591,6280.414,4151.0956,4000.5377,3989.7836,3957.5212,2903.6161,2656.271,2344.4011,2301.3846,1720.6614,1709.9072,1505.5787,1344.2667,1322.7584,1225.9712,1107.6758
False,0.0,Ивановская область,1,False,30000.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Ивановская область,1,True,57000.0,57000.0,6543.6215,5777.3894,4972.8458,4758.3008,4651.0284,4474.795,2957.6556,2850.3831,2842.7208,2819.7338,2068.8265,1892.5931,1670.3858,1639.7365,1225.9712,1218.3089,1072.7248,957.79,942.4654,873.5045,789.219
False,0.0,Краснодарский край,0,False,19300.0,80067.0,9191.7217,8115.4077,6985.278,6683.9101,6533.2261,6285.6739,4154.5721,4003.8882,3993.125,3960.8356,2906.0479,2658.4956,2346.3646,2303.312,1722.1024,1711.3393,1506.8396,1345.3925,1323.8662,1226.998,1108.6034
False,0.0,Краснодарский край,0,True,100000.0,100000.0,11480.0376,10135.7709,8724.2909,8347.8962,8159.6989,7850.5175,5188.8695,5000.6721,4987.2295,4946.9015,3629.5201,3320.3388,2930.5014,2876.7307,2150.8267,2137.3841,1881.9734,1680.3334,1653.448,1532.464,1384.5947
False,0.0,Оренбургская область,2,False,35000.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Тульская область,1,False,30000.0,80067.0,9191.7217,8115.4077,6985.278,6683.9101,6533.2261,6285.6739,4154.5721,4003.8882,3993.125,3960.8356,2906.0479,2658.4956,2346.3646,2303.312,1722.1024,1711.3393,1506.8396,1345.3925,1323.8662,1226.998,1108.6034
False,0.0,Город федерального значения Санкт-Петербург,0,False,30000.0,90000.0,10332.0339,9122.1938,7851.8618,7513.1066,7343.729,7065.4658,4669.9825,4500.6049,4488.5065,4452.2113,3266.5681,2988.3049,2637.4513,2589.0577,1935.7441,1923.6457,1693.776,1512.3,1488.1032,1379.2176,1246.1352
False,0.0,Город федерального значения Санкт-Петербург,0,True,30000.0,48000.0,5510.4181,4865.17,4187.6596,4006.9902,3916.6555,3768.2484,2490.6573,2400.3226,2393.8701,2374.5127,1742.1696,1593.7626,1406.6407,1380.8308,1032.3968,1025.9443,903.3472,806.56,793.6551,735.5827,664.6055
False,0.0,Калининградская область,1,False,34875.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Республика Башкортостан,0,False,29250.0,80000.0,9184.0301,8108.6167,6979.4327,6678.317,6527.7591,6280.414,4151.0956,4000.5377,3989.7836,3957.5212,2903.6161,2656.271,2344.4011,2301.3846,1720.6614,1709.9072,1505.5787,1344.2667,1322.7584,1225.9712,1107.6758
False,0.0,Республика Башкортостан,0,True,15000.0,100000.0,11480.0376,10135.7709,8724.2909,8347.8962,8159.6989,7850.5175,5188.8695,5000.6721,4987.2295,4946.9015,3629.5201,3320.3388,2930.5014,2876.7307,2150.8267,2137.3841,1881.9734,1680.3334,1653.448,1532.464,1384.5947
False,0.0,Калужская область,1,False,30000.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Калужская область,1,True,25000.0,25000.0,2870.0094,2533.9427,2181.0727,2086.9741,2039.9247,1962.6294,1297.2174,1250.168,1246.8074,1236.7254,907.38,830.0847,732.6254,719.1827,537.7067,534.346,470.4933,420.0833,413.362,383.116,346.1487
False,0.0,Мурманская область,1,False,29250.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Тюменская область,1,False,40000.0,80000.0,9184.0301,8108.6167,6979.4327,6678.317,6527.7591,6280.414,4151.0956,4000.5377,3989.7836,3957.5212,2903.6161,2656.271,2344.4011,2301.3846,1720.6614,1709.9072,1505.5787,1344.2667,1322.7584,1225.9712,1107.6758
False,0.0,Тюменская область,1,True,100000.0,100000.0,11480.0376,10135.7709,8724.2909,8347.8962,8159.6989,7850.5175,5188.8695,5000.6721,4987.2295,4946.9015,3629.5201,3320.3388,2930.5014,2876.7307,2150.8267,2137.3841,1881.9734,1680.3334,1653.448,1532.464,1384.5947
False,0.0,Алтайский край,2,False,29250.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Республика Крым,1,False,34875.0,57000.0,6543.6215,5777.3894,4972.8458,4758.3008,4651.0284,4474.795,2957.6556,2850.3831,2842.7208,2819.7338,2068.8265,1892.5931,1670.3858,1639.7365,1225.9712,1218.3089,1072.7248,957.79,942.4654,873.5045,789.219
False,0.0,Республика Крым,1,True,29250.0,29250.0,3357.911,2964.713,2551.8551,2441.7596,2386.7119,2296.2764,1517.7443,1462.6966,1458.7646,1446.9687,1061.6346,971.1991,857.1717,841.4437,629.1168,625.1848,550.4772,491.4975,483.6336,448.2457,404.994
False,0.0,Новосибирская область,0,False,36000.0,95000.0,10906.0358,9628.9824,8288.0764,7930.5014,7751.7139,7457.9917,4929.426,4750.6385,4737.868,4699.5564,3448.0441,3154.3218,2783.9763,2732.8942,2043.2854,2030.5149,1787.8747,1596.3167,1570.7756,1455.8408,1315.365
False,0.0,Новосибирская область,0,True,19500.0,50000.0,5740.0188,5067.8855,4362.1454,4173.9481,4079.8494,3925.2588,2594.4347,2500.3361,2493.6147,2473.4507,1814.76,1660.1694,1465.2507,1438.3654,1075.4134,1068.692,940.9867,840.1667,826.724,766.232,692.2974
False,0.0,Ставропольский край,2,False,30000.0,80000.0,9184.0301,8108.6167,6979.4327,6678.317,6527.7591,6280.414,4151.0956,4000.5377,3989.7836,3957.5212,2903.6161,2656.271,2344.4011,2301.3846,1720.6614,1709.9072,1505.5787,1344.2667,1322.7584,1225.9712,1107.6758
False,0.0,Ставропольский край,2,True,100000.0,100000.0,11480.0376,10135.7709,8724.2909,8347.8962,8159.6989,7850.5175,5188.8695,5000.6721,4987.2295,4946.9015,3629.5201,3320.3388,2930.5014,2876.7307,2150.8267,2137.3841,1881.9734,1680.3334,1653.448,1532.464,1384.5947
False,0.0,Ростовская область,0,False,29250.0,93800.0,10768.2753,9507.3531,8183.3849,7830.3267,7653.7976,7363.7855,4867.1596,4690.6305,4678.0212,4640.1936,3404.4899,3114.4778,2748.8103,2698.3734,2017.4755,2004.8662,1765.291,1576.1527,1550.9343,1437.4513,1298.7498
False,0.0,Приморский край,1,False,30000.0,85000.0,9758.032,8615.4053,7415.6473,7095.7118,6935.7441,6672.9399,4410.5391,4250.5713,4239.145,4204.8662,3085.0921,2822.2879,2490.9262,2445.2211,1828.2027,1816.7764,1599.6774,1428.2834,1405.4308,1302.5944,1176.9055
False,0.0,Пермский край,1,False,30000.0,80000.0,9184.0301,8108.6167,6979.4327,6678.317,6527.7591,6280.414,4151.0956,4000.5377,3989.7836,3957.5212,2903.6161,2656.271,2344.4011,2301.3846,1720.6614,1709.9072,1505.5787,1344.2667,1322.7584,1225.9712,1107.6758
False,0.0,Пермский край,1,True,30000.0,30000.0,3444.0113,3040.7313,2617.2873,2504.3689,2447.9097,2355.1553,1556.6608,1500.2016,1496.1688,1484.0704,1088.856,996.1016,879.1504,863.0192,645.248,641.2152,564.592,504.1,496.0344,459.7392,415.3784
False,0.0,Ульяновская область,1,False,30000.0,46000.0,5280.8173,4662.4546,4013.1738,3840.0323,3753.4615,3611.2381,2386.88,2300.3092,2294.1256,2275.5747,1669.5792,1527.3558,1348.0306,1323.2961,989.3803,983.1967,865.7078,772.9534,760.5861,704.9335,636.9136
False,0.0,Курганская область,1,False,35000.0,35000.0,4018.0132,3547.5198,3053.5018,2921.7637,2855.8946,2747.6811,1816.1043,1750.2352,1745.5303,1731.4155,1270.332,1162.1186,1025.6755,1006.8558,752.7894,748.0844,658.6907,588.1167,578.7068,536.3624,484.6081
False,0.0,Курганская область,1,True,30000.0,30000.0,3444.0113,3040.7313,2617.2873,2504.3689,2447.9097,2355.1553,1556.6608,1500.2016,1496.1688,1484.0704,1088.856,996.1016,879.1504,863.0192,645.248,641.2152,564.592,504.1,496.0344,459.7392,415.3784
False,0.0,Владимирская область,1,False,29250.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Сахалинская область,1,False,29250.0,50000.0,5740.0188,5067.8855,4362.1454,4173.9481,4079.8494,3925.2588,2594.4347,2500.3361,2493.6147,2473.4507,1814.76,1660.1694,1465.2507,1438.3654,1075.4134,1068.692,940.9867,840.1667,826.724,766.232,692.2974
False,0.0,Пензенская область,1,False,30000.0,63000.0,7232.4237,6385.5357,5496.3033,5259.1746,5140.6103,4945.8261,3268.9878,3150.4234,3141.9546,3116.5479,2286.5977,2091.8134,1846.2159,1812.3404,1355.0208,1346.552,1185.6432,1058.61,1041.6723,965.4523,872.2947
False,0.0,Кемеровская область,1,False,30000.0,80000.0,9184.0301,8108.6167,6979.4327,6678.317,6527.7591,6280.414,4151.0956,4000.5377,3989.7836,3957.5212,2903.6161,2656.271,2344.4011,2301.3846,1720.6614,1709.9072,1505.5787,1344.2667,1322.7584,1225.9712,1107.6758
False,0.0,Кемеровская область,1,True,40000.0,40000.0,4592.0151,4054.3084,3489.7164,3339.1585,3263.8796,3140.207,2075.5478,2000.2689,1994.8918,1978.7606,1451.808,1328.1355,1172.2006,1150.6923,860.3307,854.9536,752.7894,672.1334,661.3792,612.9856,553.8379
False,0.0,Красноярский край,1,False,1.0,90000.0,10332.0339,9122.1938,7851.8618,7513.1066,7343.729,7065.4658,4669.9825,4500.6049,4488.5065,4452.2113,3266.5681,2988.3049,2637.4513,2589.0577,1935.7441,1923.6457,1693.776,1512.3,1488.1032,1379.2176,1246.1352
False,0.0,Красноярский край,1,True,50000.0,50000.0,5740.0188,5067.8855,4362.1454,4173.9481,4079.8494,3925.2588,2594.4347,2500.3361,2493.6147,2473.4507,1814.76,1660.1694,1465.2507,1438.3654,1075.4134,1068.692,940.9867,840.1667,826.724,766.232,692.2974
False,0.0,Вологодская область,1,False,34875.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Вологодская область,1,True,29250.0,29250.0,3357.911,2964.713,2551.8551,2441.7596,2386.7119,2296.2764,1517.7443,1462.6966,1458.7646,1446.9687,1061.6346,971.1991,857.1717,841.4437,629.1168,625.1848,550.4772,491.4975,483.6336,448.2457,404.994
False,0.0,Саратовская область,2,False,17000.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Саратовская область,2,True,100000.0,100000.0,11480.0376,10135.7709,8724.2909,8347.8962,8159.6989,7850.5175,5188.8695,5000.6721,4987.2295,4946.9015,3629.5201,3320.3388,2930.5014,2876.7307,2150.8267,2137.3841,1881.9734,1680.3334,1653.448,1532.464,1384.5947
False,0.0,Челябинская область,0,False,29250.0,79275.0,9100.7998,8035.1324,6916.1816,6617.7947,6468.6013,6223.4978,4113.4763,3964.2828,3953.6262,3921.6561,2877.3021,2632.1985,2323.155,2280.5283,1705.0679,1694.4112,1491.9344,1332.0843,1310.7709,1214.8609,1097.6375
False,0.0,Челябинская область,0,True,40000.0,40000.0,4592.0151,4054.3084,3489.7164,3339.1585,3263.8796,3140.207,2075.5478,2000.2689,1994.8918,1978.7606,1451.808,1328.1355,1172.2006,1150.6923,860.3307,854.9536,752.7894,672.1334,661.3792,612.9856,553.8379
False,0.0,Белгородская область,2,False,29250.0,63000.0,7232.4237,6385.5357,5496.3033,5259.1746,5140.6103,4945.8261,3268.9878,3150.4234,3141.9546,3116.5479,2286.5977,2091.8134,1846.2159,1812.3404,1355.0208,1346.552,1185.6432,1058.61,1041.6723,965.4523,872.2947
False,0.0,Удмуртская Республика,1,False,29250.0,80000.0,9184.0301,8108.6167,6979.4327,6678.317,6527.7591,6280.414,4151.0956,4000.5377,3989.7836,3957.5212,2903.6161,2656.271,2344.4011,2301.3846,1720.6614,1709.9072,1505.5787,1344.2667,1322.7584,1225.9712,1107.6758
False,0.0,Удмуртская Республика,1,True,100000.0,100000.0,11480.0376,10135.7709,8724.2909,8347.8962,8159.6989,7850.5175,5188.8695,5000.6721,4987.2295,4946.9015,3629.5201,3320.3388,2930.5014,2876.7307,2150.8267,2137.3841,1881.9734,1680.3334,1653.448,1532.464,1384.5947
False,0.0,Ярославская область,1,False,30000.0,83270.0,9559.4273,8440.0565,7264.717,6951.2932,6794.5813,6537.126,4320.7716,4164.0597,4152.866,4119.2849,3022.3014,2764.8461,2440.2285,2395.4537,1790.9934,1779.7997,1567.1192,1399.2136,1376.8262,1276.0828,1152.952
False,0.0,Орловская область,1,False,30000.0,55000.0,6314.0207,5574.674,4798.36,4591.3429,4487.8344,4317.7846,2853.8782,2750.3697,2742.9762,2720.7958,1996.2361,1826.1863,1611.7758,1582.2019,1182.9547,1175.5612,1035.0854,924.1834,909.3964,842.8552,761.5271
False,0.0,Амурская область,1,False,40000.0,40000.0,4592.0151,4054.3084,3489.7164,3339.1585,3263.8796,3140.207,2075.5478,2000.2689,1994.8918,1978.7606,1451.808,1328.1355,1172.2006,1150.6923,860.3307,854.9536,752.7894,672.1334,661.3792,612.9856,553.8379
False,0.0,Амурская область,1,True,29250.0,29250.0,3357.911,2964.713,2551.8551,2441.7596,2386.7119,2296.2764,1517.7443,1462.6966,1458.7646,1446.9687,1061.6346,971.1991,857.1717,841.4437,629.1168,625.1848,550.4772,491.4975,483.6336,448.2457,404.994
False,0.0,Чеченская Республика,1,False,30000.0,35000.0,4018.0132,3547.5198,3053.5018,2921.7637,2855.8946,2747.6811,1816.1043,1750.2352,1745.5303,1731.4155,1270.332,1162.1186,1025.6755,1006.8558,752.7894,748.0844,658.6907,588.1167,578.7068,536.3624,484.6081
False,0.0,Камчатский край,1,False,31365.0,45000.0,5166.0169,4561.0969,3925.9309,3756.5533,3671.8645,3532.7329,2334.9913,2250.3025,2244.2533,2226.1057,1633.284,1494.1524,1318.7256,1294.5288,967.872,961.8228,846.888,756.15,744.0516,689.6088,623.0676
False,0.0,Республика Северная Осетия,1,False,25000.0,55000.0,6314.0207,5574.674,4798.36,4591.3429,4487.8344,4317.7846,2853.8782,2750.3697,2742.9762,2720.7958,1996.2361,1826.1863,1611.7758,1582.2019,1182.9547,1175.5612,1035.0854,924.1834,909.3964,842.8552,761.5271
