is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Английский язык (ЯС) (1918_32),"Организация командировок сотрудников, руководителя и сопровождающих его лиц. Travel-поддержка (2252_33)",Дисциплинированность (СК) (593_4),Ведение делопроизводства (2047_33),"Знание ПК, различных операционных систем, офисных программ (2286_33)",Внимательность (СК) (536_4),Грамотность (СК) (1368_4),"Личные установки и ценности, мировоззрение (2043_4)","Встречи и переговоры: планирование, организация, координация, сопровождение, участие в проведении встреч и переговоров (3079_33)",Стрессоустойчивость (СК) (601_4),Владение ПК и оргтехникой (2686_33),Коммуникабельность (СК) (617_4),"Выполнение поставленных задач, приказов, распоряжений и поручений руководителя (1994_33)",Выполнение поручений руководителя (ОПТ) (3036_36),Аккуратность (СК) (575_4),"Работа с документами: подготовка, прием/отправка, печать, сканирование (1976_33)","Саморазвитие, обучаемость (СК) (604_4)","Работа с входящей и исходящей корреспонденцией: отправка, доставка (3597_33)",Ведение делопроизводства (2455_33),"Обеспечение и контроль исполнения поручений руководителя, сроков выполнения указаний/ распоряжений/ поручений и приказов (2251_33)","Организаторские способности, лидерство (СК) (393_4)",Доброжелательность (СК) (1126_4),Пунктуальность (СК) (612_4),Командность (СК) (1371_4)
False,0.0,Ростовская область,0,False,10000.0,46000.0,6673.6557,5304.7007,2551.2344,2380.115,2177.883,2115.6578,2115.6578,1897.8695,1820.0879,1742.3064,1695.6375,1586.7433,1446.7366,1431.1803,1337.8424,1213.392,1197.8356,1104.4978,980.0473,933.3784,933.3784,855.5969,855.5969,824.4843,824.4843
False,0.0,Ростовская область,0,True,8121.0,25000.0,3626.9868,2882.9895,1386.5404,1293.5408,1183.6321,1149.814,1149.814,1031.4508,989.1782,946.9056,921.5421,862.3605,786.2699,777.8154,727.0883,659.4521,650.9976,600.2705,532.6344,507.2709,507.2709,464.9983,464.9983,448.0893,448.0893
False,0.0,Пермский край,1,False,10000.0,35000.0,5077.7815,4036.1853,1941.1566,1810.9571,1657.0849,1609.7396,1609.7396,1444.0311,1384.8495,1325.6679,1290.1589,1207.3047,1100.7778,1088.9415,1017.9236,923.233,911.3967,840.3788,745.6882,710.1792,710.1792,650.9976,650.9976,627.325,627.325
False,0.0,Пермский край,1,True,12994.0,23000.0,3336.8279,2652.3504,1275.6172,1190.0575,1088.9415,1057.8289,1057.8289,948.9347,910.044,871.1532,847.8187,793.3717,723.3683,715.5901,668.9212,606.696,598.9178,552.2489,490.0237,466.6892,466.6892,427.7984,427.7984,412.2421,412.2421
False,0.0,Белгородская область,2,False,11105.75,35000.0,5077.7815,4036.1853,1941.1566,1810.9571,1657.0849,1609.7396,1609.7396,1444.0311,1384.8495,1325.6679,1290.1589,1207.3047,1100.7778,1088.9415,1017.9236,923.233,911.3967,840.3788,745.6882,710.1792,710.1792,650.9976,650.9976,627.325,627.325
False,0.0,Новосибирская область,0,False,11105.75,50000.0,7253.9736,5765.979,2773.0808,2587.0815,2367.2641,2299.628,2299.628,2062.9016,1978.3564,1893.8113,1843.0842,1724.721,1572.5397,1555.6307,1454.1765,1318.9043,1301.9953,1200.5411,1065.2689,1014.5418,1014.5418,929.9966,929.9966,896.1786,896.1786
False,0.0,Новосибирская область,0,True,20000.0,20000.0,2901.5894,2306.3916,1109.2323,1034.8326,946.9056,919.8512,919.8512,825.1606,791.3426,757.5245,737.2337,689.8884,629.0159,622.2523,581.6706,527.5617,520.7981,480.2164,426.1075,405.8167,405.8167,371.9986,371.9986,358.4714,358.4714
False,0.0,Вологодская область,1,False,10000.0,30000.0,4352.3842,3459.5874,1663.8485,1552.2489,1420.3585,1379.7768,1379.7768,1237.741,1187.0139,1136.2868,1105.8505,1034.8326,943.5238,933.3784,872.5059,791.3426,781.1972,720.3247,639.1613,608.7251,608.7251,557.998,557.998,537.7071,537.7071
False,0.0,Краснодарский край,0,False,11105.75,50000.0,7253.9736,5765.979,2773.0808,2587.0815,2367.2641,2299.628,2299.628,2062.9016,1978.3564,1893.8113,1843.0842,1724.721,1572.5397,1555.6307,1454.1765,1318.9043,1301.9953,1200.5411,1065.2689,1014.5418,1014.5418,929.9966,929.9966,896.1786,896.1786
False,0.0,Краснодарский край,0,True,12000.0,20000.0,2901.5894,2306.3916,1109.2323,1034.8326,946.9056,919.8512,919.8512,825.1606,791.3426,757.5245,737.2337,689.8884,629.0159,622.2523,581.6706,527.5617,520.7981,480.2164,426.1075,405.8167,405.8167,371.9986,371.9986,358.4714,358.4714
False,0.0,Псковская область,1,False,10000.0,25000.0,3626.9868,2882.9895,1386.5404,1293.5408,1183.6321,1149.814,1149.814,1031.4508,989.1782,946.9056,921.5421,862.3605,786.2699,777.8154,727.0883,659.4521,650.9976,600.2705,532.6344,507.2709,507.2709,464.9983,464.9983,448.0893,448.0893
False,0.0,Псковская область,1,True,25000.0,25000.0,3626.9868,2882.9895,1386.5404,1293.5408,1183.6321,1149.814,1149.814,1031.4508,989.1782,946.9056,921.5421,862.3605,786.2699,777.8154,727.0883,659.4521,650.9976,600.2705,532.6344,507.2709,507.2709,464.9983,464.9983,448.0893,448.0893
False,0.0,Самарская область,0,False,11105.75,40000.0,5803.1789,4612.7832,2218.4647,2069.6652,1893.8113,1839.7024,1839.7024,1650.3213,1582.6852,1515.049,1474.4674,1379.7768,1258.0318,1244.5046,1163.3412,1055.1234,1041.5962,960.4329,852.2151,811.6334,811.6334,743.9973,743.9973,716.9428,716.9428
False,0.0,Самарская область,0,True,16242.0,25000.0,3626.9868,2882.9895,1386.5404,1293.5408,1183.6321,1149.814,1149.814,1031.4508,989.1782,946.9056,921.5421,862.3605,786.2699,777.8154,727.0883,659.4521,650.9976,600.2705,532.6344,507.2709,507.2709,464.9983,464.9983,448.0893,448.0893
False,0.0,Тверская область,1,False,11105.75,40000.0,5803.1789,4612.7832,2218.4647,2069.6652,1893.8113,1839.7024,1839.7024,1650.3213,1582.6852,1515.049,1474.4674,1379.7768,1258.0318,1244.5046,1163.3412,1055.1234,1041.5962,960.4329,852.2151,811.6334,811.6334,743.9973,743.9973,716.9428,716.9428
False,0.0,Тверская область,1,True,15000.0,20000.0,2901.5894,2306.3916,1109.2323,1034.8326,946.9056,919.8512,919.8512,825.1606,791.3426,757.5245,737.2337,689.8884,629.0159,622.2523,581.6706,527.5617,520.7981,480.2164,426.1075,405.8167,405.8167,371.9986,371.9986,358.4714,358.4714
False,0.0,Воронежская область,2,False,11105.75,46500.0,6746.1955,5362.3605,2578.9652,2405.9858,2201.5556,2138.654,2138.654,1918.4985,1839.8715,1761.2445,1714.0683,1603.9905,1462.462,1446.7366,1352.3842,1226.581,1210.8556,1116.5032,990.7,943.5238,943.5238,864.8969,864.8969,833.4461,833.4461
False,0.0,Воронежская область,2,True,15000.0,15000.0,2176.1921,1729.7937,831.9242,776.1245,710.1792,689.8884,689.8884,618.8705,593.5069,568.1434,552.9253,517.4163,471.7619,466.6892,436.253,395.6713,390.5986,360.1623,319.5807,304.3625,304.3625,278.999,278.999,268.8536,268.8536
False,0.0,Ярославская область,1,False,8000.0,44000.0,6383.4968,5074.0615,2440.3111,2276.6317,2083.1924,2023.6726,2023.6726,1815.3534,1740.9537,1666.5539,1621.9141,1517.7545,1383.835,1368.955,1279.6753,1160.6358,1145.7558,1056.4762,937.4366,892.7968,892.7968,818.397,818.397,788.6371,788.6371
False,0.0,Ярославская область,1,True,12000.0,20000.0,2901.5894,2306.3916,1109.2323,1034.8326,946.9056,919.8512,919.8512,825.1606,791.3426,757.5245,737.2337,689.8884,629.0159,622.2523,581.6706,527.5617,520.7981,480.2164,426.1075,405.8167,405.8167,371.9986,371.9986,358.4714,358.4714
False,0.0,Нижегородская область,0,False,10000.0,40000.0,5803.1789,4612.7832,2218.4647,2069.6652,1893.8113,1839.7024,1839.7024,1650.3213,1582.6852,1515.049,1474.4674,1379.7768,1258.0318,1244.5046,1163.3412,1055.1234,1041.5962,960.4329,852.2151,811.6334,811.6334,743.9973,743.9973,716.9428,716.9428
False,0.0,Нижегородская область,0,True,12994.0,25000.0,3626.9868,2882.9895,1386.5404,1293.5408,1183.6321,1149.814,1149.814,1031.4508,989.1782,946.9056,921.5421,862.3605,786.2699,777.8154,727.0883,659.4521,650.9976,600.2705,532.6344,507.2709,507.2709,464.9983,464.9983,448.0893,448.0893
False,0.0,Республика Башкортостан,0,False,11105.75,80000.0,11606.3578,9225.5665,4436.9293,4139.3304,3787.6226,3679.4048,3679.4048,3300.6425,3165.3703,3030.0981,2948.9347,2759.5536,2516.0636,2489.0091,2326.6824,2110.2469,2083.1924,1920.8657,1704.4302,1623.2668,1623.2668,1487.9946,1487.9946,1433.8857,1433.8857
False,0.0,Республика Башкортостан,0,True,9340.0,25000.0,3626.9868,2882.9895,1386.5404,1293.5408,1183.6321,1149.814,1149.814,1031.4508,989.1782,946.9056,921.5421,862.3605,786.2699,777.8154,727.0883,659.4521,650.9976,600.2705,532.6344,507.2709,507.2709,464.9983,464.9983,448.0893,448.0893
False,0.0,Архангельская область,1,False,10000.0,35733.0,5184.1248,4120.7146,1981.8099,1848.8837,1691.789,1643.4521,1643.4521,1474.2732,1413.8522,1353.4312,1317.1786,1232.5891,1123.8312,1111.747,1039.2418,942.5681,930.4839,857.9787,761.305,725.0524,725.0524,664.6314,664.6314,640.463,640.463
False,0.0,Калининградская область,1,False,10000.0,33000.0,4787.6226,3805.5462,1830.2333,1707.4738,1562.3943,1517.7545,1517.7545,1361.515,1305.7153,1249.9155,1216.4356,1138.3159,1037.8762,1026.7163,959.7565,870.4768,859.3169,792.3571,703.0774,669.5976,669.5976,613.7978,613.7978,591.4778,591.4778
False,0.0,Калининградская область,1,True,12000.0,12000.0,1740.9537,1383.835,665.5394,620.8996,568.1434,551.9107,551.9107,495.0964,474.8055,454.5147,442.3402,413.933,377.4095,373.3514,349.0024,316.537,312.4789,288.1299,255.6645,243.49,243.49,223.1992,223.1992,215.0829,215.0829
False,0.0,Алтайский край,2,False,10000.0,40000.0,5803.1789,4612.7832,2218.4647,2069.6652,1893.8113,1839.7024,1839.7024,1650.3213,1582.6852,1515.049,1474.4674,1379.7768,1258.0318,1244.5046,1163.3412,1055.1234,1041.5962,960.4329,852.2151,811.6334,811.6334,743.9973,743.9973,716.9428,716.9428
False,0.0,Алтайский край,2,True,12994.0,12994.0,1885.1627,1498.4626,720.6682,672.3307,615.2046,597.6273,597.6273,536.1069,514.1353,492.1637,478.9807,448.2205,408.6716,404.2773,377.9114,342.7568,338.3625,311.9966,276.8421,263.6591,263.6591,241.6875,241.6875,232.8989,232.8989
False,0.0,Ульяновская область,1,False,11105.75,35000.0,5077.7815,4036.1853,1941.1566,1810.9571,1657.0849,1609.7396,1609.7396,1444.0311,1384.8495,1325.6679,1290.1589,1207.3047,1100.7778,1088.9415,1017.9236,923.233,911.3967,840.3788,745.6882,710.1792,710.1792,650.9976,650.9976,627.325,627.325
False,0.0,Ульяновская область,1,True,20000.0,20000.0,2901.5894,2306.3916,1109.2323,1034.8326,946.9056,919.8512,919.8512,825.1606,791.3426,757.5245,737.2337,689.8884,629.0159,622.2523,581.6706,527.5617,520.7981,480.2164,426.1075,405.8167,405.8167,371.9986,371.9986,358.4714,358.4714
False,0.0,Костромская область,1,False,11105.75,25000.0,3626.9868,2882.9895,1386.5404,1293.5408,1183.6321,1149.814,1149.814,1031.4508,989.1782,946.9056,921.5421,862.3605,786.2699,777.8154,727.0883,659.4521,650.9976,600.2705,532.6344,507.2709,507.2709,464.9983,464.9983,448.0893,448.0893
False,0.0,Удмуртская Республика,1,False,10000.0,35000.0,5077.7815,4036.1853,1941.1566,1810.9571,1657.0849,1609.7396,1609.7396,1444.0311,1384.8495,1325.6679,1290.1589,1207.3047,1100.7778,1088.9415,1017.9236,923.233,911.3967,840.3788,745.6882,710.1792,710.1792,650.9976,650.9976,627.325,627.325
False,0.0,Липецкая область,1,False,11105.75,30800.0,4468.4478,3551.8431,1708.2178,1593.6422,1458.2347,1416.5708,1416.5708,1270.7474,1218.6676,1166.5878,1135.3399,1062.4281,968.6845,958.2685,895.7727,812.445,802.0291,739.5333,656.2056,624.9577,624.9577,572.8779,572.8779,552.046,552.046
False,0.0,Владимирская область,1,False,10000.0,49100.0,7123.4021,5662.1914,2723.1654,2540.514,2324.6534,2258.2347,2258.2347,2025.7694,1942.746,1859.7227,1809.9087,1693.676,1544.234,1527.6294,1428.0014,1295.164,1278.5594,1178.9313,1046.094,996.28,996.28,913.2567,913.2567,880.0473,880.0473
False,0.0,Кемеровская область,1,False,12000.0,35000.0,5077.7815,4036.1853,1941.1566,1810.9571,1657.0849,1609.7396,1609.7396,1444.0311,1384.8495,1325.6679,1290.1589,1207.3047,1100.7778,1088.9415,1017.9236,923.233,911.3967,840.3788,745.6882,710.1792,710.1792,650.9976,650.9976,627.325,627.325
False,0.0,Ставропольский край,2,False,11105.75,37168.0,5392.3138,4286.1982,2061.3974,1923.1329,1759.7295,1709.4515,1709.4515,1533.4785,1470.631,1407.7836,1370.0751,1282.0886,1168.9631,1156.3936,1080.9767,980.4207,967.8512,892.4342,791.8783,754.1698,754.1698,691.3223,691.3223,666.1833,666.1833
False,0.0,Брянская область,1,False,11105.75,30000.0,4352.3842,3459.5874,1663.8485,1552.2489,1420.3585,1379.7768,1379.7768,1237.741,1187.0139,1136.2868,1105.8505,1034.8326,943.5238,933.3784,872.5059,791.3426,781.1972,720.3247,639.1613,608.7251,608.7251,557.998,557.998,537.7071,537.7071
False,0.0,Брянская область,1,True,16242.0,16242.0,2356.3808,1873.0206,900.8076,840.3876,768.9821,747.0112,747.0112,670.113,642.6493,615.1857,598.7075,560.2584,510.8238,505.3311,472.3747,428.4329,422.9401,389.9838,346.0419,329.5637,329.5637,302.1001,302.1001,291.1146,291.1146
False,0.0,Тульская область,1,False,11105.75,40000.0,5803.1789,4612.7832,2218.4647,2069.6652,1893.8113,1839.7024,1839.7024,1650.3213,1582.6852,1515.049,1474.4674,1379.7768,1258.0318,1244.5046,1163.3412,1055.1234,1041.5962,960.4329,852.2151,811.6334,811.6334,743.9973,743.9973,716.9428,716.9428
False,0.0,Республика Хакасия,1,False,11105.75,29000.0,4207.3047,3344.2678,1608.3869,1500.5073,1373.0132,1333.7842,1333.7842,1196.4829,1147.4467,1098.4106,1068.9888,1000.3382,912.073,902.2658,843.4224,764.9645,755.1573,696.3138,617.8559,588.4342,588.4342,539.398,539.398,519.7836,519.7836
False,0.0,Республика Хакасия,1,True,15000.0,15000.0,2176.1921,1729.7937,831.9242,776.1245,710.1792,689.8884,689.8884,618.8705,593.5069,568.1434,552.9253,517.4163,471.7619,466.6892,436.253,395.6713,390.5986,360.1623,319.5807,304.3625,304.3625,278.999,278.999,268.8536,268.8536
False,0.0,Пензенская область,1,False,11105.75,35000.0,5077.7815,4036.1853,1941.1566,1810.9571,1657.0849,1609.7396,1609.7396,1444.0311,1384.8495,1325.6679,1290.1589,1207.3047,1100.7778,1088.9415,1017.9236,923.233,911.3967,840.3788,745.6882,710.1792,710.1792,650.9976,650.9976,627.325,627.325
