is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Английский язык (ЯС) (1918_32),"Организация командировок сотрудников, руководителя и сопровождающих его лиц. Travel-поддержка (2252_33)",Грамотность (СК) (1368_4),Пунктуальность (СК) (612_4),"Ответственность , добросовестность (СК) (614_4)","Знание ПК, различных операционных систем, офисных программ (2286_33)",Ведение делопроизводства (2047_33),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение поручений руководителя (ОПТ) (3036_36),Внимательность (СК) (536_4),"Встречи и переговоры: планирование, организация, координация, сопровождение, участие в проведении встреч и переговоров (3079_33)",Аккуратность (СК) (575_4),"Организаторские способности, лидерство (СК) (393_4)"
False,1.0,Республика Калмыкия,1,True,20000.0,20000.0,3270.2238,3235.8003,1669.5353,1514.6299,1411.3597,1359.7246,1342.5129,1187.6076,1153.1842,1049.9139,1032.7022,895.0086,877.7969
False,1.0,Карачаево-Черкесская Республика,1,False,19000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Самарская область,0,False,14000.0,57000.0,9320.1377,9222.031,4758.1756,4316.6954,4022.3752,3875.2151,3826.1618,3384.6816,3286.5749,2992.2547,2943.2014,2550.7745,2501.7212
False,1.0,Самарская область,0,True,15000.0,30000.0,4905.3356,4853.7005,2504.3029,2271.9449,2117.0396,2039.5869,2013.7694,1781.4114,1729.7762,1574.8709,1549.0534,1342.5129,1316.6954
False,1.0,Челябинская область,0,False,14000.0,75000.0,12263.3391,12134.2513,6260.7573,5679.8623,5292.599,5098.9673,5034.4234,4453.5284,4324.4406,3937.1773,3872.6334,3356.2823,3291.7384
False,1.0,Челябинская область,0,True,25000.0,27000.0,4414.8021,4368.3305,2253.8726,2044.7504,1905.3356,1835.6282,1812.3924,1603.2702,1556.7986,1417.3838,1394.148,1208.2616,1185.0258
False,1.0,Саратовская область,2,False,14000.0,41900.0,6851.1188,6779.0017,3497.6764,3173.1497,2956.7986,2848.6231,2812.5645,2488.0379,2415.9208,2199.5697,2163.5112,1875.043,1838.9845
False,1.0,Саратовская область,2,True,20000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Иркутская область,1,False,14000.0,55000.0,8993.1153,8898.4509,4591.222,4165.2324,3881.2392,3739.2427,3691.9105,3265.9208,3171.2565,2887.2633,2839.9312,2461.2737,2413.9415
False,1.0,Иркутская область,1,True,17000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Омская область,1,False,15000.0,70000.0,11445.7831,11325.3012,5843.3735,5301.2048,4939.759,4759.0361,4698.7952,4156.6265,4036.1446,3674.6988,3614.4578,3132.5301,3072.2892
False,1.0,Омская область,1,True,18000.0,20000.0,3270.2238,3235.8003,1669.5353,1514.6299,1411.3597,1359.7246,1342.5129,1187.6076,1153.1842,1049.9139,1032.7022,895.0086,877.7969
False,1.0,Республика Татарстан,0,False,14000.0,60000.0,9810.6713,9707.401,5008.6059,4543.8898,4234.0792,4079.1738,4027.5387,3562.8227,3459.5525,3149.7418,3098.1067,2685.0258,2633.3907
False,1.0,Республика Татарстан,0,True,18000.0,30000.0,4905.3356,4853.7005,2504.3029,2271.9449,2117.0396,2039.5869,2013.7694,1781.4114,1729.7762,1574.8709,1549.0534,1342.5129,1316.6954
False,1.0,Ставропольский край,2,False,14000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Ставропольский край,2,True,25000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Республика Башкортостан,0,False,14000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Республика Башкортостан,0,True,18000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Томская область,1,False,17000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Томская область,1,True,20000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Тюменская область,1,False,15000.0,80000.0,13080.895,12943.2014,6678.1411,6058.5198,5645.4389,5438.8985,5370.0516,4750.4303,4612.7367,4199.6558,4130.809,3580.0344,3511.1876
False,1.0,Тюменская область,1,True,18000.0,18000.0,2943.2014,2912.2203,1502.5818,1363.167,1270.2238,1223.7522,1208.2616,1068.8468,1037.8657,944.9225,929.432,805.5077,790.0172
False,1.0,Волгоградская область,2,False,14000.0,80000.0,13080.895,12943.2014,6678.1411,6058.5198,5645.4389,5438.8985,5370.0516,4750.4303,4612.7367,4199.6558,4130.809,3580.0344,3511.1876
False,1.0,Волгоградская область,2,True,20000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Ивановская область,1,False,15000.0,80000.0,13080.895,12943.2014,6678.1411,6058.5198,5645.4389,5438.8985,5370.0516,4750.4303,4612.7367,4199.6558,4130.809,3580.0344,3511.1876
False,1.0,Ивановская область,1,True,35000.0,35000.0,5722.8916,5662.6506,2921.6867,2650.6024,2469.8795,2379.5181,2349.3976,2078.3133,2018.0723,1837.3494,1807.2289,1566.2651,1536.1446
False,1.0,Красноярский край,1,False,15000.0,70000.0,11445.7831,11325.3012,5843.3735,5301.2048,4939.759,4759.0361,4698.7952,4156.6265,4036.1446,3674.6988,3614.4578,3132.5301,3072.2892
False,1.0,Красноярский край,1,True,18000.0,18000.0,2943.2014,2912.2203,1502.5818,1363.167,1270.2238,1223.7522,1208.2616,1068.8468,1037.8657,944.9225,929.432,805.5077,790.0172
False,1.0,Ростовская область,0,False,40.0,70000.0,11445.7831,11325.3012,5843.3735,5301.2048,4939.759,4759.0361,4698.7952,4156.6265,4036.1446,3674.6988,3614.4578,3132.5301,3072.2892
False,1.0,Ростовская область,0,True,25000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Пермский край,1,False,14000.0,45000.0,7358.0034,7280.5508,3756.4544,3407.9174,3175.5594,3059.3804,3020.654,2672.117,2594.6644,2362.3064,2323.58,2013.7694,1975.043
False,1.0,Пермский край,1,True,20000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Воронежская область,2,False,14000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Воронежская область,2,True,17000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Нижегородская область,0,False,14000.0,60000.0,9810.6713,9707.401,5008.6059,4543.8898,4234.0792,4079.1738,4027.5387,3562.8227,3459.5525,3149.7418,3098.1067,2685.0258,2633.3907
False,1.0,Нижегородская область,0,True,17000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Удмуртская Республика,1,False,14000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Удмуртская Республика,1,True,16950.0,16950.0,2771.5146,2742.3408,1414.9312,1283.6489,1196.1274,1152.3666,1137.7797,1006.4974,977.3236,889.8021,875.2151,758.5198,743.9329
False,1.0,Ярославская область,1,False,15000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Ярославская область,1,True,25000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Пензенская область,1,False,14000.0,95000.0,15533.5628,15370.0516,7930.2926,7194.4923,6703.9587,6458.6919,6376.9363,5641.136,5477.6248,4987.0912,4905.3356,4251.2909,4169.5353
False,1.0,Ульяновская область,1,False,14000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Рязанская область,1,False,15000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Кировская область,1,False,15000.0,38000.0,6213.4251,6148.0207,3172.117,2877.7969,2681.5835,2583.4768,2550.7745,2256.4544,2191.0499,1994.8365,1962.1343,1700.5164,1667.8141
False,1.0,Владимирская область,1,False,14000.0,96531.0,15783.8985,15617.7522,8058.0955,7310.4372,6811.9983,6562.7788,6479.7057,5732.0473,5565.901,5067.4621,4984.389,4319.8038,4236.7306
False,1.0,Владимирская область,1,True,20000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Алтайский край,2,False,15000.0,60000.0,9810.6713,9707.401,5008.6059,4543.8898,4234.0792,4079.1738,4027.5387,3562.8227,3459.5525,3149.7418,3098.1067,2685.0258,2633.3907
False,1.0,Алтайский край,2,True,10000.0,10000.0,1635.1119,1617.9002,834.7676,757.315,705.6799,679.8623,671.2565,593.8038,576.5921,524.957,516.3511,447.5043,438.8985
False,1.0,Тульская область,1,False,15000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Тульская область,1,True,20000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Орловская область,1,False,14000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Псковская область,1,False,15000.0,45000.0,7358.0034,7280.5508,3756.4544,3407.9174,3175.5594,3059.3804,3020.654,2672.117,2594.6644,2362.3064,2323.58,2013.7694,1975.043
False,1.0,Смоленская область,1,False,15000.0,60000.0,9810.6713,9707.401,5008.6059,4543.8898,4234.0792,4079.1738,4027.5387,3562.8227,3459.5525,3149.7418,3098.1067,2685.0258,2633.3907
False,1.0,Белгородская область,2,False,14000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Белгородская область,2,True,17000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Брянская область,1,False,15000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Калужская область,1,False,15000.0,45000.0,7358.0034,7280.5508,3756.4544,3407.9174,3175.5594,3059.3804,3020.654,2672.117,2594.6644,2362.3064,2323.58,2013.7694,1975.043
False,1.0,Тверская область,1,False,15000.0,60000.0,9810.6713,9707.401,5008.6059,4543.8898,4234.0792,4079.1738,4027.5387,3562.8227,3459.5525,3149.7418,3098.1067,2685.0258,2633.3907
False,1.0,Липецкая область,1,False,15000.0,35000.0,5722.8916,5662.6506,2921.6867,2650.6024,2469.8795,2379.5181,2349.3976,2078.3133,2018.0723,1837.3494,1807.2289,1566.2651,1536.1446
False,1.0,Липецкая область,1,True,20000.0,20000.0,3270.2238,3235.8003,1669.5353,1514.6299,1411.3597,1359.7246,1342.5129,1187.6076,1153.1842,1049.9139,1032.7022,895.0086,877.7969
False,1.0,Тамбовская область,2,False,17000.0,35000.0,5722.8916,5662.6506,2921.6867,2650.6024,2469.8795,2379.5181,2349.3976,2078.3133,2018.0723,1837.3494,1807.2289,1566.2651,1536.1446
False,1.0,Республика Крым,1,False,15000.0,45000.0,7358.0034,7280.5508,3756.4544,3407.9174,3175.5594,3059.3804,3020.654,2672.117,2594.6644,2362.3064,2323.58,2013.7694,1975.043
False,1.0,Республика Марий Эл,1,False,15000.0,35000.0,5722.8916,5662.6506,2921.6867,2650.6024,2469.8795,2379.5181,2349.3976,2078.3133,2018.0723,1837.3494,1807.2289,1566.2651,1536.1446
False,1.0,Калининградская область,1,False,15000.0,45000.0,7358.0034,7280.5508,3756.4544,3407.9174,3175.5594,3059.3804,3020.654,2672.117,2594.6644,2362.3064,2323.58,2013.7694,1975.043
False,1.0,Калининградская область,1,True,15000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Кемеровская область,1,False,15000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Кемеровская область,1,True,20000.0,20000.0,3270.2238,3235.8003,1669.5353,1514.6299,1411.3597,1359.7246,1342.5129,1187.6076,1153.1842,1049.9139,1032.7022,895.0086,877.7969
False,1.0,Вологодская область,1,False,15000.0,35000.0,5722.8916,5662.6506,2921.6867,2650.6024,2469.8795,2379.5181,2349.3976,2078.3133,2018.0723,1837.3494,1807.2289,1566.2651,1536.1446
False,1.0,Вологодская область,1,True,18000.0,18000.0,2943.2014,2912.2203,1502.5818,1363.167,1270.2238,1223.7522,1208.2616,1068.8468,1037.8657,944.9225,929.432,805.5077,790.0172
False,1.0,Курская область,2,False,15000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Курская область,2,True,20000.0,20000.0,3270.2238,3235.8003,1669.5353,1514.6299,1411.3597,1359.7246,1342.5129,1187.6076,1153.1842,1049.9139,1032.7022,895.0086,877.7969
False,1.0,Забайкальский край,1,False,15000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Чувашская Республика,1,False,17000.0,45000.0,7358.0034,7280.5508,3756.4544,3407.9174,3175.5594,3059.3804,3020.654,2672.117,2594.6644,2362.3064,2323.58,2013.7694,1975.043
False,1.0,Костромская область,1,False,15000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Республика Бурятия,1,False,15000.0,100000.0,16351.1188,16179.0017,8347.6764,7573.1497,7056.7986,6798.6231,6712.5645,5938.0379,5765.9208,5249.5697,5163.5112,4475.043,4388.9845
False,1.0,Город федерального значения Севастополь,1,False,15000.0,35000.0,5722.8916,5662.6506,2921.6867,2650.6024,2469.8795,2379.5181,2349.3976,2078.3133,2018.0723,1837.3494,1807.2289,1566.2651,1536.1446
False,1.0,Новгородская область,1,False,18000.0,35000.0,5722.8916,5662.6506,2921.6867,2650.6024,2469.8795,2379.5181,2349.3976,2078.3133,2018.0723,1837.3494,1807.2289,1566.2651,1536.1446
False,1.0,Республика Коми,1,False,18000.0,35000.0,5722.8916,5662.6506,2921.6867,2650.6024,2469.8795,2379.5181,2349.3976,2078.3133,2018.0723,1837.3494,1807.2289,1566.2651,1536.1446
False,1.0,Астраханская область,1,False,17000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Астраханская область,1,True,15000.0,15000.0,2452.6678,2426.8503,1252.1515,1135.9725,1058.5198,1019.7935,1006.8847,890.7057,864.8881,787.4355,774.5267,671.2565,658.3477
False,1.0,Республика Хакасия,1,False,17000.0,35000.0,5722.8916,5662.6506,2921.6867,2650.6024,2469.8795,2379.5181,2349.3976,2078.3133,2018.0723,1837.3494,1807.2289,1566.2651,1536.1446
False,1.0,Республика Дагестан,1,False,17000.0,30000.0,4905.3356,4853.7005,2504.3029,2271.9449,2117.0396,2039.5869,2013.7694,1781.4114,1729.7762,1574.8709,1549.0534,1342.5129,1316.6954
False,1.0,Республика Дагестан,1,True,25000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Республика Карелия,1,False,18000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Республика Адыгея,1,False,20000.0,45000.0,7358.0034,7280.5508,3756.4544,3407.9174,3175.5594,3059.3804,3020.654,2672.117,2594.6644,2362.3064,2323.58,2013.7694,1975.043
False,1.0,Чеченская Республика,1,False,20000.0,25000.0,4087.7797,4044.7504,2086.9191,1893.2874,1764.1997,1699.6558,1678.1411,1484.5095,1441.4802,1312.3924,1290.8778,1118.7608,1097.2461
False,1.0,Республика Алтай,1,False,35000.0,35000.0,5722.8916,5662.6506,2921.6867,2650.6024,2469.8795,2379.5181,2349.3976,2078.3133,2018.0723,1837.3494,1807.2289,1566.2651,1536.1446
False,1.0,Амурская область,1,False,20000.0,91600.0,14977.6248,14819.9656,7646.4716,6937.0052,6464.0275,6227.5387,6148.7091,5439.2427,5281.5835,4808.6059,4729.7762,4099.1394,4020.3098
False,1.0,Свердловская область,0,False,15000.0,55000.0,8993.1153,8898.4509,4591.222,4165.2324,3881.2392,3739.2427,3691.9105,3265.9208,3171.2565,2887.2633,2839.9312,2461.2737,2413.9415
False,1.0,Свердловская область,0,True,20000.0,30000.0,4905.3356,4853.7005,2504.3029,2271.9449,2117.0396,2039.5869,2013.7694,1781.4114,1729.7762,1574.8709,1549.0534,1342.5129,1316.6954
False,1.0,Краснодарский край,0,False,15000.0,170000.0,27796.9019,27504.3029,14191.0499,12874.3546,11996.5577,11557.6592,11411.3597,10094.6644,9802.0654,8924.2685,8777.969,7607.5731,7461.2737
False,1.0,Краснодарский край,0,True,20000.0,30000.0,4905.3356,4853.7005,2504.3029,2271.9449,2117.0396,2039.5869,2013.7694,1781.4114,1729.7762,1574.8709,1549.0534,1342.5129,1316.6954
False,1.0,Новосибирская область,0,False,15000.0,55000.0,8993.1153,8898.4509,4591.222,4165.2324,3881.2392,3739.2427,3691.9105,3265.9208,3171.2565,2887.2633,2839.9312,2461.2737,2413.9415
False,1.0,Хабаровский край,1,False,15000.0,60000.0,9810.6713,9707.401,5008.6059,4543.8898,4234.0792,4079.1738,4027.5387,3562.8227,3459.5525,3149.7418,3098.1067,2685.0258,2633.3907
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,18000.0,65000.0,10628.2272,10516.3511,5425.9897,4922.5473,4586.9191,4419.105,4363.167,3859.7246,3747.8485,3412.2203,3356.2823,2908.778,2852.8399
False,1.0,Ленинградская область,1,False,18000.0,60000.0,9810.6713,9707.401,5008.6059,4543.8898,4234.0792,4079.1738,4027.5387,3562.8227,3459.5525,3149.7418,3098.1067,2685.0258,2633.3907
False,1.0,Мурманская область,1,False,20000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Мурманская область,1,True,30000.0,30000.0,4905.3356,4853.7005,2504.3029,2271.9449,2117.0396,2039.5869,2013.7694,1781.4114,1729.7762,1574.8709,1549.0534,1342.5129,1316.6954
False,1.0,Ненецкий автономный округ,1,False,28000.0,35000.0,5722.8916,5662.6506,2921.6867,2650.6024,2469.8795,2379.5181,2349.3976,2078.3133,2018.0723,1837.3494,1807.2289,1566.2651,1536.1446
False,1.0,Город федерального значения Санкт-Петербург,0,False,30.0,80000.0,13080.895,12943.2014,6678.1411,6058.5198,5645.4389,5438.8985,5370.0516,4750.4303,4612.7367,4199.6558,4130.809,3580.0344,3511.1876
False,1.0,Город федерального значения Санкт-Петербург,0,True,15000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Приморский край,1,False,22000.0,90000.0,14716.0069,14561.1015,7512.9088,6815.8348,6351.1188,6118.7608,6041.3081,5344.2341,5189.3287,4724.6127,4647.1601,4027.5387,3950.0861
False,1.0,Приморский край,1,True,30000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Московская область,2,False,22000.0,80000.0,13080.895,12943.2014,6678.1411,6058.5198,5645.4389,5438.8985,5370.0516,4750.4303,4612.7367,4199.6558,4130.809,3580.0344,3511.1876
False,1.0,Московская область,2,True,30000.0,40000.0,6540.4475,6471.6007,3339.0706,3029.2599,2822.7194,2719.4492,2685.0258,2375.2151,2306.3683,2099.8279,2065.4045,1790.0172,1755.5938
False,1.0,Камчатский край,1,False,25000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Сахалинская область,1,False,25000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Сахалинская область,1,True,30000.0,30000.0,4905.3356,4853.7005,2504.3029,2271.9449,2117.0396,2039.5869,2013.7694,1781.4114,1729.7762,1574.8709,1549.0534,1342.5129,1316.6954
False,1.0,Архангельская область,1,False,19000.0,45000.0,7358.0034,7280.5508,3756.4544,3407.9174,3175.5594,3059.3804,3020.654,2672.117,2594.6644,2362.3064,2323.58,2013.7694,1975.043
False,1.0,Ямало-Ненецкий автономный округ,1,False,25000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Республика Саха (Якутия),1,False,25000.0,50000.0,8175.5594,8089.5009,4173.8382,3786.5749,3528.3993,3399.3115,3356.2823,2969.0189,2882.9604,2624.7849,2581.7556,2237.5215,2194.4923
False,1.0,Город федерального значения Москва,0,False,50.0,200000.0,32702.2375,32358.0034,16695.3528,15146.2995,14113.5972,13597.2461,13425.1291,11876.0757,11531.8417,10499.1394,10327.0224,8950.0861,8777.969
False,1.0,Город федерального значения Москва,0,True,25000.0,70000.0,11445.7831,11325.3012,5843.3735,5301.2048,4939.759,4759.0361,4698.7952,4156.6265,4036.1446,3674.6988,3614.4578,3132.5301,3072.2892
False,1.0,Магаданская область,1,False,35000.0,70000.0,11445.7831,11325.3012,5843.3735,5301.2048,4939.759,4759.0361,4698.7952,4156.6265,4036.1446,3674.6988,3614.4578,3132.5301,3072.2892
False,0.0,Запорожская область,1,False,7800.0,10400.0,1700.5164,1682.6162,868.1583,787.6076,733.9071,707.0568,698.1067,617.5559,599.6558,545.9552,537.0052,465.4045,456.4544
False,0.0,Херсонская область,1,False,7800.0,7800.0,1275.3873,1261.9621,651.1188,590.7057,550.4303,530.2926,523.58,463.167,449.7418,409.4664,402.7539,349.0534,342.3408
False,0.0,Оренбургская область,2,False,8000.0,30000.0,4905.3356,4853.7005,2504.3029,2271.9449,2117.0396,2039.5869,2013.7694,1781.4114,1729.7762,1574.8709,1549.0534,1342.5129,1316.6954
