is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Внимательность (СК) (536_4),"Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),Работа на станках с ЧПУ (3542_35),Чтение схем/чертежей (ОПТ) (3032_36),Составление и корректировка управляющих программ (3667_35),Наладка оборудования (4078_35),"Саморазвитие, обучаемость (СК) (604_4)",Ремонт оборудования (4132_35),Высокая работоспособность (СК) (586_4),Контроль за работой и техническим состоянием оборудования (4119_35),Подготовка станков к работе (3512_35),Выполнение ремонтных работ (ОПТ) (8285_36),Эксплуатация станочного оборудования (3579_35),Нравственность (СК) (622_4),Техническое обслуживание оборудования (4130_35),Командность (СК) (1371_4)
False,0.0,Белгородская область,2,False,16000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Республика Марий Эл,1,False,20000.0,47000.0,7893.4602,7128.646,3376.727,3319.0052,3030.3961,2785.0783,2510.8996,2236.7209,2092.4163,1818.2376,1789.3767,1645.0722,1298.7412,1241.0193,1212.1584,1082.2843,923.5493,880.2579,735.9533
False,0.0,Орловская область,1,False,16000.0,45000.0,7557.5683,6825.2994,3233.0365,3177.771,2901.443,2666.5643,2404.0528,2141.5413,2003.3773,1740.8658,1713.233,1575.0691,1243.4756,1188.21,1160.5772,1036.2297,884.2493,842.8001,704.6362
False,0.0,Алтайский край,2,False,16000.0,45000.0,7557.5683,6825.2994,3233.0365,3177.771,2901.443,2666.5643,2404.0528,2141.5413,2003.3773,1740.8658,1713.233,1575.0691,1243.4756,1188.21,1160.5772,1036.2297,884.2493,842.8001,704.6362
False,0.0,Калининградская область,1,False,16000.0,52900.0,8884.3414,8023.5186,3800.6141,3735.6463,3410.8075,3134.6945,2826.0976,2517.5008,2355.0814,2046.4845,2014.0006,1851.5812,1461.7746,1396.8069,1364.323,1218.1455,1039.4842,990.7584,828.339
False,0.0,Ставропольский край,2,False,18000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Ивановская область,1,False,16000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Томская область,1,False,16000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Костромская область,1,False,18000.0,45000.0,7557.5683,6825.2994,3233.0365,3177.771,2901.443,2666.5643,2404.0528,2141.5413,2003.3773,1740.8658,1713.233,1575.0691,1243.4756,1188.21,1160.5772,1036.2297,884.2493,842.8001,704.6362
False,0.0,Курская область,2,False,20000.0,45000.0,7557.5683,6825.2994,3233.0365,3177.771,2901.443,2666.5643,2404.0528,2141.5413,2003.3773,1740.8658,1713.233,1575.0691,1243.4756,1188.21,1160.5772,1036.2297,884.2493,842.8001,704.6362
False,0.0,Республика Крым,1,False,20000.0,47500.0,7977.4332,7204.4827,3412.6497,3354.3138,3062.6343,2814.7068,2537.6113,2260.5158,2114.6761,1837.5806,1808.4126,1662.5729,1312.5576,1254.2217,1225.0537,1093.798,933.3743,889.6224,743.7826
False,0.0,Республика Адыгея,1,False,20000.0,51067.0,8576.4965,7745.5014,3668.9217,3606.2051,3292.622,3026.0765,2728.1726,2430.2687,2273.4771,1975.5732,1944.2149,1787.4234,1411.1237,1348.4071,1317.0488,1175.9364,1003.4658,956.4283,799.6368
False,0.0,Город федерального значения Севастополь,1,False,25000.0,40000.0,6717.8385,6066.9328,2873.8103,2824.6853,2579.0605,2370.2794,2136.9358,1903.5923,1780.7799,1547.4363,1522.8738,1400.0614,1105.3116,1056.1867,1031.6242,921.093,785.9994,749.1557,626.3433
False,0.0,Республика Дагестан,1,False,20000.0,30000.0,5038.3789,4550.1996,2155.3577,2118.514,1934.2954,1777.7095,1602.7019,1427.6942,1335.5849,1160.5772,1142.1554,1050.0461,828.9837,792.14,773.7181,690.8198,589.4995,561.8667,469.7574
False,0.0,Республика Бурятия,1,False,22000.0,35000.0,5878.1087,5308.5662,2514.584,2471.5996,2256.6779,2073.9945,1869.8189,1665.6432,1558.1824,1354.0068,1332.5146,1225.0537,967.1477,924.1633,902.6712,805.9564,687.7495,655.5112,548.0504
False,0.0,Еврейская автономная область,1,False,25000.0,40000.0,6717.8385,6066.9328,2873.8103,2824.6853,2579.0605,2370.2794,2136.9358,1903.5923,1780.7799,1547.4363,1522.8738,1400.0614,1105.3116,1056.1867,1031.6242,921.093,785.9994,749.1557,626.3433
False,0.0,Республика Алтай,1,False,33000.0,33000.0,5542.2168,5005.2195,2370.8935,2330.3654,2127.7249,1955.4805,1762.9721,1570.4636,1469.1434,1276.6349,1256.3709,1155.0507,911.8821,871.354,851.09,759.9018,648.4495,618.0534,516.7332
False,0.0,Город федерального значения Санкт-Петербург,0,False,18000.0,70000.0,11756.2174,10617.1323,5029.1679,4943.1993,4513.3558,4147.9889,3739.6377,3331.2865,3116.3648,2708.0135,2665.0292,2450.1075,1934.2954,1848.3267,1805.3423,1611.9128,1375.4989,1311.0224,1096.1007
False,0.0,Город федерального значения Санкт-Петербург,0,True,24500.0,24500.0,4114.6761,3715.9963,1760.2088,1730.1197,1579.6745,1451.7961,1308.8732,1165.9503,1090.7277,947.8047,932.7602,857.5376,677.0034,646.9143,631.8698,564.1695,481.4246,458.8578,383.6352
False,0.0,Волгоградская область,2,False,17500.0,52000.0,8733.1901,7887.0126,3735.9533,3672.0909,3352.7786,3081.3632,2778.0166,2474.6699,2315.0138,2011.6672,1979.736,1820.0798,1436.9051,1373.0427,1341.1115,1197.4209,1021.7992,973.9024,814.2462
False,0.0,Красноярский край,1,False,20000.0,49000.0,8229.3522,7431.9926,3520.4176,3460.2395,3159.3491,2903.5923,2617.7464,2331.9005,2181.4553,1895.6095,1865.5204,1715.0752,1354.0068,1293.8287,1263.7396,1128.339,962.8492,917.7157,767.2705
False,0.0,Московская область,2,False,20146.0,71000.0,11924.1633,10768.8056,5101.0132,5013.8164,4577.8324,4207.2459,3793.0611,3378.8763,3160.8842,2746.6994,2703.101,2485.109,1961.9282,1874.7313,1831.1329,1634.9401,1395.1489,1329.7513,1111.7593
False,0.0,Московская область,2,True,23000.0,23000.0,3862.7571,3488.4863,1652.4409,1624.194,1482.9598,1362.9107,1228.7381,1094.5656,1023.9484,889.7759,875.6524,805.0353,635.5542,607.3073,593.1839,529.6285,451.9496,430.7645,360.1474
False,0.0,Тульская область,1,False,18000.0,60000.0,10076.7578,9100.3991,4310.7154,4237.0279,3868.5907,3555.4191,3205.4037,2855.3884,2671.1698,2321.1544,2284.3107,2100.0921,1657.9675,1584.28,1547.4363,1381.6395,1178.9991,1123.7335,939.5149
False,0.0,Смоленская область,1,False,18000.0,45000.0,7557.5683,6825.2994,3233.0365,3177.771,2901.443,2666.5643,2404.0528,2141.5413,2003.3773,1740.8658,1713.233,1575.0691,1243.4756,1188.21,1160.5772,1036.2297,884.2493,842.8001,704.6362
False,0.0,Хабаровский край,1,False,20000.0,69000.0,11588.2714,10465.459,4957.3227,4872.5821,4448.8793,4088.732,3686.2143,3283.6967,3071.8453,2669.3276,2626.9573,2415.1059,1906.6626,1821.922,1779.5517,1588.8855,1355.8489,1292.2935,1080.4421
False,0.0,Город федерального значения Москва,0,False,23000.0,80000.0,13435.677,12133.8655,5747.6205,5649.3706,5158.121,4740.5588,4273.8717,3807.1845,3561.5597,3094.8726,3045.7476,2800.1228,2210.6233,2112.3733,2063.2484,1842.1861,1571.9988,1498.3113,1252.6865
False,0.0,Краснодарский край,0,False,20000.0,70000.0,11756.2174,10617.1323,5029.1679,4943.1993,4513.3558,4147.9889,3739.6377,3331.2865,3116.3648,2708.0135,2665.0292,2450.1075,1934.2954,1848.3267,1805.3423,1611.9128,1375.4989,1311.0224,1096.1007
False,0.0,Краснодарский край,0,True,35000.0,35000.0,5878.1087,5308.5662,2514.584,2471.5996,2256.6779,2073.9945,1869.8189,1665.6432,1558.1824,1354.0068,1332.5146,1225.0537,967.1477,924.1633,902.6712,805.9564,687.7495,655.5112,548.0504
False,0.0,Свердловская область,0,False,19000.0,60000.0,10076.7578,9100.3991,4310.7154,4237.0279,3868.5907,3555.4191,3205.4037,2855.3884,2671.1698,2321.1544,2284.3107,2100.0921,1657.9675,1584.28,1547.4363,1381.6395,1178.9991,1123.7335,939.5149
False,0.0,Кировская область,1,False,20000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Пермский край,1,False,20000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Ленинградская область,1,False,19250.0,70000.0,11756.2174,10617.1323,5029.1679,4943.1993,4513.3558,4147.9889,3739.6377,3331.2865,3116.3648,2708.0135,2665.0292,2450.1075,1934.2954,1848.3267,1805.3423,1611.9128,1375.4989,1311.0224,1096.1007
False,0.0,Тверская область,1,False,20146.0,58000.0,9740.8658,8797.0525,4167.0249,4095.7937,3739.6377,3436.9051,3098.557,2760.2088,2582.1308,2243.7826,2208.167,2030.089,1602.7019,1531.4707,1495.8551,1335.5849,1139.6991,1086.2757,908.1977
False,0.0,Чувашская Республика,1,False,20146.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Удмуртская Республика,1,False,19250.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Ростовская область,0,False,19250.0,60000.0,10076.7578,9100.3991,4310.7154,4237.0279,3868.5907,3555.4191,3205.4037,2855.3884,2671.1698,2321.1544,2284.3107,2100.0921,1657.9675,1584.28,1547.4363,1381.6395,1178.9991,1123.7335,939.5149
False,0.0,Самарская область,0,False,20146.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Калужская область,1,False,20146.0,60000.0,10076.7578,9100.3991,4310.7154,4237.0279,3868.5907,3555.4191,3205.4037,2855.3884,2671.1698,2321.1544,2284.3107,2100.0921,1657.9675,1584.28,1547.4363,1381.6395,1178.9991,1123.7335,939.5149
False,0.0,Омская область,1,False,20146.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Республика Татарстан,0,False,20146.0,65000.0,10916.4876,9858.7657,4669.9417,4590.1136,4190.9733,3851.704,3472.5207,3093.3374,2893.7673,2514.584,2474.6699,2275.0998,1796.1314,1716.3033,1676.3893,1496.7762,1277.249,1217.378,1017.8078
False,0.0,Брянская область,1,False,20146.0,55000.0,9237.0279,8342.0325,3951.4891,3883.9423,3546.2082,3259.1342,2938.2868,2617.4394,2448.5723,2127.7249,2093.9515,1925.0844,1519.8035,1452.2567,1418.4833,1266.5029,1080.7492,1030.089,861.222
False,0.0,Пензенская область,1,False,20146.0,47000.0,7893.4602,7128.646,3376.727,3319.0052,3030.3961,2785.0783,2510.8996,2236.7209,2092.4163,1818.2376,1789.3767,1645.0722,1298.7412,1241.0193,1212.1584,1082.2843,923.5493,880.2579,735.9533
False,0.0,Вологодская область,1,False,20146.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Новгородская область,1,False,25000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Ярославская область,1,False,23000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Челябинская область,0,False,20146.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,23000.0,35000.0,5878.1087,5308.5662,2514.584,2471.5996,2256.6779,2073.9945,1869.8189,1665.6432,1558.1824,1354.0068,1332.5146,1225.0537,967.1477,924.1633,902.6712,805.9564,687.7495,655.5112,548.0504
False,0.0,Оренбургская область,2,False,20146.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Карачаево-Черкесская Республика,1,False,23000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Псковская область,1,False,20146.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Республика Коми,1,False,25000.0,37000.0,6214.0006,5611.9128,2658.2745,2612.8339,2385.6309,2192.5084,1976.6656,1760.8228,1647.2214,1431.3786,1408.6583,1295.0568,1022.4133,976.9727,954.2524,852.0111,727.0494,692.969,579.3675
False,0.0,Рязанская область,1,False,20000.0,55000.0,9237.0279,8342.0325,3951.4891,3883.9423,3546.2082,3259.1342,2938.2868,2617.4394,2448.5723,2127.7249,2093.9515,1925.0844,1519.8035,1452.2567,1418.4833,1266.5029,1080.7492,1030.089,861.222
False,0.0,Иркутская область,1,False,20146.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Приморский край,1,False,20146.0,52000.0,8733.1901,7887.0126,3735.9533,3672.0909,3352.7786,3081.3632,2778.0166,2474.6699,2315.0138,2011.6672,1979.736,1820.0798,1436.9051,1373.0427,1341.1115,1197.4209,1021.7992,973.9024,814.2462
False,0.0,Кемеровская область,1,False,20146.0,72000.0,12092.1093,10920.479,5172.8585,5084.4335,4642.3089,4266.5029,3846.4845,3426.4661,3205.4037,2785.3853,2741.1729,2520.1105,1989.5609,1901.136,1856.9235,1657.9675,1414.7989,1348.4802,1127.4179
False,0.0,Тамбовская область,2,False,20146.0,45000.0,7557.5683,6825.2994,3233.0365,3177.771,2901.443,2666.5643,2404.0528,2141.5413,2003.3773,1740.8658,1713.233,1575.0691,1243.4756,1188.21,1160.5772,1036.2297,884.2493,842.8001,704.6362
False,0.0,Тамбовская область,2,True,40000.0,40000.0,6717.8385,6066.9328,2873.8103,2824.6853,2579.0605,2370.2794,2136.9358,1903.5923,1780.7799,1547.4363,1522.8738,1400.0614,1105.3116,1056.1867,1031.6242,921.093,785.9994,749.1557,626.3433
False,0.0,Тюменская область,1,False,20146.0,63000.0,10580.5956,9555.4191,4526.2512,4448.8793,4062.0203,3733.1901,3365.6739,2998.1578,2804.7283,2437.2122,2398.5263,2205.0967,1740.8658,1663.494,1624.8081,1450.7215,1237.949,1179.9202,986.4906
False,0.0,Курганская область,1,False,20000.0,40000.0,6717.8385,6066.9328,2873.8103,2824.6853,2579.0605,2370.2794,2136.9358,1903.5923,1780.7799,1547.4363,1522.8738,1400.0614,1105.3116,1056.1867,1031.6242,921.093,785.9994,749.1557,626.3433
False,0.0,Амурская область,1,False,28000.0,40000.0,6717.8385,6066.9328,2873.8103,2824.6853,2579.0605,2370.2794,2136.9358,1903.5923,1780.7799,1547.4363,1522.8738,1400.0614,1105.3116,1056.1867,1031.6242,921.093,785.9994,749.1557,626.3433
False,0.0,Архангельская область,1,False,25000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Астраханская область,1,False,25000.0,40000.0,6717.8385,6066.9328,2873.8103,2824.6853,2579.0605,2370.2794,2136.9358,1903.5923,1780.7799,1547.4363,1522.8738,1400.0614,1105.3116,1056.1867,1031.6242,921.093,785.9994,749.1557,626.3433
False,0.0,Забайкальский край,1,False,25000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Республика Хакасия,1,False,40000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,0.0,Сахалинская область,1,False,40000.0,40000.0,6717.8385,6066.9328,2873.8103,2824.6853,2579.0605,2370.2794,2136.9358,1903.5923,1780.7799,1547.4363,1522.8738,1400.0614,1105.3116,1056.1867,1031.6242,921.093,785.9994,749.1557,626.3433
False,0.0,Луганская область,1,False,35000.0,35000.0,5878.1087,5308.5662,2514.584,2471.5996,2256.6779,2073.9945,1869.8189,1665.6432,1558.1824,1354.0068,1332.5146,1225.0537,967.1477,924.1633,902.6712,805.9564,687.7495,655.5112,548.0504
False,0.0,Республика Карелия,1,False,30000.0,100000.0,16794.5963,15167.3319,7184.5256,7061.7132,6447.6512,5925.6985,5342.3396,4758.9807,4451.9496,3868.5907,3807.1845,3500.1535,2763.2791,2640.4667,2579.0605,2302.7326,1964.9985,1872.8892,1565.8582
False,0.0,Республика Саха (Якутия),1,False,35000.0,35000.0,5878.1087,5308.5662,2514.584,2471.5996,2256.6779,2073.9945,1869.8189,1665.6432,1558.1824,1354.0068,1332.5146,1225.0537,967.1477,924.1633,902.6712,805.9564,687.7495,655.5112,548.0504
False,0.0,Мурманская область,1,False,48000.0,48000.0,8061.4062,7280.3193,3448.5723,3389.6224,3094.8726,2844.3353,2564.323,2284.3107,2136.9358,1856.9235,1827.4486,1680.0737,1326.374,1267.424,1237.949,1105.3116,943.1993,898.9868,751.6119
False,0.0,Кабардино-Балкарская Республика,1,False,37125.0,49500.0,8313.3251,7507.8293,3556.3402,3495.5481,3191.5874,2933.2208,2644.4581,2355.6954,2203.7151,1914.9524,1884.5563,1732.576,1367.8232,1307.031,1276.6349,1139.8526,972.6742,927.0801,775.0998
False,1.0,Республика Северная Осетия,1,False,13250.0,20000.0,3358.9193,3033.4664,1436.9051,1412.3426,1289.5302,1185.1397,1068.4679,951.7961,890.3899,773.7181,761.4369,700.0307,552.6558,528.0933,515.8121,460.5465,392.9997,374.5778,313.1716
False,1.0,Владимирская область,1,False,20000.0,85000.0,14275.4068,12892.2321,6106.8468,6002.4562,5480.5035,5036.8437,4540.9886,4045.1336,3784.1572,3288.3021,3236.1068,2975.1305,2348.7872,2244.3967,2192.2014,1957.3227,1670.2487,1591.9558,1330.9794
False,1.0,Нижегородская область,0,False,20000.0,70000.0,11756.2174,10617.1323,5029.1679,4943.1993,4513.3558,4147.9889,3739.6377,3331.2865,3116.3648,2708.0135,2665.0292,2450.1075,1934.2954,1848.3267,1805.3423,1611.9128,1375.4989,1311.0224,1096.1007
False,1.0,Республика Башкортостан,0,False,20000.0,130000.0,21832.9751,19717.5315,9339.8833,9180.2272,8381.9466,7703.408,6945.0414,6186.6749,5787.5345,5029.1679,4949.3399,4550.1996,3592.2628,3432.6067,3352.7786,2993.5523,2554.498,2434.7559,2035.6156
False,1.0,Республика Башкортостан,0,True,25000.0,25000.0,4198.6491,3791.833,1796.1314,1765.4283,1611.9128,1481.4246,1335.5849,1189.7452,1112.9874,967.1477,951.7961,875.0384,690.8198,660.1167,644.7651,575.6831,491.2496,468.2223,391.4645
False,1.0,Республика Мордовия,1,False,20000.0,50000.0,8397.2981,7583.666,3592.2628,3530.8566,3223.8256,2962.8492,2671.1698,2379.4903,2225.9748,1934.2954,1903.5923,1750.0768,1381.6395,1320.2333,1289.5302,1151.3663,982.4992,936.4446,782.9291
False,1.0,Липецкая область,1,False,20000.0,98000.0,16458.7043,14863.9853,7040.8351,6920.479,6318.6982,5807.1845,5235.4928,4663.801,4362.9107,3791.2189,3731.0408,3430.1504,2708.0135,2587.6574,2527.4793,2256.6779,1925.6985,1835.4314,1534.541
False,1.0,Новосибирская область,0,False,20000.0,62000.0,10412.6497,9403.7458,4454.4059,4378.2622,3997.5438,3673.9331,3312.2505,2950.568,2760.2088,2398.5263,2360.4544,2170.0952,1713.233,1637.0893,1599.0175,1427.6942,1218.299,1161.1913,970.8321
False,1.0,Воронежская область,2,False,20000.0,98000.0,16458.7043,14863.9853,7040.8351,6920.479,6318.6982,5807.1845,5235.4928,4663.801,4362.9107,3791.2189,3731.0408,3430.1504,2708.0135,2587.6574,2527.4793,2256.6779,1925.6985,1835.4314,1534.541
False,1.0,Саратовская область,2,False,20000.0,98000.0,16458.7043,14863.9853,7040.8351,6920.479,6318.6982,5807.1845,5235.4928,4663.801,4362.9107,3791.2189,3731.0408,3430.1504,2708.0135,2587.6574,2527.4793,2256.6779,1925.6985,1835.4314,1534.541
False,1.0,Ульяновская область,1,False,19000.0,95000.0,15954.8664,14408.9653,6825.2994,6708.6276,6125.2687,5629.4136,5075.2226,4521.0316,4229.3522,3675.1612,3616.8253,3325.1458,2625.1151,2508.4434,2450.1075,2187.5959,1866.7485,1779.2447,1487.5652
False,1.0,Белгородская область,2,False,20000.0,55000.0,9237.0279,8342.0325,3951.4891,3883.9423,3546.2082,3259.1342,2938.2868,2617.4394,2448.5723,2127.7249,2093.9515,1925.0844,1519.8035,1452.2567,1418.4833,1266.5029,1080.7492,1030.089,861.222
